序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【晚安北京】9月1日升旗时间05:42，降旗时间18:46。夜间阴间多云24℃，明天白天29℃，但到傍晚前后会有一次较为明显的降雨过程，预计将达到中雨级别哦。到了周日天气转晴，三四级的偏北风会带来秋天的感觉，而下周天气整体都以凉爽舒适为主。向秋天问声好，大家晚安~~ ????????                                            ", 2012-8-31 21:59,51,32,赞,微博 weibo.com,yzKCLgOSy
2,"
                                                                                                    【涉水警戒线被涂鸦覆盖】为避免发生积水导致车辆在低洼地被淹事故，全市易积水的下凹式立交桥、铁路立交桥等地方，已标划颜色醒目的积水水位警示、警戒标线。但才不满一个月，有些警戒线就被“街头艺术家”的涂鸦覆盖，难以辨认。小布提醒大家：街头涂鸦虽然漂亮，但公共标识关系每个人安危，更重要。 ????????                                            ", 2012-8-31 19:39,65,35,赞,政府版微博,yzJHMone2
3,"
                                                                                                    【东城金秋购物季下周开场】又到了金秋的收获季节，各位同学是不是和小布一样，也有想把自己心仪的衣物统统搬回家的愿望？那就一定不要错过9月4日开始的“2012东城金秋购物季”！这次购物季整合了东城区的各大商圈，在一系列的促销活动中，想必大家都能淘到物美价廉、称心如意的宝贝~动心的有木有？ ????????                                            ", 2012-8-31 19:09,38,10,2,政府版微博,yzJvPAw96
4,"
                                                                                                    【47条胡同下周起全天单行】各位司机朋友们，请注意了！从下周二起，全市47条胡同将改为全天单行。这是本市最大规模的一次胡同交通疏导，城区胡同交通将有望真正运转起来。打通城市交通微循环，将在一定程度上缓解老城区拥堵问题。 ????????                                            ", 2012-8-31 18:49,166,31,1,政府版微博,yzJnGzC7W
5,"
                                                                                                    【燕京八景】#最IN北京#燕京八景是老北京著名的八处景点，哪位同学能一口气都说出来？请举手。哈哈哈，现在还是让小布来揭晓答案吧！它们是：太液秋风、琼岛春阴、 金台夕照、蓟门烟树、西山晴雪、玉泉趵突、卢沟晓月、居庸叠翠。至于它们具体的位置，在接下来几天中小布将一一为大家揭晓。 ????????                                            ", 2012-8-31 18:36,113,51,赞,政府版微博,yzJiio81U
6,"
                                                                                                    【轻微脑震荡·答案】答案是：他先将绳子的一头绑在湖畔陆地上的树上，然后拉着绳子绕岛走一圈。当他走到一半时，绳子就会自动缠绕在岛中央的树上。他随后将绳子的另一头也捆绑在陆地上的树上，然后攀着绳子，直达岛上。最先答对的是@好奇发布 小红花一朵。 ????????                                            ", 2012-8-31 17:59,8,5,1,政府版微博,yzJ3fvV8r
7,"
                                                                                                    【轻微脑震荡】又快到下班时间了，轻松下，请听题：湖中心有一个岛，岛上有一棵树。湖很深，其半径是80米。湖畔陆地上，生长着另外一棵树。有个不会游泳的人很希望能到岛上去看看，但他手头只有一条300米长的绳子。那么，他该怎么做，才可以到达岛上？你知道吗？不许问......你懂的！ ????????                                            ", 2012-8-31 17:26,31,51,赞,政府版微博,yzIQ1xoy1
8,"
                                                                                                    明天周六，晚上有出行计划的同学请随时关注天气。                                            ", 2012-8-31 17:09,204,47,4,微博 weibo.com,yzIIQd8VU
9,"
                                                                                                    #转发发布厅#刚装修完房子的朋友，不妨买几盆在家中。既美化环境，又能净化空气。                                            ", 2012-8-31 16:39,121,25,赞,微博 weibo.com,yzIwL8cOv
10,"
                                                                                                    【50辆电动出租车明天上路】#聚焦北京#9月1日起，昌平街头将会出现50辆上半部分为白色，下半部分为黄色的电动出租车，收费标准为每公里2元，基价为3公里（含），起步价8元，运营时间为每天8时至22时。作为配套工程，昌平朝凤庵奥运停车场东南角安装了充电桩50个，可同时满足100辆车停放及充电。 ????????                                            ", 2012-8-31 16:10,78,28,赞,政府版微博,yzIlbqeGN
