序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #天津高速路况#2015年9月30日21:48，目前，为控制主线车流量，G2京沪高速、G18荣乌高速、G25长深高速、S60滨石高速、S30京津高速、S6津沧高速全线各站禁止大货车驶入。 ????????                                            ", 2015-9-30 22:08,1,评论,赞,三星 GALAXY S5,CCYDFv3GD
2,"
                                                                                                    自8月13日津滨轻轨停运至9月29日，四十八天累计运送乘客达到3622928人次。今日8条常规公交线路投入车辆212部，运送乘客51088人次；3条临时专线投入车辆143部，运送乘客23717人次。 ????????                                            ", 2015-9-30 22:07,1,评论,赞,三星 GALAXY S5,CCYDg6qGy
3,"
                                                                                                    #交通新闻#《津滨客运交通应急保障日报》9月29日，客运交通行业继续做好市区和滨海新区之间11条线路的运力保障工作。全天共投入运营车辆355部（市公交集团121部、滨海新区公交集团142部、市交通集团92部），准备预备车辆9部，运送乘客74805人次。 ????????                                            ", 2015-9-30 22:06,1,1,赞,三星 GALAXY S5,CCYCYlDW8
4,"
                                                                                                    #高速路况午播报#2015年9月30日11:55，目前，我市境内各条高速公路均在正常开启。 ????????                                            ", 2015-9-30 14:26,转发,评论,赞,三星 GALAXY S5,CCVC0dz10
5,"
                                                                                                    #交通新闻#为应对十一期间的出行高峰，往返天津站后广场通莎客运站和塘沽轻轨站的津滨3号专线在10月1日至10月7日期间，首末班发车时间调至5点半和22点半，运营车辆增加到100部，运营期间循环发车，客满即发车，现场安排有工作人员和志愿者维护乘车秩序。10月8日开始，首末班发车时间恢复为6点和22点。 ????????                                            ", 2015-9-30 11:05,转发,1,赞,360安全浏览器,CCUiCnI2F
6,"
                                                                                                    #行业资讯#客管办加大稽查执法力度 8名出租司机拒载被罚。一年一度的国庆黄金周即将到来，市客管办加大对本市客运市场的稽查执法力度，针对市民群众反映突出的出租车驾驶员拒载乘客等问题，采取明查暗访等方式，严厉查处违规运营行为。O方正出租汽车有限公司驾驶员郑某某，驾驶牌照... ????????                                            ", 2015-9-30 11:01,转发,评论,赞,360安全浏览器,CCUgZD0XO
7,"
                                                                                                    #公交信息#10月1日至10月7日国庆小长假，公交集团所属48个IC卡充值网点将调整营业时间。辰纬路客服中心和体院北客服中心营业时间不作调整：10月1日至10月7日，营业时间为：8：00-18：00（全天）；其余46个公交集团所属充值网点从10月1日至10月3日全天停业放假，10月4日恢复正常。 ????????                                            ", 2015-9-30 10:57,转发,1,赞,360安全浏览器,CCUfb2mpL
8,"
                                                                                                    #公交信息#从天津城市一卡通获悉，10月1日起，天津城市一卡通王串场客服中心、宜白路客服中心停止营业。以上网点停业后，市民若在以上网点有城市卡坏卡换卡受理，敬老卡、残疾人卡新卡领取等未办理完结的业务，可直接到金纬路客服中心继续办理。市民若有疑问可咨询400-611-7555客服热线。 ????????                                            ", 2015-9-30 10:56,转发,评论,赞,360安全浏览器,CCUeYkX4m
9,"
                                                                                                    #航空信息#今日起，每周一、三新增1趟天津往返澳门航班。新增航班后，天津至澳门航线将实现每天往返1趟，方便市民及周边地区居民来往澳门。据悉，该航班澳门至天津航班号为NX238，12：45起飞，15：35抵达天津；天津至澳门航班号为NX237，16：45起飞，20：05抵达澳门。 ????????                                            ", 2015-9-30 10:56,转发,评论,赞,360安全浏览器,CCUeReUK4
10,"
                                                                                                    #交通新闻#昨天，公众稽查外包正式启动。今后，公众稽查总队将形成公司督察队、分公司稽查队、第三方社会服务机构三层检查管理机制，规范泊位管理员的经营管理行为，主要负责巡查公众公司所属停车场的服务质量、票据使用、规范着装、依法经营、上岗证佩戴、服务设施、岗亭卫生等。 ????????                                            ", 2015-9-30 10:56,转发,评论,赞,360安全浏览器,CCUeI6A1l
11,"
                                                                                                    #铁路信息#西站、南站开通的免费WiFi啦，名称为“AirStation—FreeWiFi”，无线信号覆盖候车大厅区域。旅客进入此区域登录WiFi时，只需点击此WiFi名称,系统将会自动弹出登录界面，随后获取验证码进行验证。如果是第一次登录，需输入手机号码，并将短信中获取的验证码输入相应位置后即可上网。 ????????                                            ", 2015-9-30 10:54,1,评论,赞,360安全浏览器,CCUebhfzZ
12,"
                                                                                                    #航空信息#昨天，随着天津机场公务机楼正式启用，本市公务航空揭开了新的篇章。启用后的公务机楼，可全面满足旅客特别是商务旅客对于公务机出行私密、快捷、舒适的高端需求。这对提升天津国际地位和声誉、完善枢纽服务功能、促进航空产业发展、增强城市和机场综合竞争力具有重要助推作用。 ????????                                            ", 2015-9-30 10:53,1,评论,5,360安全浏览器,CCUdN2QqA
13,"
                                                                                                    #交通新闻#为促进本市交通运输行业安全生产持续健康发展，将采取多项举措继续做好安全大检查大排查大整治。将制定交通运输系统“安防网”建设实施方案，确保今年年底前完成港口危化品企业和道路危化品运输企业在线视频监控系统建设。 ????????                                            ", 2015-9-30 10:25,转发,评论,赞,360安全浏览器,CCU2rvoiz
14,"
                                                                                                    #交通新闻#市交通集团在调整产业结构的同时，整合内部客运资源，方便百姓出行。自9月30日零时起，原河北客运站（建昌道）所有客运班线及车辆整体迁入天泰路与勤俭桥交口的交通集团津宇客运站。 ????????                                            ", 2015-9-30 10:18,转发,评论,1,360安全浏览器,CCTZj4Kmt
15,"
                                                                                                    #路况提示#根据我市境内重点公路监控系统显示，9月30日，各主要监控路段通行正常 。 ????????                                            ", 2015-9-30 09:32,转发,评论,赞,360安全浏览器,CCTGK6sAe
16,"
                                                                                                    #高速路况早知道#2015年9月30日07:55，目前，S1津蓟高速K9处（天津主线站至津榆路站之间）因双向施工，现场间断放行。我市境内其他各条高速公路均在正常开启。 ????????                                            ", 2015-9-30 09:31,转发,评论,赞,360安全浏览器,CCTGv2Qgy
17,"
                                                                                                    #交通新闻#自8月13日津滨轻轨停运至9月28日，四十七天累计运送乘客达到3548123人次。今日8条常规公交线路投入车辆202部，运送乘客50868人次；3条临时专线投入车辆138部，运送乘客22359人次。 ????????                                            ", 2015-9-29 19:52,1,评论,3,三星 GALAXY S5,CCOjU7GT2
