序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    在我国大部分地区，立秋后很长一段时间，气温通常较高，空气湿度也较大。在这样的气候条件下，调理脾胃须侧重于清热、利湿、健脾，不妨多吃一点绿豆、扁豆、薏米等，以使体内的湿热之邪从小便排出，促进脾胃功能的恢复。其次，调理脾胃还要因人而异_北京社区卫生服务网 O网页链接 ????????                                                            ", 2012-8-31 21:05,2,评论,赞,政府版微博,yzKgVm6zw
2,"
                                                                                                    //@北京市社区卫生服务管理中心:正确判断低血糖                                            ",否,"
                                                                                                    【判断低血糖】低血糖发作会出现虚汗、心跳加快、身体颤抖、手足发麻，甚至癫痫发作、昏迷。应给予含糖食品，一刻钟不缓解应去医院。糖尿病患者不要随意改变降糖药药量，除了预防低血糖昏迷，也要预防血糖显著升高引起的酮症酸中毒及高渗性昏迷。如果糖尿病患者发生昏迷，应先测血糖，不要盲目喂甜食。 ????????                                                            ", 2012-8-31 21:05,2,评论,赞,政府版微博,yzKgSF88d
3,"
                                                                                                    //@北京海淀健康教育: 支持                                            ",否,"
                                                                                                    【十招对付孩子挑食】1，让孩子体验饥饿，而后获得饱腹感;2，进餐时间要保证在25分钟以下;3，每一种新食物喂15次以上;4，喜欢的和不喜欢的食物掺着喂;5，常带孩子到超市采购食品;6，鼓励用食物玩游戏;7，避免分散注意力;8，不买你不希望孩子吃的食物;9，多做口腔训练;10，父母做孩子的榜样。 ????????                                                            ", 2012-8-31 21:04,2,评论,赞,微博 weibo.com,yzKgtx38Y
4,"
                                                                                                                                                ",否,"
                                                                                                    【请记住这8个健康的生活习惯】1、每天喝杯绿茶。2、最少开窗半小时。3、常吃葱和蒜。4、每天晒15分钟太阳。5、每天散步。6、吃饭细嚼慢咽。7、每天睡够7小时。8、少吃糖和加工肉制品。 ????????                                                            ", 2012-8-31 21:04,1,评论,赞,微博 weibo.com,yzKgnkNVg
5,"
                                                                                                    //@北京门头沟健康教育: 转发微博                                            ",否,"
                                                                                                    【感冒后听力差，快排除中耳炎！】3-8岁儿童最易罹患渗出性中耳炎，这种耳病有时可在感冒后突然发生，孩子会出现听力减退或注意力不集中，感到耳闷、耳鸣。如未及时治疗，渗出液逐渐增加、粘稠度增高，会形成胶冻状，发生中耳粘连、鼓膜萎缩、听力急剧下降。郑州市第三人民医院耳鼻喉科副主任张智风 ????????                                                            ", 2012-8-31 21:03,1,评论,赞,微博 weibo.com,yzKg5k9p1
6,"
                                                                                                    怀柔区2012年健康促进社区（村）骨干培训在怀柔区社区教育中心礼堂举办，来自全区16个镇乡街道和120余个示范社区农村健康教育骨干160余人参加了培训！ 我在:O网页链接 ????????                                            ",是,无, 2012-8-31 09:17,转发,评论,赞,Android客户端,yzFDdkNMc
7,"
                                                                                                    //@北京怀柔健康教育: @北京健康教育刘秀荣 @北京健康教育 @怀柔信息网 @北京市疾病预防控制中心                                            ",否,"
                                                                                                    2012年7月27日怀柔区举办“洪水、泥石流、滑坡的逃生及洪涝灾害后卫生防病健康教育”培训，健康教育科长孙娅娟针对灾害逃生和灾后防病知识进行了详细讲解，全区19家医疗机构的30余人接受了培训。会后下发了多媒体课件、传染病、防汛和消毒知识要点；并要求各医疗机构加大宣传普及，举办健康大课堂。 ????????                                                            ", 2012-8-30 16:09,1,1,赞,微博 weibo.com,yzyTX2PEd
8,"
                                                                                                    预防甲肝6注意                                            ",否,"
                                                                                                    【预防甲肝6注意】甲型病毒性肝炎（简称甲型肝炎）主要由粪-口（或肛-口）通过消化道传播甲型肝炎病毒而致病。1养成良好卫生习惯，饭前便后洗手，生食洗净；2食用海、水产品要煮熟蒸透；3灭苍蝇、蟑螂等；4外出就餐注意卫生；5接种甲肝疫苗；6发现甲肝病人及时上报。详见O网页链接 （康康) ????????                                                            ", 2012-8-26 17:10,2,评论,赞,微博 weibo.com,yyXAUdt7P
9,"
                                                                                                    //@秋韵语录: 行事不可任心，说话不可任口。                                            ",否,"
                                                                                                    【曾国藩语录】 1、受非分之情，恐办非分之事。 2、无实而享大名者必有奇祸。 3、清高太过则伤仁，和顺太过则伤义。 4、凡办大事，以识为主，以才为辅；凡成大事，人谋居半，天意居半。 5、行事不可任心，说话不可任口。 6、处有事当无事，处大事当如小事。@人生-大智慧 ????????                                                            ", 2012-8-26 17:10,转发,评论,赞,微博 weibo.com,yyXAN8WRb
10,"
                                                                                                    //@健康教育何超: //@快乐是一棵树: 给研究生讲授创伤时，就要求掌握压迫止血点。很多失血性休克甚至死亡的病例，实在太遗憾，其实只要简单的有效压迫即可避免大失血。掌握压迫点，不仅可以救人、还能救己，尤其是头面颈部的压迫点。                                            ",否,微博已被原作者删除, 2012-8-26 11:10,-1,评论,赞,微博 weibo.com,yyVeMapFu
