序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    8月31日，南苑街道槐房社区干部和劝导队员等志愿者们携带工具——笤帚，抹布，簸箕，在辖区内进行环境卫生大扫除活动。捡拾白色垃圾、清理路面卫生，打扫暴露垃圾堆等有碍环境整洁的地块，美化了社区环境。 ????????                                            ",是,无, 2012-8-31 14:35,转发,评论,赞,微博 weibo.com,yzHIwC9se
2,"
                                                                                                    8月31日南苑街道西新华社区再次对辖区内超市、食品加工点、出租地下空间、经营底商户进行消防安全检查。找到出租房屋负责人，进行询问了解，现场检查，逐个进行宣传检查登记。检查重点包括：消防设施情况及新入住人员登记管理等涉及社区居民安全的重点情况及信息。 ????????                                            ",是,无, 2012-8-31 14:10,转发,评论,赞,微博 weibo.com,yzHyaxEnk
3,"
                                                                                                    昨天上午，南苑街道武装部帮助辖区一名王姓青年办理就业证。该青年两年前在办理入伍政审过程中个人档案丢失。而今，他找到一份工作，需要提取档案。为了小王能顺利地与单位完成签约，街道武装部多方协调，与相关部门多次沟通协商，今天下午该青年档案的相关材料已经全部办理完毕并存放到区职介中心。 ????????                                            ",是,无, 2012-8-30 14:37,转发,评论,赞,微博 weibo.com,yzyiRtEj7
4,"
                                                                                                    今天上午，南苑街道j组织开展了“做文明有礼北京人—— 垃圾减量垃圾分类从我做起”为主题的宣传活动。公共文明引导员等志愿者们向居民发放垃圾分类宣传图册，耐心讲解垃圾污染、垃圾泛滥对人类的危害，以及实施垃圾减量垃圾分类重大意义，增强了大家自觉参与垃圾分类的意识，树立绿色环保生活理念。 ????????                                            ",是,无, 2012-8-30 10:06,转发,评论,赞,微博 weibo.com,yzwwDDrQ3
5,"
                                                                                                    //@北京丰台:在你家的阳台设计个景观吧!绿色清新                                            ",否,"
                                                                                                    #城市小田园#阳台是家的窗户，种植些漂亮花草不仅可以美化家居，而且一年四季，也可以看到季节的变迁。“即使是1平方米的角落里，也可以做出漂亮的园林美景，关键是怎样搭配，晒得到太阳的地方该种怎样的植物，完全晒不到太阳的角落里又该栽什么。 ????????                                                            ", 2012-8-29 17:50,转发,评论,赞,政府版微博,yzq8Mp8Lw
6,"
                                                                                                    南苑街道公共文明引导员广泛宣传“文明出行、绿色出行、低碳出行、健康出行”的理念，积极倡导“3、5、10”“绿色环保”的出行方式，3公里步行5公里骑车10公里公交，远距离绿色驾驶。号召大家从自身做起加入到文明、低碳出行队伍当中去，让“低碳生活 绿色交通 文明出行”更加深入人心。 ????????                                            ",是,无, 2012-8-29 17:48,转发,评论,赞,微博 weibo.com,yzq7VtYDm
7,"
                                                                                                    南苑街道及时帮助居民解决“小帮手”电子服务器故障。今天上午，辖区王大爷拨通了街道民政科的电话，询问“小帮手”服务热线和“小帮手”维修站点，为帮老人解决故障，工作人员经多方联系，厂家的工作人员终于为老人上门修理了“小帮手”并更换了充电器，彻底解决了故障，老人感到非常满意。 ????????                                            ",是,无, 2012-8-29 17:45,转发,评论,赞,微博 weibo.com,yzq6N9z6A
8,"
                                                                                                    //@北京丰台:#丰台发布#2012年9月10日至13日，在北京丰台区举办第二十届北京种子大会！                                            ",否,"
                                                                                                    #打造种业之都，搭建丰收舞台#为搭建种业交流与合作平台，突出首都种业“立足北京、面向全国、走向世界”的重要地位，促进都市型现代农业发展，对接2014年世界种子大会，打造首都“种业之都”，结合北京创建国家现代农业科技城战略构想，于2012年9月10日至13日，在北京丰台区举办第二十届北京种子大会 ????????                                                            ", 2012-8-28 18:11,转发,评论,赞,政府版微博,yzgQOtJBY
9,"
                                                                                                    //@北京丰台: 北京种子大会促进了都市型现代农业发展！                                            ",否,"
                                                                                                    #北京种子大会辉煌20周年#彰显了首都种业作为全国农作物新品种展示、种子贸易和信息交流中心的作用，为促进都市型现代农业发展和农民增收致富做出了突出贡献，成为建设都市型现代农业、发展首都籽种产业的重要载体。 ????????                                                            ", 2012-8-28 18:09,1,1,赞,微博 weibo.com,yzgQ20lWv
10,"
                                                                                                    今天上午，南苑街道民政科得知三营门社区的孤老刘素芬老人在浇花时不小心摔伤，十分担心老人无人照料联系社区一起前往老人家中看望。安慰老人并答应为老人联系医院、办理后期治疗的相关手续，垫付老人治疗费用，老人十分欣慰。目前老人在南苑医院检查后，正在家中卧床休养。 ????????                                            ",是,无, 2012-8-27 17:01,转发,评论,赞,微博 weibo.com,yz6XS8iUm
11,"
                                                                                                    8月27日，辖区一位居民来到民政科咨询保障性住房政策。民政科工作人员在了解其家庭情况和实际困难后，耐心为其解释保障性住房政策，根据其家庭实际情况，指导他如何办理相关手续。我街道民政科住保工作人员全心全意为辖区居民服务，帮助住房困难群体解开心结、化解矛盾，解决实际问题。 ????????                                            ",是,无, 2012-8-27 16:55,转发,评论,赞,微博 weibo.com,yz6V7jKCI
12,"
                                                                                                    摄影的魅力！                                            ",否,"
                                                                                                    【摄影师拍水球在男子头顶爆裂如假发】水也能做假发？当然不能，不过可以制造出一种假发效果。美国摄影师Tim Tadder找到一群光头男子，把水气球奋力掷向他们的头顶，利用极高速度的照相技术配合着创意灯光，抓拍到水在他们头上溅开那一瞬间产生的景象。O网页链接 ????????                                                            ", 2012-8-27 14:07,转发,评论,23,微博 weibo.com,yz5PcfXkF
13,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    为切实做好狂犬病防疫工作，保护社区人民群众身体健康。西宏苑社区居委会在社区内免费向居民发放狂犬病宣传材料，普及狂犬病相关知识。通过本次的预防宣传工作，提高了养犬户正确的防疫意识，对狂犬病的预防工作有了正确认识与理解，调动他们主动参与的积极性，形成群防群控的良好的氛围。 ????????                                                            ", 2012-8-27 14:06,转发,评论,赞,微博 weibo.com,yz5OIp86p
14,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    #丰台好人#这份爱感天动地——记残疾姑娘18年照顾植物人母亲的感人事迹 ????????                                                            ", 2012-8-27 10:35,转发,评论,赞,政府版微博,yz4r48IeD
15,"
                                                                                                    8月25日，南苑街道三营门社区对辖区内的积存垃圾再一次进行了治理，对东南大道一处积存垃圾，采用小车往外拉再往大车里倒的方法，进行全面清理。解决了一块蚊蝇栖息地，居民们很高兴“终于除掉了我们的一块心病。” ????????                                            ",是,无, 2012-8-27 10:28,1,1,赞,微博 weibo.com,yz4ocg5Or
16,"
                                                                                                    //@文明北京: 注意安全呀 //@北京消防:在公交车上织毛衣，一旦急刹车，尖尖的毛衣针就可能伤到您！                                            ",否,"
                                                                                                    【公交车上织毛衣】天气变凉，一些市民也开始张罗秋装了。这不，一位女士正在织毛衣，这看起来很温暖，但发生在行驶中的公交车上，一旦来个急刹车，尖尖的织毛衣针就可能伤到人……via.@楚天都市报  不管是公交车，还是在火车等行驶中的交通工具上，这样做都很危险！万一剧烈颠簸或紧急制动…… ????????                                                            ", 2012-8-27 10:07,转发,1,赞,微博 weibo.com,yz4fyw9ZD
17,"
                                                                                                    为生动展现街道工作成果，方便居民了解街道办事流程，南苑街道各社区网站开辟了视频新闻专栏。截至目前，已将两限房申请手续制作成视频，上传至各社区网站。今后，街道将继续以服务群众，推进社区建设为宗旨，充分利用网络平台，针对居民重点关注的办事流程，制作相关视频。请广大居民朋友们多多关注！ ????????                                            ",是,无, 2012-8-27 09:46,转发,评论,赞,微博 weibo.com,yz47bBXWY
18,"
                                                                                                    近日，南苑街道槐房社区开展食品安全知识讲座活动，使广大居民对身边的一些存在安全隐患的食品生产经营行为、不健康食品等有了一个初步的认识，普及食品安全知识、增强自我保护意识。平时对食物并不讲究的老年人也开始意识到食品安全的问题了。 ????????                                            ",是,无, 2012-8-27 09:31,转发,评论,赞,微博 weibo.com,yz41ccsvN
19,"
                                                                                                    8月26日，槐房社区在社区会议室深入开展知法守法社区文明志愿者培训活动，着力建立志愿服务社会化运行模式，推动志愿服务有一个新的更大发展，使更多的人成为文明志愿者，使更多的文明志愿者成为良好社会风尚的倡导者，成为社会主义精神文明的传播者、实践者。 ????????                                            ",是,无, 2012-8-27 09:22,转发,评论,赞,微博 weibo.com,yz3XB6ehK
20,"
                                                                                                    今天上午，南苑街道十个社区十四名社区干部参加了在丰台区花园举办的“社工周末大舞台”的彩排暨节目选拔活动，我街道社工为在场观众表演了一支名为“闪耀吧闪耀吧”十分动感的舞蹈，舞蹈队员们精神饱满、动作整齐，表现优异，最后被社工委定为开场舞蹈。 ????????                                            ",是,无, 2012-8-24 17:11,转发,评论,赞,微博 weibo.com,yyEKpgndn
21,"
                                                                                                    //@中国社工时报: 你觉得呢？这中间也有阿丁与父母之间的关系问题，社工职业选择与父母期望不一致问题。                                            ",否,微博已被原作者删除, 2012-8-24 13:24,-1,1,赞,微博 weibo.com,yyDgc4Q6Y
22,"
                                                                                                    足尖上的艺术！                                            ",否,"
                                                                                                    俄罗斯人把骑自行车变成了一种艺术…（via fall_ark） ????????                                                            ", 2012-8-24 13:22,转发,评论,25,微博 weibo.com,yyDfb9XlC
23,"
                                                                                                    8月23日，“安正杯”家庭消防安全知识竞赛在南苑街道举办。竞赛设置了丰富的比赛环节轻松有趣，整个赛场充满了浓厚的学习、竞争、交流气氛。最终由槐房社区的一个家庭夺得了第一名，其余家庭都表示活动非常有意义，丰富了消防知识，提高了自防自救能力，拉近了消防安全与他们的距离。 ????????                                            ",是,无, 2012-8-23 17:58,转发,评论,赞,微博 weibo.com,yyvCQ6Omv
24,"
                                                                                                    8月23日下午，南苑街道组织辖区青少年走进了被称为“大乐园”的科普社区开展了暑期科普体验活动。活动中，在利用光学控制原理制作的激光琴体验区，在地球水循环演示仪展区，在太阳能、风能试验电站展示区，在脚踏车发电体验区，学生们动手实际操作操作，体验科技带来的快乐。 ????????                                            ",是,无, 2012-8-23 17:51,转发,评论,赞,微博 weibo.com,yyvA3x6Or
