序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #八面来风# 【同仁医院建术后无痛病房】　同仁医院术后无痛病房近日建成，通过术前提前给药干预和多种模式镇痛，术后患者也能实现微痛甚至无痛。 ????????                                            ",是,无, 2012-8-31 15:30,转发,评论,赞,皮皮时光机,yzI4H2bMI
2,"
                                                                                                    #八面来风# 近日，北京市卫生局为石景山区配备了2辆奔驰威霆119型抢救监护型救护车，用于重症医疗救护及紧急呼叫医疗救助等服务。该款车型动力充盈，驾驶轻便，故障率低。两辆救护车将分配给我区首钢医院120和石景山医院120更新使用，促进我区院前急救与国际急救接轨。[红丝带]????????????????????????????????????????????????????????                                            ",是,无, 2012-8-31 15:15,1,1,赞,皮皮时光机,yzHYy7txv
3,"
                                                                                                    #石景山微新闻#????近日，京西地区血液净化论坛在石景山医院成功举办。论坛邀请了航天中心医院、首钢医院、武警总医院、朝阳西院、中西医结合医院等医院的肾内科主任及专业领域人员参与了研讨。详见 O网页链接????????????                                            ",是,无, 2012-8-31 14:27,转发,评论,赞,皮皮时光机,yzHF2mcID
4,"
                                                                                                    #石景山微新闻# 日前，针对苹果园地区西山枫林底商一条街商户林立、环境杂乱、投诉高发、屡禁不止、群众反映强烈等问题，苹果园街道办事处、卫生、公安、城管、工商等部门联合对西山枫林底商一条街进行了突击检查。详见O网页链接??????????????                                            ",是,无, 2012-8-31 10:59,3,10,赞,皮皮时光机,yzGiE6dVO
5,"
                                                                                                    #石景山微新闻# 近日，鲁谷社区惠民乐园正式开园，这个面积达1000平方米的乐园是利用民防地下空间改造而成的，今后，居民可以在其中的生命乐园、妇女之家、益民书屋、科技趣味园、警钟长鸣、文化活动中心等“五园一中心”享受各项服务功能，感受惠民乐园“快乐、健康、和谐”主题理念。????????????                                            ",是,无, 2012-8-31 10:00,2,3,赞,皮皮时光机,yzFUMhK8L
6,"
                                                                                                    同学们都很关心如何报名？预计到9月中下旬，您可到社区进行咨询，只要是今年12月31日前出生的石景山区户籍的所有0至3岁的孩子，将免费享受到一系列科学的婴幼儿早期教育服务。                                            ",否,"
                                                                                                    #石景山微新闻#????8月27日，石景山区婴幼儿早期发展促进项目正式启动，至今年12月31日前出生的石景山区户籍的所有0至3岁的孩子，将免费享受到一系列科学的婴幼儿早期教育服务。????????????                                                            ", 2012-8-31 09:34,7,1,赞,微博 weibo.com,yzFKbCPNV
7,"
                                                                                                    #石景山天气预报#31日 星期五 雷阵雨转阴 微风 31/24℃ ????????                                            ",是,无, 2012-8-31 09:16,1,评论,赞,微博 weibo.com,yzFD2pTlf
8,"
                                                                                                    #八面来风# 【9万名的哥免费专项体检】 8月21日，市红十字会主办的“首都红十字健康博爱行动——出租汽车驾驶员健康关爱”公益项目正式启动，即日起，本市9万余名的哥的姐持出租车驾驶本和医保卡，便可在指定医院免费筛查、治疗肛肠病。 ????????                                            ",是,无, 2012-8-31 09:15,转发,评论,赞,皮皮时光机,yzFCruYaq
9,"
                                                                                                    #石景山微新闻# 8月29日职工服务中心新址启动仪式在区总工会举行，仪式上，为困难职工发放了慰问金，并向加盟石景山区京卡互助服务科特约服务商户进行授权。据了解，随着很多企业的加入，越来越多的职工正在体验着服务卡带来的便利。 ????????                                            ",是,无, 2012-8-31 09:05,1,评论,赞,皮皮时光机,yzFynaqyd
10,"
                                                                                                    #石景山微新闻#????8月27日，石景山区婴幼儿早期发展促进项目正式启动，至今年12月31日前出生的石景山区户籍的所有0至3岁的孩子，将免费享受到一系列科学的婴幼儿早期教育服务。????????????                                            ",是,无, 2012-8-30 16:50,15,8,赞,皮皮时光机,yzzaAkyD4
