序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    三寸之舌，强于百万粉丝。昔日帝王一言九鼎，如今同学我才气逼人一言众人顶，并获得微博特发【一言九“顶”】勋章。O网页链接 ????????                                            ",是,无, 2012-8-31 10:45,转发,评论,赞,勋章馆,yzGdivLXm
2,"
                                                                                                    亲们，避免“被酒驾”，更要约束自己，避免真“酒驾”                                            ",否,"
                                                                                                    #健康知识#【如何避免被酒驾】如果吃了蛋黄派后遇到交警，可在说明情况后申请血液酒精测试。我国《道路交通安全法》规定，每100毫升血液里达到20毫克酒精就被认定为饮酒驾驶，超过80毫克被认定为醉酒驾车。蛋黄派中的酒精含量，经过身体代谢后残存的微乎其微，很难进入血液，所以不会造成“酒驾”。 ????????                                                            ", 2012-8-31 10:43,转发,评论,赞,微博 weibo.com,yzGcu1e3t
3,"
                                                                                                    提高学生避险逃生、自救互救意识,多难兴邦，相信我们会做得更好~[hold住]                                            ",否,"
                                                                                                    #房山新闻#【全区121所受灾学校将全部按时开学】目前，全区121所受灾学校已全部完成校舍和基础设施的修缮，教学用书也陆续到位，保证9月1日正常开学。开学后，教育教学重点也将与救灾工作统筹安排，整合各方面的科学知识，定期做好防震减灾演练，提高学生们避险逃生、自救互救意识。 ????????                                                            ", 2012-8-31 10:39,转发,评论,赞,微博 weibo.com,yzGaOzooD
4,"
                                                                                                    #监督动态#【开学季 军训忙 卫生监督保安全】新学期伊始，怀柔区卫生监督所对位于雁栖工业开发区的北京市学生军训基地的第一食堂和回民食堂进行了食品安全专项检查。通过检查发现，两个食堂的食品卫生制度能够落实，对于发现的问题，监督员当场进行了指正，并提出了整改意见。 ????????                                            ",是,无, 2012-8-30 15:36,2,15,赞,微博 weibo.com,yzyGO3YZz
5,"
                                                                                                    #监督动态#【转换角色被监督 行风建设听民声】近日，全区50余家被监管单位都接到了怀柔区卫生监督所的《行风建设综合评价表》，针对监督员在依法办事、工作效率、服务质量、信息公开、廉洁自律等方面进行满意度评价，并给出了宝贵意见和建议，这些建议将成为全所进一步加强作风建设的重要参考资料。 ????????                                            ",是,无, 2012-8-30 15:26,转发,1,赞,微博 weibo.com,yzyCDuZWA
6,"
                                                                                                    //@北京市怀柔区人民法院: 转发微博。                                            ",否,"
                                                                                                    #和谐肇庆 以案说法#网络删贴技术活 心术不正敲诈罪 ????????                                                            ", 2012-8-30 09:49,转发,评论,赞,微博 weibo.com,yzwq3B7Wa
7,"
                                                                                                    甜蜜之时勿忘婚检                                            ",否,"
                                                                                                    #健康知识#【甜蜜之时勿忘婚检】婚检的项目包括全身检查、生殖器检查和辅助检查，主要检查双方是否患有影响婚育的疾病。 ????????                                                            ", 2012-8-30 09:47,转发,评论,赞,微博 weibo.com,yzwpetyu9
8,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    9月1日零点起，北京朝阳医院（包括本部和京西院区）也将试点医药分开改革取消药品加成政策，取消挂号费和诊疗费，收取医事服务费。详见O网页链接 ????????                                                            ", 2012-8-29 14:03,转发,评论,赞,政府版微博,yzoECuHBg
9,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    北京市作为首批“城市癌症早诊早治项目”9个试点省市之一，今年将在5万高危人群中免费开展肺癌、乳腺癌、大肠癌、上消化道癌和肝癌筛查。5万个免费筛查指标将平均分配给每一种癌症，即各筛查一万人，同时将根据每个区县不同癌症高发的情况来指定区县。详见O网页链接 ????????                                                            ", 2012-8-29 14:03,转发,评论,赞,政府版微博,yzoEtl42q
10,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    石景山区首批卫生监督协管员上岗履职！近日，经过基层推荐、资格审查、岗前培训和考试考核等程序，石景山区首批70名卫生监督协管员领取了“卫生监督协管员证”，正式持证上岗。卫生监督协管员负责对辖区餐饮服务、公共场所卫生和学校卫生工作进行巡回检查、服务指导等，详情：O网页链接 ????????                                                            ", 2012-8-29 14:01,转发,评论,赞,政府版微博,yzoDCqF5f
