序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    中年人的早餐：人到中年是“多事之秋”，肩负工作、家庭两大重任，身心负担相对较重，为减缓中年人的衰老过程，其饮食既要含有丰富的蛋白质、维生素、钙、磷等，又应保持低热量、低脂肪。 ????????                                            ",是,无, 2012-8-31 09:38,转发,评论,赞,微博 weibo.com,yzFLU50mT
2,"
                                                                                                    青少年的早餐：青少年时期身体发育较快，常常肌肉、骨骼一齐长，特别需要足够的钙、维生素C、A等营养素来帮助身体的生长发育。因此，青少年合适的早餐是一杯牛奶、一个新鲜水果、一个鸡蛋和二两干点（主要是馒头、面包、饼干等碳水化合物）。 ????????                                            ",是,无, 2012-8-31 09:38,转发,评论,赞,微博 weibo.com,yzFLPCLYJ
3,"
                                                                                                    儿童的早餐：儿童正是生长发育的旺盛时期，注重补充丰富的蛋白质和钙相当重要。首先要少量少吃含糖量较高的食物，以防引起龋齿和肥胖。在条件许可的情况下，儿童的早餐通常以一杯牛奶、一个鸡蛋和一两片面包为最佳。牛奶可与果汁等饮料交替饮用。面包有时也可用饼干或馒头代替。 ????????                                            ",是,无, 2012-8-31 09:38,转发,评论,赞,微博 weibo.com,yzFLKjkrG
4,"
                                                                                                    //@北京房山健康教育: 四句真言                                            ",否,"
                                                                                                    【一生受益的四句话】 1、健康是最高的利益。 2、满足是最好的财产。 3、信赖是最佳的缘分。4、心安是最大的幸福。 ????????                                                            ", 2012-8-31 08:35,1,评论,赞,微博 weibo.com,yzFmgkyzO
5,"
                                                                                                    家里有喂奶的宝宝注意一下哦                                            ",否,"
                                                                                                    #母婴健康#喂奶后给孩子拍气有什么技巧？ ????????                                                            ", 2012-8-29 14:40,转发,评论,赞,微博 weibo.com,yzoTFDRR3
6,"
                                                                                                    戒烟注意事项 6．持之以恒，经受住重吸烟的考验，戒烟后又吸了一口或一支烟不等于戒烟失败，仔细找出原因，避免重犯。 ????????                                            ",是,无, 2012-8-29 08:43,1,评论,赞,微博 weibo.com,yzmyKlvQs
7,"
                                                                                                    戒烟注意事项5．尝试转移生活习惯，长期吸烟的朋友已经把抽烟当成了一种生活习惯，戒掉烟瘾后这种长期伴随的生活习惯也就被改变了，肯定会很不适应，可以尝试转移到别的生活习惯中，比如下下棋、打打牌什么的，逐渐就能适应嘴上不刁烟卷的生活了。 ????????                                            ",是,无, 2012-8-29 08:43,1,评论,赞,微博 weibo.com,yzmyDeEgK
8,"
                                                                                                    戒烟注意事项4．尽量避免吸烟的引诱，争取得到朋友和同事的理解。尤其在刚开始戒烟时更是如此。 ????????                                            ",是,无, 2012-8-29 08:43,转发,评论,赞,微博 weibo.com,yzmyx3JVM
9,"
                                                                                                    戒烟注意事项3．扔掉吸烟用具，诸如打火机，烟灰缸，香烟，减少吸烟者的“条件反射”。 ????????                                            ",是,无, 2012-8-29 08:43,1,评论,赞,微博 weibo.com,yzmyqfPC1
10,"
                                                                                                    戒烟注意事项2．寻找好的替代方法，戒烟者戒烟后往往感觉“无事可做”，在工作场所或家里放一些口香糖、瓜子、水果之类，使其不至于感到“空虚”。 ????????                                            ",是,无, 2012-8-29 08:42,1,评论,赞,微博 weibo.com,yzmy7kZRs
11,"
                                                                                                    戒烟注意事项 1．加强戒烟意识，戒烟者要亲身感受到吸烟的危害，自觉要求戒烟。 ????????                                            ",是,无, 2012-8-29 08:41,转发,评论,赞,微博 weibo.com,yzmxZkTRW
12,"
                                                                                                    这是我在其他网站上看到了，太震惊了，照片来源于美国联邦警局。他们均是服用了可卡因海洛因以及冰毒者。有些人仅仅是服用了12个星期之后，面孔就开始变化。这就是由人变成鬼的过程，这就是吸毒者的结局。太可怕了！ ????????                                            ",是,无, 2012-8-29 08:32,2,评论,赞,微博 weibo.com,yzmu01g0f
13,"
                                                                                                    雨天行车，定要牢记//@北京西城南健康教育: 现在正在下雨，出行需谨慎//@我在120上班:雨天行车，注意安全哦~                                            ",否,"
                                                                                                    #雨天行车请注意#在高速公路上行车，要特别注意“滑水现象”：在路面积水较深，车速过快时，轮胎与路面的水来不及排出，导致轮胎与路面彻底失去接触，这就是滑水现象。行驶中万一遇到“滑水现象”，可放松加速踏板，利用发动机的“牵阻作用”减速，切不可用制动器制动，以免发生侧滑和甩尾造成事故。 ????????                                                            ", 2012-8-27 10:27,转发,评论,赞,微博 weibo.com,yz4nXvQQR
14,"
                                                                                                    但在睡觉前不要吃哟//@北京西城南健康教育: 晚上睡不好可以尝试吃点水果                                            ",否,"
                                                                                                    【有助治疗失眠的水果】1.奇异果:稳定情绪，每天吃两颗，睡眠质量提高40%；2.葡萄:促进睡意，调节睡眠周期；3.香蕉:远离抑郁，对抑郁产生的失眠很有效；4.苹果:镇静作用，而且苹果的芳香能催人入眠。 ????????                                                            ", 2012-8-27 10:26,转发,评论,赞,微博 weibo.com,yz4npf2j3
15,"
                                                                                                    乙肝的传播途径，主要有以下几个方面：1.母婴垂直传播2.血液或血制品传播2.血液或血制品传播4.家庭内密切接触5.公共场所、理发店、美容院等容易被污染，如浴池、剃刀等均可传染。 ????????                                            ",是,无, 2012-8-24 09:26,1,1,赞,微博 weibo.com,yyBHGogcL
16,"
                                                                                                    快乐是健康的源泉                                            ",否,"
                                                                                                    给自己一个希望，试着不为明天而烦恼，不为昨天而叹息，只为今天更美好；试着用希望迎接朝霞，用笑声送走余辉，用快乐涂满每个夜晚。那么，我们的每一天将会生活得更充实，我们的每一天也将活得更潇洒~早安，少年！ ????????                                                            ", 2012-8-24 09:25,转发,评论,赞,微博 weibo.com,yyBH9AG4z
17,"
                                                                                                    [真V5]                                            ",否,"
                                                                                                    岳父母结婚三十年， 互敬互爱， 从不吵架。 為此我结婚时特地去请教岳父大人。 岳父说：“我结婚时我岳父就告诉我‘不要批评你太太的缺点或怪她做错事，要知道，就是因為她有缺点，有时做错事，才没有找到更理想的丈夫 。’” 记住这句话，你肯定会是好丈夫。 ????????                                                            ", 2012-8-23 14:26,转发,评论,赞,微博 weibo.com,yyueDx77n
18,"
                                                                                                    [din转转]                                            ",否,"
                                                                                                    日前，在大榆树镇新宝庄村的华坤生态园内，2008米长的南瓜长廊进入最佳观赏期，引来众多游客前来参观。胖胖的吊瓜、迷人的桔瓜、细长的蛇瓜、成双配对的龙凤瓜，还有飞碟瓜、香炉瓜、火箭瓜、佛手瓜、鹤手瓜等等，五颜六色、奇形怪状，堪称瓜的世界。百瓜长廊实现了创意农业与旅游休闲产业的有机结合。 ????????                                                            ", 2012-8-23 14:25,转发,评论,赞,微博 weibo.com,yyuee7Wp9
19,"
                                                                                                    国民营养与健康状况是反映一个国家或地区经济与社会发展、卫生保健水平和人口素质的重要指标，也是公共卫生及疾病预防工作不可缺少的信息基础。 ????????                                            ",是,无, 2012-8-23 09:47,转发,评论,赞,微博 weibo.com,yyspqsWyZ
