序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    昌平疾控健康大课堂来到福田汽车 ????????                                            ",是,无, 2012-8-28 09:40,转发,评论,赞,Windows.Phone客户端,yzdvb6dt0
2,"
                                                                                                    食前食后须游之。 食后勿就寝。 ????????                                            ",是,无, 2012-8-27 16:23,转发,评论,赞,微博 weibo.com,yz6Ijl3xW
3,"
                                                                                                    食为安身之本。 药补不如食补。 ????????                                            ",是,无, 2012-8-27 16:23,转发,评论,赞,微博 weibo.com,yz6IeAXmI
4,"
                                                                                                    早饭吃好，午饭吃饱，晚饭要少。 饱食胃不展，负腹腹自安。 ????????                                            ",是,无, 2012-8-27 16:23,转发,评论,赞,微博 weibo.com,yz6Iabc51
5,"
                                                                                                    节食以去病，寡欲以延年。 少吃长寿，多吃多灾。 ????????                                            ",是,无, 2012-8-27 16:22,转发,评论,赞,微博 weibo.com,yz6I4y9pF
6,"
                                                                                                    冬吃萝卜夏吃姜，不劳医生开药方。 姜开胃，蒜败毒，萝卜吃了壮筋骨。 ????????                                            ",是,无, 2012-8-27 16:22,转发,评论,赞,微博 weibo.com,yz6HZwKra
7,"
                                                                                                    贪多嚼不烂，胃病容易犯。 常吃葱和蒜，身体强又健。 ????????                                            ",是,无, 2012-8-27 16:22,转发,评论,赞,微博 weibo.com,yz6HUe2ww
8,"
                                                                                                    吃饭先喝汤，胜似良药方。 常喝汤，保健康。 ????????                                            ",是,无, 2012-8-27 16:22,转发,评论,赞,微博 weibo.com,yz6HN8yrh
9,"
                                                                                                    一顿吃伤，十顿喝汤。 要想人长寿，多吃豆腐少吃肉。 ????????                                            ",是,无, 2012-8-27 16:21,转发,评论,赞,微博 weibo.com,yz6HHdCfb
10,"
                                                                                                    饭吃八成饱，到老胃肠好。 肚子八分饱，不用把医找。 ????????                                            ",是,无, 2012-8-27 16:21,转发,1,赞,微博 weibo.com,yz6HwzsGw
11,"
                                                                                                    食不言，寝不语。 食堆半饱无兼味，酒至三分莫过频。 ????????                                            ",是,无, 2012-8-27 16:21,1,1,赞,微博 weibo.com,yz6HlDpMj
12,"
                                                                                                    食能以时，身必无疾。 饭后百步走，活到九十九。 ????????                                            ",是,无, 2012-8-27 16:20,转发,评论,赞,微博 weibo.com,yz6HctQJH
13,"
                                                                                                    北京市政府2009年出台了《健康北京人--全民健康促进十年行动规划》要开展九大行动（1）健康知识普及行动。（2）合理膳食行动。（3）控烟行动。（4）健身行动。（5）保护牙齿行动。（6）保护视力行动。（7）知己健康行动。（8）恶性肿瘤防治行动。（9）母婴健康行动。 ????????                                            ",是,无, 2012-8-22 10:38,转发,评论,赞,微博 weibo.com,yyjjXynTq
14,"
                                                                                                    说说笑笑，通通七窍。 ????????                                            ",是,无, 2012-8-22 10:38,转发,评论,赞,微博 weibo.com,yyjjSfnw4
15,"
                                                                                                    保持一生健壮的真正方法是延长青春的心。 ????????                                            ",是,无, 2012-8-22 10:38,转发,评论,赞,微博 weibo.com,yyjjM38gR
16,"
                                                                                                    躯体的疾病也许证明灵魂的健康。 ????????                                            ",是,无, 2012-8-22 10:38,转发,评论,赞,微博 weibo.com,yyjjGq5lj
17,"
                                                                                                    友情即良药；我们都是彼此的医生。 ????????                                            ",是,无, 2012-8-22 10:37,转发,评论,赞,微博 weibo.com,yyjjAvrbH
18,"
                                                                                                    医生只不过是精神上的慰藉者而已。 ????????                                            ",是,无, 2012-8-22 10:37,转发,评论,赞,微博 weibo.com,yyjjul0IY
19,"
                                                                                                    疾病不仅在于身体的故障，往往在于心的故障。乐观主义的谎言有着如此巨大的治疗价值，不能令人信服地说出这类谎言的医生是选错了职业。 ????????                                            ",是,无, 2012-8-16 13:02,转发,评论,赞,微博 weibo.com,yxpHb2sIz
20,"
                                                                                                    心情愉快是肉本和精神的最佳卫生法。 心灵上的疾病比肌体上的疾病更危险更经常。 ????????                                            ",是,无, 2012-8-16 13:01,转发,评论,赞,微博 weibo.com,yxpGXa8yP
21,"
                                                                                                    身体在健康在很大程度上取决于精神的健康。 ????????                                            ",是,无, 2012-8-16 13:01,转发,评论,赞,微博 weibo.com,yxpGQ3Bls
22,"
                                                                                                    保持健康，这是对自己的义务，甚至是对社会的义务。 ????????                                            ",是,无, 2012-8-16 13:01,转发,评论,赞,微博 weibo.com,yxpGJgLp0
23,"
                                                                                                    病来方知健康贵。 无病一身轻。 ????????                                            ",是,无, 2012-8-16 13:00,转发,评论,赞,微博 weibo.com,yxpGyBgrP
24,"
                                                                                                    有健康即有希望，有希望即有一切。健全的身体比金冕更有价值。 ????????                                            ",是,无, 2012-8-14 08:31,转发,评论,赞,微博 weibo.com,yx54d9vug
25,"
                                                                                                    健康的身体富于健康的体魄。 没有一个朋友能够比得上健康，没有一个敌人能够比得上疾病。 ????????                                            ",是,无, 2012-8-14 08:27,转发,评论,赞,微博 weibo.com,yx52v5yQT
26,"
                                                                                                    中年女性三大健康武器:一是进补以养血;二是充足睡眠;三十补充多种维生素及含雌激素高的食物. ????????                                            ",是,无, 2012-8-8 09:51,转发,评论,赞,微博 weibo.com,ywb1QFnac
27,"
                                                                                                    昌平区健教所暴雨过后应急折页3.1 ????????                                            ",是,无, 2012-8-8 09:47,转发,评论,赞,微博 weibo.com,ywb08iFgf
28,"
                                                                                                    昌平区健教所暴雨过后应急折页2 ????????                                            ",是,无, 2012-8-8 09:45,转发,评论,赞,微博 weibo.com,ywaZu7rEJ
29,"
                                                                                                    女性健康。在现代快节奏的工作压力下，我国有95%的女性出现早衰现象；80%的女性出现疲劳综合症；70%的女性过早白发、脱发；60%的女性失眠多梦。 ????????                                            ",是,无, 2012-8-8 09:44,转发,评论,赞,微博 weibo.com,ywaYO9Ks0
30,"
                                                                                                    昌平区健教所暴雨过后应急折页 ????????                                            ",是,无, 2012-8-7 08:31,1,评论,赞,微博 weibo.com,yw14HqPgr
31,"
                                                                                                    转发微博                                            ",否,微博已被原作者删除, 2012-8-7 08:29,-1,评论,赞,微博 weibo.com,yw13ZnBzn
32,"
                                                                                                    蛋白质并非越多越好，因为超过需要量太多的蛋白质需要被排泄掉，会加重肾脏负担 ????????                                            ",是,无, 2012-8-7 08:29,转发,评论,赞,微博 weibo.com,yw13SjzOG
33,"
                                                                                                    中老年口腔保健的关键因素：一、提高自我口腔保健意识和能力；二、定期口腔检查，有病早治；三、膳食要平衡。适度。 ????????                                            ",是,无, 2012-8-7 08:27,转发,评论,赞,微博 weibo.com,yw13a0dek
