序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    厚重的历史文化底蕴                                            ",否,"
                                                                                                    @宜居密云“悠悠古渔阳，春满是檀州”，看到这些，一下子就感受到了密云厚重的历史和文化，有这样一份“密云礼物”，真好！ ????????                                                            ", 2012-8-31 14:39,1,评论,赞,微博 weibo.com,yzHK23EQ5
2,"
                                                                                                                                                ",否,"
                                                                                                    蓝天白云之下，雪域高原之上，有一群来自北京密云的“白衣天使”用他们的医术和爱心为当地藏民救死扶伤。分别来自县医院、县中医院和县妇幼保健院的荀志红、刘晓华、吴春芳3位主治医师目前已抵达拉萨当雄县人民医院，将在那里度过为期一年的医疗援藏时光。向援藏医生们致敬！愿你们一切平安！ ????????                                                            ", 2012-8-31 10:43,3,4,赞,政府版微博,yzGc7g7Vg
3,"
                                                                                                    蓝天白云之下，雪域高原之上，有一群来自北京密云的“白衣天使”用他们的医术和爱心为当地藏民救死扶伤。分别来自县医院、县中医院和县妇幼保健院的荀志红、刘晓华、吴春芳3位主治医师目前已抵达拉萨当雄县人民医院，将在那里度过为期一年的医疗援藏时光。向援藏医生们致敬！愿你们一切平安！ ????????                                            ",是,无, 2012-8-31 10:33,9,2,赞,微博 weibo.com,yzG83dNbq
4,"
                                                                                                    长城美景                                            ",否,"
                                                                                                    我上传了15张照片到专辑""密云古北口长城景区"" O网页链接 ????????                                                            ", 2012-8-31 10:25,5,1,赞,微博 weibo.com,yzG4Sp5nh
5,"
                                                                                                    密云黑龙潭                                            ",否,"
                                                                                                    我上传了12张照片到专辑""密云黑龙潭景区"" O网页链接 ????????                                                            ", 2012-8-31 09:58,5,3,赞,微博 weibo.com,yzFU61BXn
6,"
                                                                                                    密云桃源仙谷                                            ",否,"
                                                                                                    我上传了7张照片到专辑""密云桃源仙谷景区"" O网页链接 ????????                                                            ", 2012-8-31 09:58,转发,1,赞,微博 weibo.com,yzFTT1p1A
7,"
                                                                                                    密云白龙潭                                            ",否,"
                                                                                                    我上传了25张照片到专辑""密云白龙潭景区"" O网页链接 ????????                                                            ", 2012-8-31 09:57,2,1,赞,微博 weibo.com,yzFTJygC2
8,"
                                                                                                    软塌塌的豆腐能够在不用任何器皿的情况下，拎包就走。8月22日，在第九届“北京礼物”旅游商品大赛密云赛区暨“寻觅云礼”成果发布会上，记者看到了热乎乎的让人津津乐道的“拎包”豆腐。密云蔡家洼的豆腐在京城小有名气，采用塑料真空包装的豆腐变成了“会行走”的美食，不拿“家伙”也能带走热豆腐。 ????????                                            ",是,无, 2012-8-31 09:39,8,1,赞,微博 weibo.com,yzFMgwr4i
9,"
                                                                                                    清朝的老掸瓶、青花瓷的茶叶罐、老纺车、老核桃树……密云县穆家峪镇阁老峪村马上就要拆迁了，这几天，村民正忙着搬家。镇党委派出摄影、摄像组，入户免费为村民拍摄老宅子、老物件、全家福，帮村民保留下祖祖辈辈居住的老宅的记忆。 ????????                                            ",是,无, 2012-8-30 14:15,11,3,赞,微博 weibo.com,yzy9J5heA
10,"
                                                                                                    漫步于密云的青山碧水之间：在古北口紫海香堤香草艺术庄园里，感受紫色海洋里充满异域风情的浪漫；或行走于石城“云梦花香”间欣赏千亩油菜花盛开的灿烂；抑或静坐于太师屯镇“人间花海”生态观光园的长椅上，置身香水玫瑰、万寿菊、串红与蓝天碧树勾勒出的那一幅绝妙的风景画中，让思绪飘远。 ????????                                            ",是,无, 2012-8-30 14:05,69,17,赞,微博 weibo.com,yzy5FAYjD
11,"
                                                                                                    //@交通北京: #转发微博#                                            ",否,"
                                                                                                    #突发运营信息# 7:26 地铁10号线一列车因1号车车门故障，在农业展览馆站清人入库。影响后续个别列车晚点。 ????????                                                            ", 2012-8-30 07:52,转发,评论,赞,微博 weibo.com,yzvEyadSR
12,"
                                                                                                    密云县太师屯镇车道峪村养殖合作社的池塘里各种鱼儿自由地游弋，池塘上一排排栽种在浮床上的空心菜青翠旺盛，这是密云县首次成功利用鱼塘种植蔬菜，不仅多收了一茬儿蔬菜，还净化了鱼的水生态环境，实现了养殖、种植双赢互补。在这个村养鱼小区试种“水生空心菜”，共4万株，长势良好。 ????????                                            ",是,无, 2012-8-29 14:48,9,6,赞,微博 weibo.com,yzoWBFWaf
13,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    寻缘七夕，爱在密云”密云县青年交友活动(拓展训练) ????????                                                            ", 2012-8-29 14:10,1,评论,赞,微博 weibo.com,yzoHiy74c
14,"
                                                                                                    有活力的年轻人                                            ",否,"
                                                                                                    寻缘七夕，爱在密云”密云县青年交友活动(挑战!) ????????                                                            ", 2012-8-29 14:10,1,3,赞,微博 weibo.com,yzoHdeFFo
15,"
                                                                                                    “美丽的密云八月飘香，青春的舞台歌声飞扬”，由密云县文委主办的密云县2012年青年歌手大赛决赛8月28日在县文化馆举行。此次活动专门聘请了中国交响乐团、中国音乐家学会、解放军艺术学院等著名演员及负责人担任评委。比赛采取现场打分现场亮分现场点评的形式进行。参赛选手甘益聪获得比赛一等奖。 ????????                                            ",是,无, 2012-8-29 09:31,4,评论,赞,微博 weibo.com,yzmSgFqLb
16,"
                                                                                                    可爱的小毛驴                                            ",否,"
                                                                                                    “北京礼物”--密云作品(手工艺品) ????????                                                            ", 2012-8-28 11:00,7,3,赞,微博 weibo.com,yze1Q5VEH
17,"
                                                                                                    2012CBSA密云天合成杯美式9球国际公开赛将于9月17日至24日在密云举行。本次公开赛总奖金为60万元人民币，男、女冠军均可获得10万元和150个WPA世界积分的奖励。赛事不仅吸引了@潘晓婷 、@付小芳 、@刘莎莎9ball 、陈思明等国内一流选手参赛，还吸引了凯莉·费雪、@YuRamCha车侑蓝 、等世界级选手参赛。 ????????                                            ",是,无, 2012-8-28 09:50,40,19,赞,微博 weibo.com,yzdzcuoRq
18,"
                                                                                                    在飞鸿世纪园，每天晚上都有一群人，随着音乐的节奏，脚下“踏、踏”的步点声不绝于耳，这就是日前在密云县自发兴起的健身项目-踢踏舞。近一个多月以来密云县成立的第一支踢踏舞队，20多名自发参与者从每天晚上7点开始活跃在飞鸿世纪园的广场上，他们在这里跳出了激情、舞出了快乐。 ????????                                            ",是,无, 2012-8-27 09:00,3,10,赞,微博 weibo.com,yz3Ouarne
19,"
                                                                                                    “和谐杯”乒乓球比赛是北京市的一项传统体育赛事，自4月底开始，分为启动、预赛、决赛、总决赛四个阶段进行。密云鼓楼街道代表队获得郊区组一等奖；果园街道、北庄镇、河南寨镇、东邵渠镇4支代表队获得总决赛郊区组二等奖；县广电中心被评为优秀报道奖；体育局、财政局等15家单位被评为优秀组织奖。 ????????                                            ",是,无, 2012-8-24 09:27,2,1,赞,微博 weibo.com,yyBHZj8jd
20,"
                                                                                                    开车去外地的朋友们注意啦                                            ",否,"
                                                                                                    【京牌车在外埠违章，本市开罚单】北京交管局已开始对本市车辆外埠违章进行处罚，车主可通过登录北京市交管局网站查询。此外，交管部门还将通过短信等方式及时通知车主在外埠违章的情况；对于未接受外埠违章处理的，将无法进行车辆检测等业务。 ????????                                                            ", 2012-8-23 11:14,4,评论,赞,微博 weibo.com,yysYR9SgK
21,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【政策问答】#社保卡#问：补换社保卡期间参保人员如何就医？????答：参保人员补（换）社保卡期间，到定点医疗机构就医时，需主动出示《新发与补（换）社会保障卡领卡证明》，发生的医疗费用由参保人员与定点医疗机构全额现金结算，并进行手工报销。 ????????                                                            ", 2012-8-23 09:51,2,1,赞,微博 weibo.com,yysr5hAEe
