序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    地区妇工委于7月30日将北京市妇女儿童发展基金会的募捐箱放置在方庄购物中心一楼楼梯口处。妇女儿童发展基金是2009年6月北京市民政局批准的一家“公募”型基金会，致力于维护妇女儿童合法权益，改善其生存发展环境，促进妇女儿童事业发展，提供妇女儿童就业、教育、培训、健康和多项公益性服务活动。 ????????                                            ",是,无, 2012-8-8 11:45,转发,评论,赞,微博桌面,ywbLTaCGP
2,"
                                                                                                    区房管局于布置了丰台区2012年廉租住房实物配租家庭的年度复核工作。经过近一段时间紧张工作，目前，方庄地区廉租住房实物配租家庭的年度复核工作已顺利完成。 ????????                                            ",是,无, 2012-8-8 11:42,转发,1,赞,微博桌面,ywbL2i7Qp
3,"
                                                                                                    截至7月25日为止，方庄圆满完成了2012年度“共产党员献爱心”活动。活动在坚持公开、透明为原则，接受地区各级党组织党员、群众捐款。此次共有党员1038人、群众76人参与捐款，共接受捐款37279.5元。 ????????                                            ",是,无, 2012-8-8 11:41,转发,评论,赞,微博桌面,ywbKB7ViH
4,"
                                                                                                    自六月份以来，我们协同方庄交通队开展了一系列黑车治理行动，共出动200余人次，主要整治范围包括物美大卖场门口及蒲黄榆地铁站周边、东方医院门口和餐饮街沿线，共扣押黑摩的、黑三轮48辆。下一阶段，将结合地区实际情况不定期开展治理行动，确保黑摩的扰序现象不再反弹。 ????????                                            ",是,无, 2012-8-8 11:40,转发,3,赞,微博桌面,ywbKcgFgp
5,"
                                                                                                    85周年建军节来临之际，地区工委书记朱京宁、办事处主任冯志成等领导分别对驻区95999部队、北京市安全局、武警七支队六中队、武警七支队八中队、消防中队进行走访慰问，为驻区部队官兵送去2万元慰问品和节日的祝福。 ????????                                            ",是,无, 2012-8-8 11:39,转发,评论,赞,微博桌面,ywbJz00ct
6,"
                                                                                                    //@民防小卫士:                                            ",否,"
                                                                                                    【地下空间防毒安全】#民防知识#人员缺氧窒息有哪些症状？[lxhx问号] ????????                                                            ", 2012-8-8 08:09,转发,评论,赞,微博桌面,ywamkotG3
7,"
                                                                                                    洪灾过后防疫是关键：做好防蝇灭蝇，防鼠灭鼠，灭螨防螨等媒介生物控制工作。粪缸、粪坑中加药杀蛆；室内用苍蝇拍灭蝇，食物用防蝇罩遮盖；当发现老鼠异常增多的情况需要及时向当地有关部门报告。 ????????                                            ",是,无, 2012-8-3 09:41,转发,评论,赞,微博桌面,yvpPo2QLc
8,"
                                                                                                    洪灾过后防疫是关键：整治环境卫生。水涝退去后，应消除住所外的污泥，垫上砂石或新土；清除井水污泥并投以漂白粉消毒；应将家具清洗再搬入居室；加强家畜的管理。管好猫、狗等家禽动物。家畜家禽圈棚要经常喷洒灭蚊药。 ????????                                            ",是,无, 2012-8-3 09:41,1,1,赞,微博桌面,yvpP7tFwo
9,"
                                                                                                    洪灾过后防疫是关键：保障饮水安全，不喝生水，装水的缸、桶、锅、盆等保持清洁；对取自井水、河水、湖水、塘水的临时饮用水，一定要进行消毒；注意食品卫生。不吃腐败变质或被污水浸泡过的食物；不吃淹死、病死的禽畜和水产品；食物生熟要分开；碗筷要清洁消毒后使用。 ????????                                            ",是,无, 2012-8-3 09:40,转发,1,赞,微博桌面,yvpOVmIqg
10,"
                                                                                                    //@安居北京:转发给广大车主留存，理赔时您可据此向保险公司提出您的所有合理理赔诉求！                                            ",否,"
                                                                                                    【7??21灾车辆理赔六项承诺】#聚焦北京#“7·21”特大自然灾害后，很多同学的车辆浸水，财产损失严重。现在，在北京保监局指导下，北京保险行业协会协调在京各财产保险公司，就受灾车辆保险理赔事宜作出六项承诺，各位同学仔细研究下下面的长微博哦~~ ????????                                                            ", 2012-8-2 10:21,转发,评论,赞,微博桌面,yvgEW6zQR
11,"
                                                                                                    洪灾过后防疫是关键，灾后健康“十要十不要”（三）：生病要及时就医，不要忌医和迷信；发现传染病要及时报告，不要知情不报。任何人发现传染病和不明原因疾病，均有义务向当地医疗卫生单位报告，以便及时调查处理。 ????????                                            ",是,无, 2012-8-2 08:30,转发,评论,赞,微博 weibo.com,yvfW6n5ys
12,"
                                                                                                    洪灾过后防疫是关键，灾后健康“十要十不要”（二）：要做好环境消毒和灭蝇、灭蚊、灭鼠工作，不要让蚊蝇孳生；垃圾、废墟要及时填埋、清理，不要食用淹死的禽、畜肉；要做好环境消毒工作，不要让脏臭骚扰；要防中暑、受凉、蚊虫叮咬，不要贪凉露宿； ????????                                            ",是,无, 2012-8-2 08:30,转发,1,赞,微博 weibo.com,yvfVT6QYe
13,"
                                                                                                    洪灾过后防疫是关键，灾后健康“十要十不要”（一）：要喝开水,不要喝生水。洪水后饮用水容易被污染，煮沸消毒最简便有效；食物要煮熟煮透，不要吃生冷食物；要吃新鲜的食物，不要吃腐败变质的食物和采食野生的蘑菇；饭前便后要洗手，不要随地吐痰和大小便； ????????                                            ",是,无, 2012-8-2 08:29,转发,评论,赞,微博 weibo.com,yvfVr12Y4
14,"
                                                                                                    #关注身边安全 共创幸福生活#交通安全小知识：扶身并行易摔倒 追逐竞驶危害大：骑自行车时，不得两人扶身并行、飞快骑车或在人多的地方超车，更不得在道路上互相追逐或者曲折竞驶，以免影响其他车辆通行或摔倒，导致交通事故。 ????????                                            ",是,无, 2012-8-2 08:11,转发,评论,赞,微博桌面,yvfO8Dlxe
15,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    上午看望区里受灾较重的长辛店街道的同事们，女书记在谈到群众的危难安抚、干部的忘我舍身时失声痛哭。一切语言都不能描述社会低层的百姓和干部有多伟大，向我的同事们致敬，向善良宽容的人们致敬。 ????????                                                            ", 2012-7-31 23:58,转发,评论,赞,微博 weibo.com,yv39wDp8D
16,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    刚刚到社区走了一圈，值守的同志都在岗，虽然雨没有21日的大，但应该吃一堑长一智，同样的状况不能再出现了。 ????????                                                            ", 2012-7-31 15:53,1,2,赞,微博 weibo.com,yuZYxExHi
17,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    小情况反映大现象。上半年方庄留区税收同比下降2.4%，经济严重不景气。 ????????                                                            ", 2012-7-31 15:52,转发,评论,赞,微博 weibo.com,yuZYdhkOX
18,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    社区工作最重要的是居民的参与，家庭参与更好。这是紫芳园社区举办的家庭安全知识竞赛。 O网页链接 ????????                                                            ", 2012-7-31 15:52,转发,评论,赞,微博 weibo.com,yuZYaAZDg
19,"
                                                                                                    @方庄and我 O网页链接 ????????                                            ",是,无, 2012-7-31 15:47,2,2,赞,微相册,yuZW71Hwt
20,"
                                                                                                    灾后防疫：消毒剂的使用：浸泡消毒时，被消毒物品要全部浸没在消毒液中；含氯消毒剂使用时应注意对织物有漂白作用，对各类物品如金属制品有腐蚀作用；含氯消毒剂对呼吸道有刺激作用，对皮肤有损害作用，操作时应做好个人防护。 ????????                                            ",是,无, 2012-7-31 11:10,41,1,赞,微博 weibo.com,yuY7TB10E
21,"
                                                                                                    灾后防疫：消毒剂使用：按照使用说明书进行配制，消毒作用到规定时间后一定要用清水冲净残留的消毒液，以防对环境及人体产生危害；消毒剂使用要现用现配，保证消毒液有效氯含量达到相关要求； ????????                                            ",是,无, 2012-7-31 11:10,转发,评论,赞,微博 weibo.com,yuY7Mu3Lv
22,"
                                                                                                    被雨水浸泡的环境及物体的消毒方法：餐具等食饮用具的消毒：煮沸消毒30min,或用250-500mg/L84消毒剂溶液或健之素消毒片溶液浸泡30min,之后用清水洗净残留的消毒液。 ????????                                            ",是,无, 2012-7-31 11:08,转发,评论,赞,微博 weibo.com,yuY79dauY
23,"
                                                                                                    被雨水浸泡的环境及物体的消毒方法：衣服、被褥等织物的消毒：耐热、耐湿的衣物可煮沸消毒30min;或用250-500mg/L84消毒剂溶液或健之素消毒剂溶液浸泡30min,之后用清水洗净残留的消毒液,织物拿到阳光下曝晒； ????????                                            ",是,无, 2012-7-31 11:08,转发,评论,赞,微博 weibo.com,yuY703YFM
24,"
                                                                                                    水患过后被雨水浸泡的环境及物体的消毒方法：对地面、墙壁、物体表面用500-1000mg/L84消毒剂溶液或健之素消毒剂溶液喷洒、擦拭, 作用60分钟后用清水擦净残留的消毒液； ????????                                            ",是,无, 2012-7-31 11:07,转发,评论,赞,微博 weibo.com,yuY6JuvrQ
25,"
                                                                                                    洪灾过后防疫是关键，水灾后会发生哪些疾病？水灾灾区卫生条件差，特别是饮用水的卫生难以得到保障，首先要预防的是肠道传染病，如霍乱、伤寒、痢疾、甲型肝炎等。另外，人畜共患疾病和自然疫源性疾病也是洪涝期间极易发生的，如钩端螺旋体病、流行性出血热，疟疾、流行性乙型脑炎、登革热等。 ????????                                            ",是,无, 2012-7-26 13:36,转发,评论,赞,微博 weibo.com,yudWuyI2s
