序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #延庆发布#延庆今天夜间到明天，阴转雷阵雨，气温22℃～29℃，偏南风3-4级。 ????????                                            ",是,无, 2012-8-31 17:42,1,评论,赞,微博 weibo.com,yzIWxsgST
2,"
                                                                                                    美味京白梨                                            ",否,"
                                                                                                    【京白梨熟了】自驾路线：沿109国道经龙泉宾馆至军庄路口右转，直行过军温路，六环路西杨坨桥向东500米可到达；乘车路线：从苹果园地铁乘坐961直达各梨园采摘；餐饮：孟悟生态园，东山天乐园，东山梨花园等农家乐可接待住宿。；咨询电话：60810784/60813947（孟悟） 60810659（东山）这个周末，走起吧~ ????????                                                            ", 2012-8-31 17:36,转发,评论,赞,微博 weibo.com,yzITQeXV0
3,"
                                                                                                    请大家注意防雨//@北京发布: 明天周六，晚上有出行计划的同学请随时关注天气。                                            ",否,"
                                                                                                    【大雨到暴雨将袭京城 注意防范】31日17时北京气象信息：今夜阴云雾气遮蔽京城，最低气温24℃。明天下午到夜间有大雨到暴雨，并伴有雷电，降雨明显，市民请尽量减少外出，如若外出避开低洼积水路段，山区发生地质灾害气象风险较高，注意防范。明天最高气温29℃。@北京联通@北京移动@北京电信@北京发布 ????????                                                            ", 2012-8-31 17:34,1,评论,4,微博 weibo.com,yzIT5eHv5
4,"
                                                                                                    开动脑筋~                                            ",否,"
                                                                                                    【轻微脑震荡】又快到下班时间了，轻松下，请听题：湖中心有一个岛，岛上有一棵树。湖很深，其半径是80米。湖畔陆地上，生长着另外一棵树。有个不会游泳的人很希望能到岛上去看看，但他手头只有一条300米长的绳子。那么，他该怎么做，才可以到达岛上？你知道吗？不许问......你懂的！ ????????                                                            ", 2012-8-31 17:33,转发,1,赞,微博 weibo.com,yzISNeX8P
5,"
                                                                                                    当人生经历一段困难的日子，一个毫无生气的时期，我总是这样做，坚持某几句话，表达某种见解的几句话。即使这些话已经过时并毫无意义，我知道生命一定会回归，从而使它们重焕生机。——多丽丝·莱辛《金色笔记》~大家早安！ ????????                                            ",是,无, 2012-8-31 08:21,3,1,赞,微博 weibo.com,yzFgLCI4x
6,"
                                                                                                    #延庆发布#延庆今天夜间到明天，多云转阴、夜间有轻雾，气温21℃～29℃，偏南风3-4级。 ????????                                            ",是,无, 2012-8-30 18:11,转发,评论,赞,微博 weibo.com,yzzHE9peG
7,"
                                                                                                    【纸艺传情】一把刻刀、一沓红纸，在灵巧的双手下，刻刀穿梭于红纸间，顷刻间花鸟鱼虫跃然眼前。这双手属于左所屯中心小学的校本课老师白海明。2012年7月，白海明历时4个月，独立创作的“龙腾盛世”套色剪纸作品，经世界纪录协会评定，创世界上最长的套色剪纸纪录。O网页链接 ????????                                            ",是,无, 2012-8-30 15:47,转发,评论,赞,微博 weibo.com,yzyLcePkH
8,"
                                                                                                    【鸟瞰妫河森林公园雅荷园】近日，县委宣传部与县园林绿化局合作，对八达岭长城、野鸭湖国家湿地公园等景区以及县城和妫河两岸风光进行了航拍，本报特约摄影搭乘直升机参与拍摄。图为妫河森林公园雅荷园鸟瞰全景。 ????????                                            ",是,无, 2012-8-30 15:45,20,9,赞,微博 weibo.com,yzyKgC7Zd
9,"
                                                                                                    【县医院开通电话及网络预约挂号服务】从9月1日起，县医院将推出一项重要便民举措——开通114电话及网络（www.bjguahao.gov.cn）预约挂号服务。为了更加方便患者，县医院利用114电话及便捷的网络资源，全天24小时为患者提供3个月以内的专家号源预约挂号。O网页链接 ????????                                            ",是,无, 2012-8-30 12:40,6,1,赞,微博 weibo.com,yzxxnwxaZ
10,"
                                                                                                    【香营乡2100余名妇女免费体检】近日，香营乡启动“生殖健康村村行”活动。在11天的时间里，全乡20个行政村的2100余名妇女接受检查，做到早检查、早预防、早治疗。县中医医院各科专家组成检查小组，深入到各村对广大育龄妇女进行基本生殖保健服务、B超检查、妇科检查、咨询、诊治及避孕药具免费发放。 ????????                                            ",是,无, 2012-8-30 11:42,1,1,赞,微博 weibo.com,yzx9Aadsa
