序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【如画美景】作品名称：运河畔 作者：汪丽丽 大家周末愉快哦~ ????????                                            ",是,无, 2012-8-31 16:13,1,4,赞,微博 weibo.com,yzImnijiX
2,"
                                                                                                    【请农民参与清洁小流域灾后修复工作】为充分了解民意，实现民生工程，在灾后生态清洁小流域修复工程中，搭建了农民参与建设的平台，将全程参与工程规划的前期、建设以及实施后的管护工作。 ????????                                            ",是,无, 2012-8-31 15:56,1,评论,赞,微博 weibo.com,yzIfqbbpr
3,"
                                                                                                    【永定河停车乱收费可举报】近日，有市民反映到宛平湖游玩被索要停车费。在此提醒广大市民朋友，永定河公园“四湖一线”景观是为了更好地造福市民，停车场均免费开放，市民今后如遇乱收费，可拨打12345(市政府热线)或96310(城管热线)举报。在您安心游玩的同时，请注意安全，爱护环境，不要随手乱扔垃圾 ????????                                            ",是,无, 2012-8-31 14:10,7,2,赞,微博 weibo.com,yzHyk3fax
4,"
                                                                                                    勇敢的心 加油!                                            ",否,"
                                                                                                    【伦敦残奥会首日精彩回顾】8月30日，伦敦残奥会进行了第一天的比赛，中国选手发挥出色，一共赢得6金6银3铜，高居奖牌榜首位。只要拥有勇敢的心灵，不懈的探索，残缺的身体依然可以焕发生命的美丽，一起欣赏残奥会的首日精彩回顾，一起为运动员们加油！ ????????                                                            ", 2012-8-31 10:36,5,2,5,微博 weibo.com,yzG9DBnvt
5,"
                                                                                                    【如画美景】作品:轻舟泊桥蓝云韵间 作者:刘海星 作品名是不是很文艺?(可点击查看大图) ????????                                            ",是,无, 2012-8-30 15:45,4,3,赞,微博 weibo.com,yzyKpsTEl
6,"
                                                                                                                                                ",否,"
                                                                                                    【11大区域开通公益性WiFi】王府井、西单、奥运公园、朝阳公园、蓝色港湾、三里屯、中关村步行街、金融街、北京站、北京南站和北京西站的部分区域已开通“My Beijing”免费无线网络。点击进入在“用户登录”区输入手机号，点击“短信获取密码”，密码就会通过短信发至手机，填写密码进行登录即可上网。 ????????                                                            ", 2012-8-30 15:38,2,评论,4,微博 weibo.com,yzyHGskKc
7,"
                                                                                                    【第一例节水行政处罚案件结案】日前，市水政监察大队依据《北京市节约用水办法》成功查处一起未安装使用循环用水设施案，并进行现场整改。此案是新节水办法实施后查出的第一起未安装使用循环用水设施案违法案件。 ????????                                            ",是,无, 2012-8-30 14:48,转发,1,赞,微博 weibo.com,yzyni2OrC
8,"
                                                                                                    热爱自然的馈赠                                            ",否,"
                                                                                                    每次停水的时候，都能强烈的感觉到水资源的珍贵。刚来水的时候，有种放松和畅快的感觉，心里默念：有水真好。我想，珍惜水资源就要有种感恩的心，从节约自来水做起，从爱惜湖泊水做起，从热爱自然的馈赠做起...自然给我们的很多，而我们能留给子孙后代的又有多少？@水润京华@成浩Oo ????????                                                            ", 2012-8-30 10:58,1,1,赞,微博 weibo.com,yzwRMcP3d
9,"
                                                                                                    【“7??21”灾区均已恢复水源供应】在“7??21”特大自然灾害中，北京因供水设施污染、损坏，影响居民用水，目前超八成供水单位已修复，灾区均已恢复水源供应。经卫生部门监测，房山、丰台、通州等受灾区县水质监测均已达标合格，灾后未发生水源性疾病。 ????????                                            ",是,无, 2012-8-29 15:31,5,3,赞,微博 weibo.com,yzpe6FORr
10,"
                                                                                                    有创意!                                            ",否,"
                                                                                                    #THIRST创意#【节水小创意】“拨号”节水龙头 水龙头上方留有四个小孔，分别标注有横杠、15、10、5的字样，可以像拨号电话那样，用手指将相应数字拨转至红色挡板处，便可选择15秒、10秒或者5秒的水流时间。若是需要大量用水，那么拨动横杠旋钮即可。 ????????                                                            ", 2012-8-29 13:47,5,评论,赞,微博 weibo.com,yzoy6wyqb
11,"
                                                                                                    郊游好去处~                                            ",否,"
                                                                                                    #驴友游延庆#【延庆百里山水画廊掠影】O网页链接 ????????                                                            ", 2012-8-29 13:44,2,评论,赞,微博 weibo.com,yzowH56aF
12,"
                                                                                                    如期开学,好!                                            ",否,"
                                                                                                    #惠说北京#大家都关心房山区受灾学校能否如期开学，我关注了一下，受灾最严重的周口店镇娄子水小学的学生9月1日也能按时开学了。这所经受了暴雨和山洪袭击的小学，终于在施工人员连续昼夜的努力下修葺一新，重新成为学生汲取知识、享受童年的乐园。孩子们，祝你们学习进步！ ????????                                                            ", 2012-8-29 13:39,3,评论,赞,微博 weibo.com,yzouUgtG8
13,"
                                                                                                    【如画美景】下午了 看美图放松一下吧！ 作品:蝶恋花 作者:李哲奇 (可点击查看大图) ????????                                            ",是,无, 2012-8-28 14:47,2,1,赞,微博 weibo.com,yzfvSCx2J
14,"
                                                                                                    本市首座建在地下的污水处理厂,""既隔音又隔臭"",未来2到3年投入使用.                                            ",否,"
                                                                                                    #媒体关注#我市首座建在地下的污水处理厂稻香湖再生水厂即将开建。O网页链接《海淀北部新科技园环保当先 连建六水厂污水全再生》（北京日报8月28日报道）@水润京华 ????????                                                            ", 2012-8-28 13:28,4,1,赞,微博桌面,yzeZOy5Ab
15,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #安全提示#【儿童游泳注意事项】警惕儿童游泳的安全问题！1.游泳时不要吃东西，过饱或过饿都不宜游泳；2.不要在太冷的水中游泳，不要在水中打闹、逞强；3.切忌儿童独自游泳；4.感冒、疲劳不可游泳；5.随时留心水底的障碍物；6.即使使用浮具也不要到深水区游泳。 ????????                                                            ", 2012-8-28 11:18,3,1,赞,微博 weibo.com,yze8VtxPF
16,"
                                                                                                    紫外线强,需要防晒哦                                            ",否,"
                                                                                                    【天气晴朗气温升 户外活动需防晒】8月28日11时北京气象信息：今天天气晴朗，在阳光的照射下气温快速上升，预计午后最高气温可达33℃。天气较热，注意补充水分，保证充足睡眠。同时，紫外线强，外出还需涂抹防晒霜，打遮阳伞。夜间晴间多云，最低气温22℃。 ????????                                                            ", 2012-8-28 11:12,1,评论,赞,微博 weibo.com,yze6wgV1h
17,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #非常观察#【地铁14号线跨越永定河大桥整体贯通啦！】近日，地铁14号线永定河特大桥箱梁浇筑全部完工，至此大桥主体全部完工。永定河特大桥位于卢沟桥分洪枢纽上游，紧邻西五环，全长633.2米。地铁14号线在张郭庄站至大瓦窑站之间上跨永定河，呈“正十字”分布。 ????????                                                            ", 2012-8-28 11:09,2,评论,赞,微博 weibo.com,yze5q0Psl
18,"
                                                                                                    【雨量对比】1月1日至今，北京全市平均降水量517毫米，去年同期494毫米，多年平均同期492毫米。6月1日至今，全市平均降水量440毫米，去年同期446毫米，多年平均同期425毫米。 ????????                                            ",是,无, 2012-8-28 08:19,3,评论,赞,小米手机,yzcYl86YJ
19,"
                                                                                                    【昨日雨情】8月27日，全市平均降雨量1毫米，城区降雨8毫米，降雨最大点西城区右安门65毫米；官厅水库流域平均降雨1毫米，密云水库流域为零 ????????                                            ",是,无, 2012-8-28 08:18,2,评论,赞,小米手机,yzcXUdITh
20,"
                                                                                                    【预警解除】目前影响我市的降雨云团已明显减弱，市防汛办于12：20解除蓝色汛情预警，各单位恢复正常值班。 ????????                                            ",是,无, 2012-8-27 12:30,5,1,赞,小米手机,yz5bWhQlh
21,"
                                                                                                    【汛情快播】8月26日8时至27日11时，全市平均降雨量4毫米，城区平均降雨量19毫米，降雨最大点气象站丰台区玉泉营站108毫米。 ????????                                            ",是,无, 2012-8-27 11:22,4,2,赞,小米手机,yz4K6Bxhs
22,"
                                                                                                    【蓝色汛情预警】根据气象台9点55分发布的暴雨蓝色预警，预计未来3小时本市城区南部将出现小时雨量达到20毫米的短时强降水。市防汛办于10时10分向重点委办局、各区县防指、八支抢险队伍和市属水管单位发布蓝色汛情预警，要求做好四级应急响应。 ????????                                            ",是,无, 2012-8-27 10:32,1,1,赞,小米手机,yz4q0xsgM
23,"
                                                                                                    【汛情快播】8月26日8时至27日10时，北京全市平均降雨量4毫米，城区平均降雨量15毫米，降雨最大点气象站丰台区玉泉营站84毫米；密云水库流域平均降雨1毫米，官厅水库流域为零。 ????????                                            ",是,无, 2012-8-27 10:25,3,2,赞,小米手机,yz4mQkFrb
24,"
                                                                                                    【雨量对比】1月1日至今北京全市平均降水量516毫米，去年同期494毫米，多年平均同期489毫米。6月1日至今，全市平均降水量439毫米，去年同期446毫米，多年平均同期422毫米。 ????????                                            ",是,无, 2012-8-27 10:05,转发,评论,赞,小米手机,yz4f4EkU4
25,"
                                                                                                    【昨日雨情】8月27日，全市平均降雨量4毫米，城区降雨11毫米，降雨最大点朝阳区高碑店56毫米；密云水库流域平均降雨1毫米，官厅水库流域为零。 ????????                                            ",是,无, 2012-8-27 10:05,转发,1,赞,小米手机,yz4eR50AL
26,"
                                                                                                    【汛情快播】8月26日8时至27日6时，北京全市平均降雨量3毫米，城区平均降雨量9毫米，降雨最大点气象站朝阳区四惠站55.3毫米；密云水库流域仅零星降雨，官厅水库流域无降雨。 ????????                                            ",是,无, 2012-8-27 06:53,1,1,赞,小米手机,yz2YREyLL
27,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【8月27日早晨6点北京天气预报】今天白天阴天间多云有阵雨，偏东风2、3级，最高气温27℃，最小相对湿度60%，夜间阴有阵雨转多云，偏东风转偏北风1、2级，最大相对湿度90%。出门请携带雨具。 ????????                                                            ", 2012-8-27 06:51,1,1,2,小米手机,yz2YbEXLV
