序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    【大雨到暴雨将袭京城 注意防范】31日17时北京气象信息：今夜阴云雾气遮蔽京城，最低气温24℃。明天下午到夜间有大雨到暴雨，并伴有雷电，降雨明显，市民请尽量减少外出，如若外出避开低洼积水路段，山区发生地质灾害气象风险较高，注意防范。明天最高气温29℃。@北京联通@北京移动@北京电信@北京发布 ????????                                                            ", 2012-8-31 17:51,4,评论,4,政府版微博,yzJ06dgWw
2,"
                                                                                                    感兴趣的童鞋看一下吧                                            ",否,"
                                                                                                    #周末去哪玩儿#长城之声森林音乐节，时间：2012年8月25、26日；9月1、2日；票价：380元；演出剧目：9月1日“北京森林音乐会”；9月2日“敦善音乐会”、“音乐生活”系列活动；地点：北京延庆长城之声音乐园区中心演出区（户外）。提示：周末阴有阵雨，早晚温差大，建议携带长衣长裤和帐篷、雨伞。 ????????                                                            ", 2012-8-31 16:28,1,评论,赞,微博 weibo.com,yzIsqeELv
3,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #锦囊妙计#【5款最强吸毒植物】1、龟背竹：天然的清道夫，可以清除空气中的有害物质 2、金心吊兰：可清除空气中的有害物质，净化空气3、金琥：昼夜吸收二氧化碳释放氧气，且易成活 4、散尾葵：它绿色的棕榈叶对二甲苯和甲醛有十分有效的净化作用 5、滴水观音：有清除空气灰尘的功效。 ????????                                                            ", 2012-8-31 15:34,4,评论,赞,微博 weibo.com,yzI6j9PYL
4,"
                                                                                                    各位童鞋注意了[呵呵]                                            ",否,"
                                                                                                    #防范诈骗提示#新学期已经开学，学生们也已返回校园，找来【七种学生易受骗上当的骗术】，希望广大学生提高警惕，加强防范，自己遇到上述情况时，切莫惊慌，保持冷静头脑，迅速做出正确的分析和判断，切勿上当！如已经被骗了，要及时拨打110报警。 ????????                                                            ", 2012-8-31 15:02,1,评论,赞,微博 weibo.com,yzHTmj1VZ
5,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #微提示#8月31日20时至9月1日20时综合应用平台升级，交管局对外办公服务窗口暂停办理业务一天。 ????????                                                            ", 2012-8-31 14:47,转发,评论,赞,微博 weibo.com,yzHNfcjmx
6,"
                                                                                                    加油 加油                                            ",否,"
                                                                                                    【伦敦残奥会首日精彩回顾】8月30日，伦敦残奥会进行了第一天的比赛，中国选手发挥出色，一共赢得6金6银3铜，高居奖牌榜首位。只要拥有勇敢的心灵，不懈的探索，残缺的身体依然可以焕发生命的美丽，一起欣赏残奥会的首日精彩回顾，一起为运动员们加油！ ????????                                                            ", 2012-8-31 11:00,转发,评论,5,媒体版微博,yzGj8xu8l
7,"
                                                                                                    周末可以去看看呀                                            ",否,"
                                                                                                    【首届世界旅游城市博览会】#聚焦北京#9月14日至16日王府井步行街将举办世界旅游城市博览会。参展的国际会员城市将携带城市宣传片、旅游书籍、旅游风光图片和纪念品参展，部分参展城市还会邀请城市形象大使、带领特色演出团队在现场与观众互动。 ????????                                                            ", 2012-8-31 10:57,1,1,赞,政府版微博,yzGhWmHqM
8,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #出行提示# 雾其实是空气中的小水珠附在空气中的灰尘形成的，所以雾一多就表示空气中灰尘变多。雾天空气的污染比平时要严重的多。坚持锻炼身体是好事，但是碰到雾天，还是尽量减少户外活动时间，在户外时戴上围巾、口罩，保护好皮肤、咽喉、关节等部位，中老年、儿童、体质弱的人要注意了。 ????????                                                            ", 2012-8-31 08:21,1,评论,赞,微博 weibo.com,yzFgGyQSR
9,"
                                                                                                    冰箱妙用                                            ",否,微博已被原作者删除, 2012-8-31 07:58,-1,评论,赞,微博 weibo.com,yzF7uxDrl
10,"
                                                                                                    #温馨提示#今天天气：多云转阴，北转南风2、3级，最高气温32℃，最小相对湿度45%。今日限行尾号是6和1，今儿这天能见度有点差，各位童鞋要多多注意了。[呵呵] ????????                                            ",是,无, 2012-8-31 07:58,1,评论,赞,微博 weibo.com,yzF7gnOYA
