序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    //@辽宁健康教育与促进:   积极开展第6个#全民健康生活方式日#行动，促进全民健康                                            ",否,"
                                                                                                    #全民健康生活方式日#“平衡膳食，健康体重”六部曲：第六步，美食之后，不想走路？走路太单调？那你也可以选择其他方式让自己的身体动起来哦！ ????????                                                            ", 2012-8-31 14:41,1,评论,赞,微博 weibo.com,yzHKYeY2K
2,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【二十种不能混吃的食物】为了健康，必须记住。#小智慧# ????????                                                            ", 2012-8-31 14:41,转发,评论,赞,微博 weibo.com,yzHKUopaO
3,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【感冒后听力差，快排除中耳炎！】3-8岁儿童最易罹患渗出性中耳炎，这种耳病有时可在感冒后突然发生，孩子会出现听力减退或注意力不集中，感到耳闷、耳鸣。如未及时治疗，渗出液逐渐增加、粘稠度增高，会形成胶冻状，发生中耳粘连、鼓膜萎缩、听力急剧下降。郑州市第三人民医院耳鼻喉科副主任张智风 ????????                                                            ", 2012-8-31 14:36,1,评论,赞,微博 weibo.com,yzHJ4B8uR
4,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【请记住这8个健康的生活习惯】1、每天喝杯绿茶。2、最少开窗半小时。3、常吃葱和蒜。4、每天晒15分钟太阳。5、每天散步。6、吃饭细嚼慢咽。7、每天睡够7小时。8、少吃糖和加工肉制品。 ????????                                                            ", 2012-8-31 14:36,转发,评论,赞,微博 weibo.com,yzHIWlQ5Z
5,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【4个小妙招，教你做豆腐不易碎】豆制品是非常好的食材哦，习惯做菜的童鞋们一定要学学哦！#小窍门# ????????                                                            ", 2012-8-31 14:35,转发,评论,赞,微博 weibo.com,yzHIxvooV
6,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #我是徒步达人#【100公里 极限挑战徒步路线（2012-09-15）】斋堂镇文化广场—爨底下—柏峪—天津关—黄草梁—实心楼—马鞍梁—向阳水—榆树湾—八里石堂—龙门大裂谷—沿河口—幽州大峡谷北京界（折返）—沿河古城—珍珠湖—沿河古城—沿河口—王龙口—林子台—牛战—白虎头—高铺—斋堂镇文化广场。 ????????                                                            ", 2012-8-31 14:34,转发,评论,赞,微博 weibo.com,yzHI912Jh
7,"
                                                                                                    @真噶白玛                                            ",否,"
                                                                                                    【清肠绝招：吃苹果】专家点评：苹果的纤维素含量比一般水果高，而且苹果中还含有一些果胶，会使大便变软，对排便有帮助。但是，对于那些肠道问题比较严重的人来说，靠苹果清肠排便效果不会太明显。 ????????                                                            ", 2012-8-31 14:34,转发,1,赞,微博 weibo.com,yzHI62H5c
8,"
                                                                                                    9．救：要学习一定的医救知识，准备一些必备药品，以在灾害期间，医疗系统不能正常工作的情况下，及时自救和救治他人。 10．保：为减少个人和家庭的经济损失，除了个人保护以外，还要充分利用社会的防灾保险。 ????????                                            ",是,无, 2012-8-29 08:15,转发,评论,赞,微博桌面,yzmnihdVV
9,"
                                                                                                    7．避：灾前作好个人和家庭躲避和抗御灾害的行动安排，选好避灾的安全地方，一旦灾害发生，个人和组织大家进行避灾。 8．断：在救灾行动中，首先要切断可能导致次生灾害的电、火、煤气等灾源。 ????????                                            ",是,无, 2012-8-29 08:15,转发,评论,赞,微博桌面,yzmnaA5jH
10,"
                                                                                                    4．察：注意观察研究周围的自然变异现象，有条件的话，也可以进行某些测试研究。 5．报：即一旦发现某种异常的自然现象，不必惊恐。 但要尽快向有关部门报告，请专业部门判断。 6．抗：灾害一旦发生，首先应该发扬大无畏精神，召唤群众，组织大家和个人自卫。 ????????                                            ",是,无, 2012-8-29 08:14,转发,评论,赞,微博桌面,yzmn228OS
11,"
                                                                                                    面对自然灾害，每个人都应尽量按以下十个字去做： 1．学：学习有关各种灾害知识和减灾知识。 2．听：经常注意收听国家或地方政府和主管灾害部门 发布的灾害信息，不听信谣传。 3．备：根据面临灾害的发展，做好个人、家庭的各种行动准备和物质、技术准备，保护灾害监测、防护设施。 ????????                                            ",是,无, 2012-8-29 08:14,转发,评论,赞,微博桌面,yzmmU2f5T
12,"
                                                                                                    【水灾逃生】当发洪水或在山地，想涉水越过溪流是很危险的。假如非过河不可，尽可能找桥，从桥上通过。假如无桥，非涉水不可，不要选择最狭窄地方通过。要找宽广的地方，溪面宽的地方通常都是最浅的地方。 ????????                                            ",是,无, 2012-8-23 14:40,转发,评论,赞,微博桌面,yyukk5Jlc
13,"
                                                                                                    【水灾逃生与自救常识】当你在开阔地带驾车遇上洪水时，你应把车迎着洪水开过去，并闭紧窗户。如果让洪水冲到你车的侧面，它会把车掀翻并卷走。如你处在峡谷或山地，要迅速驶向高地。 ????????                                            ",是,无, 2012-8-23 14:39,转发,评论,赞,微博桌面,yyujZ84De
14,"
                                                                                                    【水灾生存常识】远离高压线塔，电线杆，掉落的电线等。位上涨半尺，所造成的损失也是惊人的。因此在门槛和窗台处堆上装土的沙袋很有效。山区道路上的水位差异，远远大于你的估计。不论驱车或者步行，千万小心查看再通过。 ????????                                            ",是,无, 2012-8-22 15:26,1,评论,赞,微博桌面,yylcDgbeM
15,"
                                                                                                    【水灾生存常识】发生水灾时，第一时间转移到高地，远离低洼地和峡谷。如果是平房，就爬上房顶。不要轻易离开房顶，等待救援。 ????????                                            ",是,无, 2012-8-22 15:25,转发,评论,赞,微博桌面,yylcc4TAd
16,"
                                                                                                    【秋季饮食八忌】忌吃辛辣生冷的食物。忌吃过燥的食物。忌吃油腻、煎炸的食物。忌吃水生植物。忌不按食物安全期吃。忌盲目控制饮食。忌盲目吃蟹。 ????????                                            ",是,无, 2012-8-17 09:00,5,2,赞,微博桌面,yxxxutBWj
17,"
                                                                                                    【立秋之后如何养生】立秋后，最适宜吃以下食物：橙黄色蔬果和绿叶菜、发酵食品、各种薯类。 ????????                                            ",是,无, 2012-8-17 08:59,2,评论,赞,微博桌面,yxxx6wnvO
18,"
                                                                                                    参加考评的师资正在进行模拟讲座 ????????                                            ",是,无, 2012-8-16 08:39,转发,评论,赞,微博桌面,yxnYoh7DB
19,"
                                                                                                    8.15对重新调整的健康科普师资进行考评。 ????????                                            ",是,无, 2012-8-16 08:36,转发,评论,赞,微博桌面,yxnXlxZX5
20,"
                                                                                                    8.9在国资委党校为退休老干部进行中医养生和合理用药的讲座。 ????????                                            ",是,无, 2012-8-9 10:22,转发,1,赞,微博桌面,ywkEJgf4H
