序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    【怎么样食用含草酸多的食物】草酸多的蔬菜（菠菜、苋菜、冬笋、荷兰芹和绿菜花）应在沸水中焯一下再炒，以除去草酸，避免草酸同钙结合成一种不溶性的草酸钙，提高钙的吸收利用率。 ????????                                                            ", 2012-8-31 10:44,转发,评论,赞,诺基亚5230,yzGcFwXJj
2,"
                                                                                                    平谷疾控中心大课堂走进军营，为驻军部队官兵送健康，体现军民鱼水情深，共建幸福平谷 ????????                                            ",是,无, 2012-8-31 10:41,转发,评论,赞,诺基亚5230,yzGbw33OY
3,"
                                                                                                                                                ",否,"
                                                                                                    【圆珠笔油用牙膏洗】如果衣服上不小心沾了圆珠笔油，可以先用水把圆珠笔印处弄湿，然后再在上面涂上牙膏，然后来回搓。不一会圆珠笔印就会消失。最后再用清水把衣服投干净就行。大家不妨试试哦！ 据健康时报手机报????????????                                                            ", 2012-8-30 20:25,转发,评论,赞,诺基亚5230,yzAA4FNM3
4,"
                                                                                                                                                ",否,微博已被原作者删除, 2012-8-30 19:49,-1,评论,赞,诺基亚5230,yzAlusZ99
5,"
                                                                                                    //@房山区卫生局:适合上班族，少乘车多步行，身体好又环保。[呵呵]                                            ",否,"
                                                                                                    【快走】所谓快走是在12分钟内走完1英里（约1600米）的距离，如果每天快走45分钟到1个小时，那么患中风的概率可以进一步降低到40%；而没有运动习惯的人，只要从现在开始每天快走30分钟，也能达到强身健体的良好效果。 ????????                                                            ", 2012-8-30 09:40,转发,评论,赞,诺基亚5230,yzwm37u3a
6,"
                                                                                                    医院看病，看到新发海报已上强。 ????????                                            ",是,无, 2012-8-29 17:23,转发,评论,赞,诺基亚5230,yzpXNAHFQ
7,"
                                                                                                    合理营养，平衡膳食、适度运动，保持健康体重。                                            ",否,"
                                                                                                    男性腰围<90厘米（2.7尺），女性<80厘米（2.4尺） 男性腰围不宜超过90厘米，女性不宜超过80厘米，否则就意味着脂肪在腹部堆积的增加，就可能造成与腹围增加相关的慢性病危险增加，包括部分恶性肿瘤、糖尿病、心脑血管疾病、脂肪肝、胆囊炎等。腰围管理、脂肪分布应该成为今后体重管理一个重要的方面。 ????????                                                            ", 2012-8-28 08:44,转发,评论,赞,微博 weibo.com,yzd8vFK9K
8,"
                                                                                                    [群体围观]                                            ",否,微博已被原作者删除, 2012-8-28 08:42,-1,评论,赞,微博 weibo.com,yzd7zckoU
9,"
                                                                                                    //@北京密云健康教育: 转发微博。                                            ",否,"
                                                                                                    我国胃癌“发病率高、早期发现率低”，专家建议“六种人”应定期做胃镜：1、45岁以上人群；2、老胃病患者，或感染过幽门螺杆菌者；3、经常食用腌制食物和烟熏、烧烤食物者；4、有胃息肉或做过胃部手术者；5、有胃癌家族史；6、经常应酬、烟酒过多、暴饮暴食者。 ????????                                                            ", 2012-8-28 08:32,转发,评论,赞,微博 weibo.com,yzd3AqHKW
10,"
                                                                                                                                                ",否,微博已被原作者删除, 2012-8-28 08:27,-1,评论,赞,微博 weibo.com,yzd1x6jM8
