序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    周末有雨，适合睡觉 ????????                                            ",是,无, 2012-8-31 17:48,7,12,赞,微博 weibo.com,yzIYXgTDR
2,"
                                                                                                    海淀公安分局拘留所里，来自北京青年政治学院法律系的大学生在为拘留所内的在押人员开设法制教育课。这一举措，是海淀拘留所为在押人员开展的一次文化帮教活动，以此提高他们法律意识。目前，大学生们已为被拘留人员上了二十多堂课。 ????????                                            ",是,无, 2012-8-31 14:34,10,7,赞,微博 weibo.com,yzHIdqNXv
3,"
                                                                                                    [群体围观]                                             ",否,"
                                                                                                    各位网友、各位听众朋友们，大家好！我们与@北京交通广播 合作推出#平安北京微广播#节目，在网上收听的链接为（O网页链接），本期话题为【走近警院生活】，您可以通过多种方式与主持人@FM1039吴勇 、平安北京博主武晶，节目嘉宾：北京警察学院学生处张剑锋沟通交流。@北京广播网 ????????                                                            ", 2012-8-31 11:05,1,1,赞,政府版微博,yzGlo1hGD
4,"
                                                                                                    男子一年前因盗窃被抓，今年8月刚放出来，他就故地重偷，结果再次被抓。[din汗]近日，海淀分局中关村派出所抓获一名专门偷盗群租房的嫌疑人以及一名收赃嫌疑人。一年过去了，咱家老黄（见下左猫）都稳重多了，小偷你咋还不知悔改呢？ ????????                                            ",是,无, 2012-8-30 15:25,19,20,赞,微博 weibo.com,yzyC4BGLd
5,"
                                                                                                    [群体围观]                                            ",否,"
                                                                                                    #海淀活动# 【防范金融风险 远离金融诈骗】近年来，金融诈骗的案子屡见不鲜。在我区最近举办的金融安全知识宣传周活动上，主办方通过播放宣传片、现场咨询的方式增强市民的金融风险意识。O网页链接 @平安北京 @海淀公安分局 ????????                                                            ", 2012-8-30 14:58,3,1,赞,微博 weibo.com,yzyrhk5Wr
6,"
                                                                                                                                                ",否,"
                                                                                                    【“水上蛟龙” 杭州萧山自发研制水陆两栖车】O网页链接 如今，吉普车也能在水上自由穿梭，经过三年的时间，杭州萧山区一家特种车制造企业的研发团队，研发出了水陆两栖全地形车，销量比去年翻了一番。今日，在钱塘江边的试验区，记者目睹了水陆两栖车下水试航的精彩画面。轩 ????????                                                            ", 2012-8-29 11:24,5,3,赞,微博 weibo.com,yznBWkZbe
7,"
                                                                                                    #“冒牌”手机辨别法#之十 闻味道：更要注意的是，许多新手机都有一股明显的檀香味，或者普通塑料味儿，而旧机子和换壳机一般都没有这样的味道，或是有加工时留下的异味，记住檀香味道是不同与一般的清洁剂和香水的味儿哟。另外机身不会有粘粘的蜡和油。 ????????                                            ",是,无, 2012-8-28 14:30,6,3,赞,微博 weibo.com,yzfp7A8cP
8,"
                                                                                                    #“冒牌”手机辨别法#之九 看价格：在购买手机前，最好先在当地报纸或是网站上了解一下手机的价格[群体围观]。如果经销商报出的价格很便宜，就要警惕了，这样“廉价”的手机也许就是翻新手机、非正规渠道产品，或是配件“缺斤短两”。[din天哦] ????????                                            ",是,无, 2012-8-28 10:57,2,2,赞,微博 weibo.com,yze0rb4tE
9,"
                                                                                                    #“冒牌”手机辨别法#之八 看保修：向经销商询问手机的保修期并索要正规的发票。翻新手机无法享受正规手机“三包”规定的所有权益，因此一般没有保修期或保修期相对较短。其实正规手机一般都是全国联保的，如果销售商无法做到这些，那么手机肯定存在问题。 ????????                                            ",是,无, 2012-8-28 09:49,3,2,赞,微博 weibo.com,yzdyQzcJT
10,"
                                                                                                    这个故事告诉我们：第一头能过去的地方，身子真不一定能过去！第二没事儿的时候，不要把头往栏杆、墙缝儿等缝隙中间伸，小朋友尤其要注意！第三万一出现被卡住的情况，生挤很危险，报警不丢人！第四笑完了必须转！[群体围观]//@姚晨: 介孩纸，大名卡夫卡，小名卡门。                                            ",否,"
                                                                                                    千古奇葩，笑尿了。。。脑残无极限啊。。。。 ????????                                                            ", 2012-8-27 17:30,29,3,71,微博 weibo.com,yz79y5mvv
11,"
                                                                                                    #“冒牌”手机辨别法#之七 看使用记录：看看手机中游戏、短信、电话本、通话记录、自编铃声、WAP和语音功能及通话纪录等项目有没有使用过的记录，如果有的话则有非常大的翻新嫌疑。另外在正常的使用过程中，机子频繁地自动关机或是死机，那么可以肯定地说这款手机的主板或是软件存在一定问题。[挖鼻屎] ????????                                            ",是,无, 2012-8-27 17:10,9,评论,赞,微博 weibo.com,yz71jalPI
12,"
                                                                                                    #“冒牌”手机辨别法#之六 看金属接触点：火眼金睛看机身电池卡锁处有无拨痕，sim卡槽和触点有无磨损，MMC卡（手机存储卡）接触点是否有印痕，全新应该是光亮的。看到自己都晕菜也没看出有划痕，估计就是新的。 ????????                                            ",是,无, 2012-8-27 14:42,4,2,赞,微博 weibo.com,yz63u9dnB
