序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    //@魏秀杰Nicole: @某个人无敌 啥时摘去啊//@北京市通州://从现在起，持续一个月呀。                                            ",否,"
                                                                                                    #北京首届蘑菇文化节——金秋又逢菌#粉蘑菇金蘑菇穿着白毛衣的黑木耳、还有传说中白娘子费心九二虎之力才采到的灵芝仙草，在蘑菇园里都能找到，只要您高兴一个转身就能采到最中意的那朵。蘑菇文化节期间，通州区永乐店镇孔庄村的食用菌产业园可供大家采摘蘑菇，体验休闲乐趣。 O网页链接 ????????                                                            ", 2012-8-30 15:57,2,6,赞,微博 weibo.com,yzyPqD3t7
2,"
                                                                                                    //@sunnycorolla: @北京市通州                                            ",否,"
                                                                                                    #北京首届蘑菇文化节——金秋又逢菌#粉蘑菇金蘑菇穿着白毛衣的黑木耳、还有传说中白娘子费心九二虎之力才采到的灵芝仙草，在蘑菇园里都能找到，只要您高兴一个转身就能采到最中意的那朵。蘑菇文化节期间，通州区永乐店镇孔庄村的食用菌产业园可供大家采摘蘑菇，体验休闲乐趣。 O网页链接 ????????                                                            ", 2012-8-30 15:04,6,5,赞,微博 weibo.com,yzytPatVp
3,"
                                                                                                    //@咖啡呼吸: 是在宋庄吗？//，是的，宋庄辖区。                                            ",否,"
                                                                                                    #2012中国马球公开赛9月在通州新城挥杆#9月1日至23日，跻身世界前五大赛事之一的“皇家礼炮王者杯2012中国马球公开赛”将在通州新城举行。届时世界多个国家的马球选手将云集新城，角逐0—4级、4—8级和16级的比赛奖项。更多内容敬请关注:O网页链接。@北京市通州 ????????                                                            ", 2012-8-30 14:54,3,2,赞,微博 weibo.com,yzypEj61X
4,"
                                                                                                    回复@小蚯蚓1987:可以登录这个网址：O网页链接 //@小蚯蚓1987:这是什么微博啊，发微薄的人有点不负责吧！没有时间 没有具体地点 说的云里雾里的！ //@北京市通州:转发微博                                            ",否,"
                                                                                                    #华北最大花卉景点：通州新城万花园正式开园#近日，以“走进通州，畅游花海”为主题的畅游人文通州暨花仙子万花园开园典礼，在通州新城国际种业科技园区举行。标志着华北最大花卉景点万花园正式开园。更多内容敬请关注:O网页链接。@北京市通州 ????????                                                            ", 2012-8-29 16:23,1,4,赞,微博 weibo.com,yzpzr40Nr
5,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #第18届世界食用菌大会在北京国际会议中心开幕#8月27日，由通州区主办的第18届世界食用菌大会在北京国际会议中心开幕。届时，将邀请来自世界银行等国际组织代表等600名代表和相关人士，到通州观摩食用菌产业发展情况，并推介通州新城建设成就。更多内容敬请关注:O网页链接。@北京市通州 ????????                                                            ", 2012-8-29 16:05,4,2,赞,微博 weibo.com,yzprZu2VJ
6,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #通州高标准建设基础设施 推动国际新城建设#东关大道目前正进行结构施工，年底前可完成结构施工。北环环隧预计年底可完成结构施工。地铁M6线二期北关、新华大街、玉带河大街3个换乘站目前正在紧张施工，预计明年年底竣工试运行。更多内容敬请关注:O网页链接。@北京市通州 ????????                                                            ", 2012-8-29 16:00,5,1,赞,微博 weibo.com,yzppU5G2V
7,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #华北最大花卉景点：通州新城万花园正式开园#近日，以“走进通州，畅游花海”为主题的畅游人文通州暨花仙子万花园开园典礼，在通州新城国际种业科技园区举行。标志着华北最大花卉景点万花园正式开园。更多内容敬请关注:O网页链接。@北京市通州 ????????                                                            ", 2012-8-24 10:09,11,18,赞,微博 weibo.com,yyBZbrJMf
8,"
                                                                                                    转                                            ",否,微博已被原作者删除, 2012-8-22 08:01,-1,3,赞,微博 weibo.com,yyii5qrTb
9,"
                                                                                                                                                ",否,"
                                                                                                    《在路上》说：“我还年轻，我渴望上路”。她是此行让我动摇人生观的人的旅者。李奶奶，68岁，北京通州人，我遇到她时，她正骑车找纳帕海的入口，此时海拔3200米。她一个人从北京到昆明从昆明到丽江从丽江到香格里拉。准备一个人坐巴士翻越海拔5000米的白马雪山垭口，去德钦看梅里。祝福，并为她求转发 ????????                                                            ", 2012-8-21 14:03,18,6,赞,专业版微博,yybewj35N
10,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #北京市第十三次团代会#即将召开！你一定还记得入团考试时的紧张心情；记得第一次佩戴团徽的激动时刻；记得那些与共青团有关的日子……那么，请同我们一起，分享你与共青团有关的青春故事吧~O网页链接 ????????                                                            ", 2012-8-21 09:15,转发,1,2,微博 weibo.com,yy9lCsSOb
11,"
                                                                                                    【一个CEO的八角色】1，大忽悠，确立各方利益相关的远景规划。2，包工头，缺什么补什么。3，总帮主，不断微调团队。4，交际花，跟政府，客户打好交道。5，总客服，获知并反馈。6，智多星，探求企业文化。7，大账房，财政管理（减少支出就是收入）。8，大明星，企业最大的代言人。各位，上午好。 ????????                                            ",是,无, 2012-8-21 09:15,5,2,赞,微博 weibo.com,yy9lqDxd2
12,"
                                                                                                                                                ",否,"
                                                                                                    【一张5000元的汇款单一份守候47年的承诺】47年前杨为之痔疮发作来到医院，当时的他交不起诊疗手术费，他答应医生日后一定把医疗费寄来。然而收入微薄的他无法马上偿还，等他有力偿还的时候医院却不见了。“做人必须讲诚信。”几经周折后，老人终于找到了医院并汇去了5000元。O网页链接 ????????                                                            ", 2012-8-21 09:01,4,评论,赞,微博 weibo.com,yy9fWfaOK
13,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【大学四、六级考试成绩现在公布，同学们赶紧查询吧！】#教育新知#@上海国子监 说，今年6月全国大学英语、日语、德语、俄语四、六级考试以及法语四级考试成绩，今天上午9时正式公布。网上免费查分O99宿舍-全国大学英语四六级考试官方成绩查询...， 收费短信查分方式详见长微博。希望大家都顺利过线！ via@上海教育 ????????                                                            ", 2012-8-21 09:00,转发,评论,赞,微博 weibo.com,yy9fEdzls
14,"
                                                                                                    帮转一下。                                            ",否,微博已被原作者删除, 2012-8-21 09:00,-1,5,赞,微博 weibo.com,yy9fnnHNL
15,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #惠说北京#告诉通州区朋友一个好消息！我从通州区政府得知，北京阜外心血管病医院与该区潞城镇签署了关于共建潞城社区医疗合作中心的协议。从本周起，通州心血管病患者可以在每周五上午前往潞城卫生院享受这家三甲医院为您提供的专家门诊、会诊和查房、双向会诊和健康教育等医疗服务。 ????????                                                            ", 2012-8-20 12:39,7,1,赞,微博 weibo.com,yy1fNvOnY
16,"
                                                                                                    转发微博                                            ",否,"
                                                                                                     号外号外！为了让居住在北京通州地区的同学，能实现便捷舒适的上下班，于是拼啦开通了【拼啦-通州qq群】qq群号为：218598320，现群已经有活跃用户300多人啦，大量鲜活拼车信息，等待着通州同学哟 （加群暗号：拼啦拼车）~@北京市通州 @通州同城会 #拼啦拼车# ????????                                                            ", 2012-8-15 17:03,9,2,赞,专业版微博,yxhQAuE3Q
17,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【京郊赏菊 延庆四季花海自助游玩攻略】恐怕京郊没有哪片花海像延庆的四季花海那样令人过目难忘了。当我们乘了两个小时的车、昏昏欲睡时突然发现了这么一个世外幽谷，数千亩橙色的万寿菊被群山环抱，每一块菊田明亮得就像是画家的油画笔肆意涂抹上的痕迹，带着醉人的艺术感。O网页链接 ????????                                                            ", 2012-8-14 15:17,5,评论,赞,微博 weibo.com,yx7J58ED0
18,"
                                                                                                    #通州发布#本月27-30日，通州将举办第18届世界食用菌大会，届时将有来自世界40个国家的600名专家和各界人士参会，共同研讨食用菌培育、生产、食用等课题。同时，在29日参会的600名代表将统一乘车前往通州永乐店、马驹桥等地的食用菌生产基地观摩工厂化生产。 ????????                                            ",是,无, 2012-8-14 15:04,4,评论,赞,微博 weibo.com,yx7DGlgem
19,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【周克华击毙现场直击：目击者称听见3声枪响】目前击毙现场已经被警方用警戒线隔离，有大批持枪特警值守。有现场目击者称：“今天早上6点多不到7点时，我听到外面3声枪响。我是第一个出来看的，当时就看到有人倒地，警察把地上的枪踢开。当时我看到还有3、4个便衣警察在现场。”O网页链接 ????????                                                            ", 2012-8-14 10:49,5,4,52,微博 weibo.com,yx5YnfX3x
20,"
                                                                                                    #开心一刻#我只是让你意思一下，没想到你那么实在，呜呜呜。。。。。 ????????                                            ",是,无, 2012-8-10 18:18,11,2,赞,微博 weibo.com,ywxcJnVk5
21,"
                                                                                                    #通州发布#受7.21暴雨的影响，大运河森林公园前一阵子暂时闭园，经工作人员夜以继日连续抢修，在经过近20天的努力之后，8月10日终于恢复开园。O网页链接 ????????                                            ",是,无, 2012-8-10 18:14,11,6,赞,微博 weibo.com,ywxb34KZL
22,"
                                                                                                    旅行的长度由钱包决定；旅行的宽度由目光决定；旅行的深度由心灵决定；旅行的高度有品位决定。早上好，各位。 ????????                                            ",是,无, 2012-8-9 09:08,11,4,赞,微博 weibo.com,ywkaCl3jU
