序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【睡觉排毒时刻表】21:00—23:00 （免疫系统排毒）；23:00—凌晨1:00 （肝部排毒，需熟睡）；凌晨1:00—3:00 大肠排毒；早上7:00—9:00 (小肠大量吸收营养) 工作压力大，睡不着怎么办？提高睡眠质量准备工作：1、温水沐浴；2、睡前照镜（给自己自信的笑容）；3、音乐；4、热牛奶。 ????????                                            ",是,无, 2012-8-31 09:23,转发,1,赞,微博 weibo.com,yzFFNx3WM
2,"
                                                                                                    【吸烟的人应多吃的食物】①补充维生素（牛奶、胡萝卜、花生、玉米面、豆芽、白菜、植物油） ②经常多喝茶，茶能利尿、解毒，还可使烟中的一些有毒物随尿液排出 ③多吃含硒、铁、降低胆固醇食物（牛奶、鱼类、豆制品、肉桂及水果、蔬菜） ④多食坚果类 ⑤胡萝卜素类。 ????????                                            ",是,无, 2012-8-31 09:23,转发,评论,赞,微博 weibo.com,yzFFIvXbn
3,"
                                                                                                    正确姿势免背痛                                            ",否,"
                                                                                                    【正确姿势免背痛】长时间使用计算机的人通常会不自觉把头颈伸前，长时间下来，该部位便会劳损产生痛楚。其实要避免产生此种肌肉痛症，首要注意自己的姿势。 ????????                                                            ", 2012-8-31 09:19,1,评论,赞,微博 weibo.com,yzFEhi7v8
4,"
                                                                                                    补充医保报销制度                                            ",否,"
                                                                                                    据报载：昨日，国家发改委、卫生部、财政部、人社部、民政部、保险监督管理委员会等6部门公布《关于开展城乡居民大病保险工作的指导意见。针对一些特别贵的大病，我国将建立补充医保报销制度，在基本医保报销的基础上，再次给予报销，要求实际报销比例不低于50%。O网页链接 ????????                                                            ", 2012-8-31 09:15,转发,评论,赞,微博 weibo.com,yzFCspAGl
5,"
                                                                                                    八大癌症“免死金牌                                            ",否,"
                                                                                                    【八大癌症“免死金牌”】1.胃癌“免死金牌”——大蒜。2.肝癌“免死金牌”——蘑菇。3.胰腺癌“免死金牌”——菜花。4.肺癌“免死金牌”——菠菜。5.肠癌“免死金牌”——茭白。6.乳腺癌免死金牌——海带。7.皮肤癌“免死金牌”——芦笋。8.宫颈癌“免死金牌”——黄豆。 ????????                                                            ", 2012-8-30 09:07,1,评论,赞,微博 weibo.com,yzw8HqztX
6,"
                                                                                                    拾金不昧                                            ",否,"
                                                                                                    近日，我院宋书宁大夫在门诊候诊椅上发现一个男式皮夹。她积极想办法联系失主，并及时将钱包归还了失主。失主万分感激，执意要给宋大夫300元钱，被她婉言拒绝了。宋书宁大夫用自己的实际行动践行了医务工作者乐于助人、拾金不昧的良好道德品质，充分体现了医院职工心系患者、积极向上的精神风貌。 ????????                                                            ", 2012-8-30 09:06,转发,评论,赞,微博 weibo.com,yzw8qjwbJ
7,"
                                                                                                    【健康小知识】清晨第一杯，你喝什么？1、白开水-使血液得到迅速稀释，纠正夜间的高渗性脱水；2、蜂蜜水-既可补充水份，又可增加营养，完全可取代白开水的位置；3、柠檬水-这杯排毒水不仅是身体最好的酸碱中和剂，还能起到清除宿便、排除毒素的功效。 ????????                                            ",是,无, 2012-8-29 11:23,4,评论,赞,微博 weibo.com,yznBE35W3
8,"
                                                                                                    【颈椎病预防】操作电脑时要保持正确坐姿：请确保坐着时整个脚掌着地。经常伸展腿部并改变腿的姿势。要经常站起来离开工作台稍微走动和经常改变腿部的位置，使人整个放松一下。注意不要将箱子或其他物品放置在桌下，这样会限制腿部的活动空间。 ????????                                            ",是,无, 2012-8-29 11:23,1,1,赞,微博 weibo.com,yznBz2QaC
9,"
                                                                                                    祛暑防痱药浴                                            ",否,"
                                                                                                    【祛暑防痱药浴】菊花浴：取菊花适量，煎汁去渣，加入浴水中，泡洗20分钟左右，再用水冲净。此浴有解暑、明目、清火、醒脑之功。金银花浴：取金银花适量，煎水，滤汁后兑入浴水，洗泡20分钟左右，再冲洗干净，浴后凉爽舒畅，治痱效果理想。 ????????                                                            ", 2012-8-29 11:19,转发,评论,赞,微博 weibo.com,yznzTA7Aa
10,"
                                                                                                    谨防织纹螺食物中毒                                            ",否,"
                                                                                                    #卫生安全提示#【谨防织纹螺食物中毒】怀柔区卫生监督所温馨提示：食品生产经营单位不得采购、加工和销售织纹螺；消费者不购买和食用织纹螺，误食织纹螺后，如发生口唇麻木等类似神经系统中毒症状，立即就医；消费者若发现食品生产经营单位采购、加工和销售织纹螺，及时向当地卫生行政部门举报。 ????????                                                            ", 2012-8-29 11:18,转发,评论,赞,微博 weibo.com,yznzEwUTu
