序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    为确保9月份完成入托、入学查验接种证工作，结合辖区流动人口多、私立幼儿园不放暑假的特点，金星卫生院CDC于8月24日对未放暑假的14所幼儿园的负责人开展查验接种证培训，并要求于9月3日前将大卡及接种证交到CDC站，预计9月5日正式开展补证、补种工作。@大兴卫生 @北京大兴健康教育 ????????                                                            ", 2012-8-27 19:43,转发,评论,赞,微博 weibo.com,yz81v4Wbp
2,"
                                                                                                                                                ",否,"
                                                                                                    补钙好像所有家长都知道，但要提醒大家的是，钙要与维生素D同服，还要清楚维生素D预防量和治疗量的问题，该用治疗量时一定要用治疗量，否则效果不好。 ????????                                                            ", 2012-8-27 13:36,1,评论,赞,微博桌面,yz5ClCPa8
3,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    一天很短，开心了就笑，不开心了就过会儿再笑。~大家要记得多多对自己笑，多多对他人笑，也许就在你扬起嘴角的一瞬间，生命都因此而明亮了，大家早安！ ????????                                                            ", 2012-8-27 08:33,1,评论,赞,微博桌面,yz3DsnVsB
4,"
                                                                                                                                                ",否,"
                                                                                                    朝阳医院和友谊医院零薪酬聘请普通市民做理事，参与医院各项重大决策。这是继医药分开之后，本市公立医院正在试点的又一项医改重要举措——“医院法人治理运行机制”，这意味着今后不再是院长一人说了算，而是由多方组成的理事会确定医院发展方向。详见O网页链接 ????????                                                            ", 2012-8-27 08:32,转发,评论,赞,微博桌面,yz3Dgh0O1
5,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【立秋后要提防几种疾病】①孩子—感冒发烧:秋季是感染病高发期，孩子往往会发烧、恶心呕吐、腹泻②年轻人—咽喉炎:空气变干燥，温度也逐渐降低。注意多喝温热水，少吃辛辣食物，保护好嗓子③中年人—骨头痛:夏季出汗多，肌肉毛孔疏松，秋天一到，不通则痛，出现关节肿胀等症状O网页链接????????????                                                            ", 2012-8-26 18:40,转发,评论,赞,微博 weibo.com,yyYbs5ujc
6,"
                                                                                                    转发微博                                            ",否,微博已被原作者删除, 2012-8-26 17:54,-1,评论,赞,微博 weibo.com,yyXSEojmQ
7,"
                                                                                                    太白斗酒诗百篇，自称是个微博仙。日日织博好分享，看我拿了个【斗酒百篇】勋章。O网页链接 ????????                                            ",是,无, 2012-8-26 16:15,转发,评论,赞,勋章馆,yyXenarV9
8,"
                                                                                                    //@房山区卫生局: 孩子注意力不集中有哪些表现下//@北京房山健康教育:转发微博                                            ",否,"
                                                                                                    （下）⑤记不清老师上课教的内容和布置的作业；⑥难以进入午睡状态；⑦在无人监督的情况下，难以独自完成老师布置的课后作业。若上述7条中表现超过3条，那么父母们就应该注意了。孩子小时候注意力不集中，若是未能得到及时纠正，对今后升学后的成绩以及智力发展都会带来很大的负面影响。 ????????                                                            ", 2012-8-24 17:58,转发,评论,赞,微博 weibo.com,yyF3dk1h6
9,"
                                                                                                    //@房山区卫生局: 孩子注意力不集中有哪些表现上//@北京房山健康教育:转发微博                                            ",否,"
                                                                                                    【孩子注意力不集中有哪些表现】（上）孩子注意力不集中常有以下表现：①对他说话时常常目光游离不定，并且记不住对方所说的话；②经常拒绝做一些需要持续用脑的事情；③常常丢三落四，很容易被周围的一丁点儿响动分散注意力；④在幼儿园或学校里难以安心上课，坐上一会儿就会情不自禁地站起来走动。 ????????                                                            ", 2012-8-24 17:57,转发,评论,赞,微博 weibo.com,yyF3bfVcY
10,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    为了提高护理人员整体素质，并在全院范围内营造热爱学习、崇尚学习的良好氛围，2012年8月22日，金星卫生院护理部组织开展了护理人员三基三严技能考核。 院领导高度注视此项工作，并由院长、业务副院长等共同组成评委团，对技能操作中存在的问题及时进行点评。 @大兴卫生 @大兴共青团 @西红门健康教育 ????????                                                            ", 2012-8-24 16:22,转发,评论,赞,微博 weibo.com,yyEqf4tud
11,"
                                                                                                    #医疗救助#日前，大兴区人民医院加入由神华公益基金会联合中国社工协会联合组织的2012年度“神华爱心行动”，即日起至12月31日我区内低保或贫困家庭0-14岁先心病患儿到区人民医院心脏外科就诊后，自费部分医疗费用携带有关证件可向医院申请符合条件者可获得最高2万元的救助。详情可咨询该院。@首都健康 ????????                                            ",是,无, 2012-8-24 14:21,转发,评论,赞,微博 weibo.com,yyDDtjsgq
12,"
                                                                                                    转发微博                                            ",否,微博已被原作者删除, 2012-8-24 11:29,-1,评论,赞,微博 weibo.com,yyCvzBr8h
