序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    近期，丰台区卫生局卫生监督所联合区工商局广告科，共同召开了丰台区民营医疗机构法人代表约见会暨深入开展打击违法发布医疗广告专项整治工作会议，要求各医疗机构严格按照规范进行宣传，杜绝虚假信息和虚假广告，严格按照核准的诊疗科目进行医疗活动，对举报投诉较多的医疗机构将进行重点督查。 ????????                                            ",是,无, 2012-8-30 09:38,转发,评论,赞,微博 weibo.com,yzwlg2TYt
2,"
                                                                                                    积极参与                                            ",否,"
                                                                                                    #关爱婴幼儿健康#如何正确选购、使用婴幼儿卫生用品？北京地区相关产品监督抽检合格率是多少？今天上午10点至11点，北京公共卫生消毒产品专家李健做客微访谈，和大家聊聊正确选购、使用婴幼儿卫生用品，欢迎大家提问！提问页面：O网页链接????????????????                                                            ", 2012-8-30 09:10,转发,评论,赞,微博 weibo.com,yzwa06ls7
3,"
                                                                                                                                                ",否,"
                                                                                                    石景山区首批卫生监督协管员上岗履职！近日，经过基层推荐、资格审查、岗前培训和考试考核等程序，石景山区首批70名卫生监督协管员领取了“卫生监督协管员证”，正式持证上岗。卫生监督协管员负责对辖区餐饮服务、公共场所卫生和学校卫生工作进行巡回检查、服务指导等，详情：O网页链接 ????????                                                            ", 2012-8-28 15:43,2,1,赞,iPhone客户端,yzfSL1LdW
4,"
                                                                                                    #监督动态#【丰台河西76家餐饮单位接受“体检”】民以食为天，食以安为先。7·21特大自然灾害后，区卫生监督所及时启动应急预案，7月21日至8月7日期间，出动卫生监督员128人次，对我区河西地区76家餐饮服务单位进行监督检查，确保餐饮单位能为百姓提供安全的餐饮服务。O网页链接 ????????                                            ",是,无, 2012-8-13 13:20,3,1,赞,微博 weibo.com,ywXxbka3p
5,"
                                                                                                    关注                                            ",否,"
                                                                                                    #小知识#【您知道“罗丹明B”的危害吗？】近日市卫生局公布，北京市将开展餐饮服务食品安全专项整治工作，重点查处非法添加罗丹明B等工业染料的行为，这些染料多用于火锅和烧烤底料。罗丹明B，是一种人工合成的染料，曾用作食品添加剂，但实验证明罗丹明B会致癌，现在已禁止使用。????????????????罗丹 ????????                                                            ", 2012-8-12 08:47,转发,评论,赞,iPhone客户端,ywMjPCfGg
6,"
                                                                                                    暴雨过后保障公共卫生安全                                            ",否,"
                                                                                                    【暴雨过后保障公共卫生安全】：为有效预防和控制“7??21”特大自然灾害发生后传染病疫情、饮用水污染和食源性疾患等公共卫生事件，确保灾后卫生安全，市卫生局按照市委、市政府的要求，紧急启... O网页链接 （使用新浪长微博工具发布 O网页链接） ????????                                                            ", 2012-8-3 13:28,转发,评论,赞,政府版微博,yvrjgvEuP
7,"
                                                                                                                                                ",否,"
                                                                                                    #丰台发布#丰台卫生监督保障受灾群众吃上“放心饭”，监督员要求现场的工作人员要张贴“提示”，让每个群众都清楚，从取餐到用餐完毕不要超过半小时，不要吃剩余食品，同时，每天都要了解受灾群众的身体状况，确保受灾群众的身体健康安全。截止到7月31日，监督所共保障了22餐次18140人次的就餐安全。 ????????                                                            ", 2012-8-2 18:31,转发,评论,赞,iPhone客户端,yvjRWkw4y
8,"
                                                                                                    积极排查生活饮用水卫生安全，保障受灾居民饮水卫生                                            ",否,"
                                                                                                    #丰台发布#丰台卫生监督积极排查生活应用水卫生安全隐患 ????????                                                            ", 2012-8-1 13:38,转发,评论,赞,微博搜索,yv8wmEq2F
9,"
                                                                                                    你们是最棒的！                                            ",否,"
                                                                                                    雨中工作[爱心传递] 我在:O网页链接 ????????                                                            ", 2012-8-1 13:36,转发,评论,赞,微博 weibo.com,yv8vxxSAn
10,"
                                                                                                    #卫生监督在行动#7月21日暴雨过后，我区长辛店街道受灾严重，受灾群众由政府统一安置，由我区一家集体用餐配送公司供餐，每餐约800份。接到供餐任务后丰台卫生监督所立即部署，派出两名经验丰富的监督员对进行全面监督。供餐期间，每日指派监督员进行巡视监督，确保受灾群众能吃上“放心饭”。 ????????                                            ",是,无, 2012-8-1 13:23,2,1,赞,微博 weibo.com,yv8qsysO3
