序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    急//@北京12320在聆听://@范_彬彬: //@北京大学肿瘤医院: 急！！！//@李坚韧: @首都健康 @北京12320在聆听                                            ",否,"
                                                                                                    请广泛转：青岛两环卫工人井下中毒，怀疑氰化物中毒，急求： 1)????亚硝酸乙戊酯5支??????2)????3%的亚硝酸钠20支????????3)????4-二甲基苯酚针20支。 @薛蛮子 @萝莉影 @老杜之顺流逆流 ????????                                                            ", 2012-8-31 12:45,转发,评论,赞,微博桌面,yzGZLpGei
2,"
                                                                                                    期待卫生监督协管员正式上岗                                            ",否,"
                                                                                                    #卫生信息#近日，@北京房山卫生监督 召开了房山区卫生监督协管工作启动暨首次培训会。随后将由卫生院对本辖区协管员开展二级培训。房山区此次共聘请500余名卫生监督协管员，全员培训考核后，卫生监督协管工作将正式开展。 ????????                                                            ", 2012-8-30 10:28,转发,3,赞,微博桌面,yzwFNl1jE
3,"
                                                                                                    预防食物中毒[吃汤圆]//@全国卫生监督技能竞赛:【预防食物中毒知识】#卫生监督提醒您# 北京朝阳卫生监督教您预防食物中毒知识 @北京朝阳卫生监督                                            ",否,"
                                                                                                    @北京朝阳卫生监督 的专辑 预防食物中毒知识，推荐给大家！ O网页链接 ????????                                                            ", 2012-8-23 15:54,转发,评论,赞,微博桌面,yyuOt5pTC
4,"
                                                                                                    万一误食毒蘑菇怎么办？ 头脑冷静，立即拨打120或999，保留毒蘑菇样品供专业人员救治参考。在等待过程中，让中毒者将手指伸进咽部催吐，减少毒素吸收。为防反复呕吐发生脱水，最好让患者饮用糖盐水，补充体液，防止休克，并为患者加盖毛毯保温。对于已发生昏迷的患者不要强行向其口内灌水，防止窒息。 ????????                                            ",是,无, 2012-8-23 14:42,1,评论,赞,微博桌面,yyuls8APp
5,"
                                                                                                    近日，为加强集中空调通风系统的卫生管理，预防和控制空气传播性疾病的传播，保障公众健康，在市卫生局的统一部署下，房山区卫生局卫生监督所对全区集中空调进行了监督检查，抽取人群相对密集的5家单位，对其集中空调设备冷却（凝）水、积尘量、细菌总数、真菌总数进行采样。并检查了设备清洗消毒情况 ????????                                            ",是,无, 2012-8-23 14:09,5,评论,赞,微博桌面,yyu7T7YEg
6,"
                                                                                                    不要采食野蘑菇//@食品安全标准:路边的蘑菇不要摘呀~                                            ",否,"
                                                                                                    【不要让漂亮蘑菇成美丽“杀手”】夏秋季是蘑菇生长旺季，也是蘑菇中毒的高发季节。由于毒蘑菇与食用蘑菇外形相似，辨别起来非常困难，惟一可靠的方法就是专业人员根据蘑菇形态特征的分类进行鉴定，有时甚至需要借助显微镜等工具才能准确辨别，各种“经验”和“土法”都不可靠，普通市民一般难以辨认。 ????????                                                            ", 2012-8-21 14:18,1,评论,赞,微博桌面,yybkFuASE
7,"
                                                                                                    //@北京房山健康教育:正确饮用桶装水!                                            ",否,"
                                                                                                    【桶装水，超7天勿饮！！】浙江省疾控中心副主任周晓红的监测发现：桶装水开封后第1-3天，水是安全的；但到了第5天，菌落数合格率便降到60%；第7天降至20%，而到了第10天，则无一合格。为确保饮水健康，周晓红建议：桶装水开封3天后，尽量只喝热水；7天内，尽可能饮用完。切记切记！！ via信息时报 ????????                                                            ", 2012-8-13 10:19,2,评论,赞,微博桌面,ywWlOwp9R
8,"
                                                                                                    //@邯郸卫生监督:转发微博。                                            ",否,"
                                                                                                    游泳场所市民如何选择游泳池????1、查看该场馆是否悬挂着有效卫生许可证和量化分级等级标示；????2、通过游泳场馆的电子公示牌或文字公示牌，查看当天游泳池的水温、余氯浓度、PH 值等指标是否合格。????3、查看游泳场馆是否设立健康证检查岗。 ????????                                                            ", 2012-8-9 09:20,2,评论,赞,微博桌面,ywkfM4uP1
9,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    安置房小区内医务室、超市、警务站、物业等生活配套设施一应俱全 ????????                                                            ", 2012-8-7 18:25,转发,评论,赞,微博桌面,yw4XJokIH
10,"
                                                                                                                                                ",否,"
                                                                                                    分布在大石窝、佛子庄、韩村河、琉璃河、史家营、张坊、霞云岭等15个乡镇的40个安置点安置房如期竣工。 ????????                                                            ", 2012-8-7 18:24,转发,1,赞,微博桌面,yw4XxyWVy
