序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #镇域风采#【为社区居民提供家庭医生式服务】黄村镇孙村卫生院与新凤社区居民签订《北京市社区卫生服务机构家庭医生式服务协议书》，为居民提供主动、连续、综合的家庭医生式健康责任制管理服务。 ????????                                            ",是,无, 2012-8-20 18:00,1,评论,赞,微博 weibo.com,yy3mgjGBw
2,"
                                                                                                    #街道新闻#【人行天桥加装无障碍电梯完工】人行天桥工程位于兴丰大街与黄村西大街交叉口。天桥分东、南、西、北四段桥面，横跨两大街交叉的四个路口，天桥设有无障碍竖直电梯，方便残疾人通过。人行天桥的投入使用改善了之前此路口道路狭窄拥挤、人车混乱的交通状况。O网页链接 ????????                                            ",是,无, 2012-8-20 16:55,11,6,赞,微博 weibo.com,yy2VY4iD7
3,"
                                                                                                    #镇域风采#【你来比划我来猜】近日，大兴区亦庄镇广德苑社区举办了“你来比划我来猜”趣味竞赛活动。本次竞赛是以家庭为单位，每个家庭派两名成员参加比赛，一个人比划一个人猜，猜对题目最多的一组优胜者。竞赛中，参赛者用幽默的语言和诙谐的动作让整个活动充满了欢乐。 ????????                                            ",是,无, 2012-8-20 15:17,转发,1,赞,微博 weibo.com,yy2ieyOly
4,"
                                                                                                    #大兴交通#【规范服务，提升形象】新城人力三轮车运营将实现车型、运营人员的服装、证件及运营范围的统一。今年，大兴区购置50辆新式的人力客运三轮车对原有车辆进行了更新。8月17日上午，在大兴区黄村火车站站前广场举行人力客运三轮发车仪式。 ????????                                            ",是,无, 2012-8-20 14:09,1,4,赞,微博 weibo.com,yy1Qfs5NL
5,"
                                                                                                    #镇域风采#【奥运掀起运动风】伦敦奥运会已经结束，但奥运会所带动的运动风潮却丝毫未减。炎炎夏日，傍晚是锻炼身体的最佳时间段，在健身广场、公园、活动室中，涌现出大量打乒乓球、打篮球、跳健身舞、打太极等运动的人群，他们以不同的运动方式积极参与全民健身运动。 ????????                                            ",是,无, 2012-8-20 12:53,1,2,赞,微博 weibo.com,yy1lzkY6t
6,"
                                                                                                    #镇域风采#【义诊献爱心】近日，大兴区瀛海镇卫生院的青年志愿者们在兴海园文化广场举办了一阵献爱心活动，免费为群众测量血压、身高、体重、提供免费咨询，活动中发放疾病预防宣传材料150余份、防汛小知识100余份，并为辖区内常住居民建立家庭健康档案50余份。 ????????                                            ",是,无, 2012-8-20 10:31,转发,评论,赞,微博 weibo.com,yy0pY2z1R
7,"
                                                                                                    #镇域风采#【世界母乳喂养周】近日，大兴区瀛海镇卫生院开展“回顾过去，展望未来”世界母乳喂养周宣传活动，活动播放母乳喂养知识、设立咨询台、举办育儿专题讲座向年轻的妈妈们宣传母乳喂养的优点以及正确哺乳的知识，此次活动有助于让更多的年轻妈妈了解了母乳喂养的好处，促进宝宝健康成长。 ????????                                            ",是,无, 2012-8-20 09:03,1,评论,赞,微博 weibo.com,yxZQ7ke7t
8,"
                                                                                                    #镇域风采#【小手拉大手，暑期亲子创意秀】8月16日，大兴区亦庄镇举办《小手拉大手，暑期亲子创意秀》活动，有民族舞、现代舞、儿歌，还有亲子互动节目，孩子们各展所长，为居民们献上了一台精彩的文艺演出。 ????????                                            ",是,无, 2012-8-17 11:05,1,评论,赞,微博 weibo.com,yxymegC4e
9,"
                                                                                                    #中医药服务#6月以来，广安门医院南区组织在服务辖区7个社区卫生服务站开展采用降脂茶泡水代茶饮的方式治疗血脂异常的科研项目，302名患者参与项目，经过一个月后的复查，对部分患者降血脂取得初步成效。欢迎血脂异常患者到枣园、三合南里、海子角、福苑、宏盛、林校和兴城嘉园新城社区服务站咨询。 ????????                                            ",是,无, 2012-8-16 14:12,4,2,赞,微博 weibo.com,yxq9Pg74x
10,"
                                                                                                    #街道新闻#【歌满社区 消夏文艺演出】 ????????                                            ",是,无, 2012-8-16 09:11,2,评论,赞,微博 weibo.com,yxobChm9G
11,"
                                                                                                    #街道新闻#【红色少年宣传岗，义务服务为人民】近日，大兴区兴丰街道黄村东里社区成立了一支红色少年宣传岗，专门负责暑期社区板报工作。他们将“爱国、创新、厚德、包容”的北京精神书写在板报上，倡导大家弘扬北京精神。 ????????                                            ",是,无, 2012-8-15 17:39,4,2,赞,微博 weibo.com,yxi5lBzdO
12,"
                                                                                                    #街道新闻#【描绘七彩童年 欢度文明暑假】近日，大兴区兴丰街道黄村东里社区开展了暑假绘画作品展览活动。这里有孩子们的作品墙，书法、绘画作品琳琅满目，大家欣赏了墙上的作品后，孩子们又以暑期见闻为题材现场作画，活动中，孩子们充满欢声笑语，度过了一个有意义而愉快的暑假。 ????????                                            ",是,无, 2012-8-15 17:09,1,1,赞,微博 weibo.com,yxhTdzasY
13,"
                                                                                                    #街道新闻#【节水，从点滴开始】 ????????                                            ",是,无, 2012-8-15 17:03,5,2,赞,微博 weibo.com,yxhQwCutK
14,"
                                                                                                    #街道新闻#【弘扬北京精神 争当环保小卫士】近日，大兴区兴丰街道康居社区组织学生开展保护环境、服务社区、弘扬传统美德等社会公益活动。多名学生家长、中小学生参加了此次活动，清理小广告，擦拭宣传栏等，公益活动积极引导社区的中小学生参与到社区活动中来，让学生度过一个快乐、有意义的暑假。 ????????                                            ",是,无, 2012-8-15 16:36,2,评论,赞,微博 weibo.com,yxhFtFRDV
15,"
                                                                                                    #镇域风采#【夕阳美艺术团星火工程演出】整齐的服装，优美的舞姿，高亢的歌声，引来周边众多居民围观，掌声不断。近日，为了丰富社区居民生活，提高社区整体文化素养，大兴区亦庄镇夕阳美艺术团在泰河园一里社区举办星火工程演出活动，活动为居民带来了欢乐，得到一致好评。 ????????                                            ",是,无, 2012-8-15 13:34,1,1,赞,微博 weibo.com,yxgtWwppp
16,"
                                                                                                    #五有五提倡#【暑假多读几本好书】 ????????                                            ",是,无, 2012-8-15 11:33,转发,2,赞,微博 weibo.com,yxfGJz6t7
17,"
                                                                                                    #镇域风采#【全国漫画大赛颁奖典礼】近日，大兴区庞各庄镇举办的首届北京??大兴“西瓜文化”主题全国漫画大赛颁奖晚会在大兴区影剧院隆重举行。现场颁发了最佳大奖、最具创意、最具潜力3个奖项，奖项分别被选手张书信作品《铺路》、吕志华作品《异曲同工》、赵默作品《西瓜音乐节》等9名选手作品获得。 ????????                                            ",是,无, 2012-8-14 17:37,3,2,赞,微博 weibo.com,yx8DXw6A5
18,"
                                                                                                    #镇域风采#【比比谁最棒-学生象棋友谊大赛】大兴区西红门镇福星社区举办了""福星社区比比谁最棒-学生象棋友谊大赛""。学生们就两个人一组认真地较量起来，这盘棋下完了，两人还要再切磋的来上一盘棋。通过社区活动，学生们都体会到友谊第一，比赛第二的体育精神，都感受到我们国家独创的象棋的魅力。 ????????                                            ",是,无, 2012-8-14 15:59,2,3,1,微博 weibo.com,yx7ZYlLGl
19,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【京郊赏菊 延庆四季花海自助游玩攻略】恐怕京郊没有哪片花海像延庆的四季花海那样令人过目难忘了。当我们乘了两个小时的车、昏昏欲睡时突然发现了这么一个世外幽谷，数千亩橙色的万寿菊被群山环抱，每一块菊田明亮得就像是画家的油画笔肆意涂抹上的痕迹，带着醉人的艺术感。O网页链接 ????????                                                            ", 2012-8-14 15:17,1,评论,赞,微博 weibo.com,yx7J7cKED
20,"
                                                                                                    #镇域风采#美丽的南海子风光 ????????                                            ",是,无, 2012-8-14 14:33,5,3,赞,微博 weibo.com,yx7r5525C
21,"
                                                                                                    #街道新闻#【开展为老人三元剪发活动】 ????????                                            ",是,无, 2012-8-14 10:37,5,3,赞,微博 weibo.com,yx5Th4RkW
22,"
                                                                                                    #镇域风采#【全国漫画大赛开幕】近日，首届北京??大兴“西瓜文化”主题全国漫画大赛展在大兴区文化馆开幕。庞各庄镇在西瓜节期间举办以“炫动新瓜乡 北京祝福你”为主题的西瓜文化漫画大赛，收到20余个省市的漫画作品300余幅，目前评审工作已经完成，并将100幅优秀作品在区文化馆举办展览。 ????????                                            ",是,无, 2012-8-14 09:23,28,4,赞,微博 weibo.com,yx5pgEI0O
23,"
                                                                                                    #镇域风采#【拾金不昧好巡防】今日，大兴区庞各庄镇西义堂村村民赵连森在村南岗亭值班期间拾得一个黑色钱包，打开钱包一看，钱包里有银行卡、身份证和现金。为确认失主，赵连森将捡到的钱包交到村委会，请村委会帮忙联系失主。第二天清晨，在群委会的帮助下，联系上了失主，确认其身份后，将钱包归还。 ????????                                            ",是,无, 2012-8-13 17:21,转发,1,赞,微博 weibo.com,ywZ6NzXcv
24,"
                                                                                                    #镇域风采#【家庭避险培训班】近日，大兴区庞各庄镇邀请大兴消防支队防火监督处参谋开展了家庭避险培训班。80余名村民参加了培训，并发放灾害防御手册等宣传材料。培训结合实例讲解了防汛、防火、防电等家庭避险常识，以及发生火灾时如何正确报警、逃生的正确方法，提高了家庭自防、自查、自救的能力。 ????????                                            ",是,无, 2012-8-13 15:53,2,评论,赞,微博 weibo.com,ywYx87JSb
25,"
                                                                                                    #镇域风采#【庞各庄9家便民早餐点同时开业】近日，位于大兴区庞各庄镇一家早餐店喜庆开业，在该镇像这样的早餐店共有9家同时在这天开业，覆盖在镇域各个角落。这是以“大事不走远，小事不出村”为主题的便民工程，经过一年的策划、试点、运行，逐步探索的一条适合的创业模式，得到了广大群众的肯定。 ????????                                            ",是,无, 2012-8-13 13:01,2,1,赞,微博 weibo.com,ywXplwGtE
26,"
                                                                                                    #服务提示#为保护人民健康，提高居民脑卒中防治知识的知晓率，建立脑卒中筛查和干预以及社区转诊机制，按照市级有关部门部署，大兴区于8-9月间在旧宫、亦庄、安定和黄村4家社区卫生服务中心为1600名50岁及以上户籍人口进行脑卒中筛查服务。目前旧宫、亦庄、黄村3个镇的筛查工作已经启动。 ????????                                            ",是,无, 2012-8-13 11:37,2,评论,赞,微博 weibo.com,ywWRmEqqf
27,"
                                                                                                    #镇域风采#【高血压系列讲座活动】近日，大兴区庞各庄社区卫生服务中心组织了12次关于“高血压患者自我管理”的系列讲座活动，为高血压患者讲解了血压计的使用方法，便于患者进行血压的自我监测，制定降压目标，鼓励患者做降压操。达到了患者用积极的态度和有效的行为措施进行自我控制血压的目的。 ????????                                            ",是,无, 2012-8-13 11:26,转发,评论,赞,微博 weibo.com,ywWMK3JKm
28,"
                                                                                                    #镇域风采#【关注儿童健康 预防手足口病】近日，大兴区庞各庄镇开展了手足口病防治知识的宣传活动。此次宣传活动的对象以6岁以下儿童的父母为主，活动中共发放印有手足口病防治知识的宣传扇子100余把，现场咨询60余人次，解答了居民关于手足口病的发病特征、家庭日常防护措施等疑问。 ????????                                            ",是,无, 2012-8-13 10:20,3,1,赞,微博 weibo.com,ywWlRsFqW
29,"
                                                                                                    #镇域风采#【昔日沙田变绿洲】北章客村在大兴区庞各庄镇是出了名的沙多，每到冬春季节，呼啸的大风总是扬起漫天黄沙，经过平原万亩造林工程改造，如今的北章客村四处绿树成荫、鸟语花香，村民在家门口就如同身处森林公园一般。现在的北章客村，真可谓“大风起兮，沙不见；绿树成荫兮，人欢喜”。 ????????                                            ",是,无, 2012-8-13 09:49,转发,评论,赞,微博 weibo.com,ywW9yuG9B
30,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #服务提示#为保护居民身体健康，提高居民脑卒中防治意识，建立脑卒中筛查和干预及社区转诊机制，亦庄医院将于8月13日至2012年8月20日在亦庄3个社区开展脑卒中筛查工作筛查对象为辖区内50岁及以上户籍人口，共筛查400人。@北京大兴 @首都健康 @医药圈 ????????                                                            ", 2012-8-13 09:38,1,评论,赞,微博 weibo.com,ywW58j5PA
31,"
                                                                                                    #镇域风采#【中老年医疗保健知识讲座】近日，大兴区黄村镇新凤小区联合孙村社区卫生服务中心举办了一场中老年医疗保健知识讲座，内容涉及中老年人常见慢病的家庭管理、如何提高生活质量、中医治疗冠心病、高血压、糖尿病等方面。 ????????                                            ",是,无, 2012-8-10 16:57,2,3,赞,微博 weibo.com,ywwFwFIjI
32,"
                                                                                                    #镇域风采#【青少年儿童书画比赛】为了使全镇广大中小学生度过一个欢乐、充实、有意义的暑假，近日，大兴区亦庄镇鹿海园三里社区居委会举办了青少年儿童书画比赛。 ????????                                            ",是,无, 2012-8-10 15:43,转发,评论,赞,微博 weibo.com,ywwbPcCix
33,"
                                                                                                    #镇域风采#【社区文明小使者开始行动了！】近日，亦庄镇组织了“快乐假期??红心向党—争当社区文明小使者”活动。社区工作人员给孩子们讲解废旧电池和过期药品生活垃圾化处理给生态环境带来的污染等知识后，带领社区小使者们参加了社区志愿者服务。 ????????                                            ",是,无, 2012-8-10 14:19,1,评论,赞,微博 weibo.com,ywvDlitZl
34,"
                                                                                                    #镇域风采#【中式面点技能培训班结业了】大兴区西红门镇中式面点技能培训班结业考试在建新庄举行，参加考试的学员有68名。通过培训，学员们不仅学到了家常面食的制作技术，而且还掌握了几十种各地特色小吃的制作技术，内容实用性和可操作性较强，为居民就业再就业创造有利条件，深受广大居民的欢迎。 ????????                                            ",是,无, 2012-8-10 10:56,3,1,赞,微博 weibo.com,ywuj9yfam
