序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    玉渊潭公园： 触摸“景观之星”。近日，在玉渊潭公园景观大道上落成的北京市“景观之星”的先进事迹以及他们的手模在吸引了众多游人的同时，也让人们了解到了这些“景观之星”在“十一五”期间为首都公园绿地设计、建设、管理等方面作出的突出贡献。 ????????                                            ",是,无, 2012-8-31 11:01,4,1,赞,微博 weibo.com,yzGjM8J3L
2,"
                                                                                                    有需要的童鞋关注一下哦                                            ",否,"
                                                                                                    【非京籍者办护照先网上预约】#聚焦北京#9月1日起，非京户籍人员可在本市办理出入境证件。符合条件的非京籍人士办理时需提前网上预约，以提前完成审核工作，减少申请人等候时间。申请人可登录首都之窗网站（O网页链接）或拨打出入境管理总队咨询电话（84020101）了解相关信息。 ????????                                                            ", 2012-8-29 16:31,7,3,赞,微博 weibo.com,yzpCviGKK
3,"
                                                                                                    #民生海淀#海淀苏家坨将建大型中医院。依托西苑医院的医疗资源，海淀将在苏家坨地区开工建设一所三级医院标准的大型公立中医院。目前立项已完成，即将开工，大约两年内建成投入使用，设计床位300余张。医院将以康复、养老等专科医疗服务为主，缓解北部居民就医难。[膜拜了]@首都健康 ????????                                            ",是,无, 2012-8-29 14:21,19,9,赞,微博 weibo.com,yzoLQ7dnn
4,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    #残奥会#【伦敦残奥会即将开幕】伦敦时间29号晚上8点半，也就是北京时间明天凌晨3点半，伦敦残奥会的大幕就将徐徐拉开。开幕式关键词是“启蒙运动”，英国物理学家霍金可能会出现在开幕式上，中国代表团的旗手是来自辽宁大连的轮椅竞速选手张立新。O网页链接 ????????                                                            ", 2012-8-29 14:08,转发,1,赞,政府版微博,yzoGuAVuy
5,"
                                                                                                    海淀稳步推进社会保障经办业务下沉工作，截至目前，首批对外办理参保单位社会保险征缴业务的中关村等9街镇社保所已为300多家单位6000多人次办理了社保经办业务及咨询业务，方便、快捷的服务获得了办事群众的认可。附近有需要的童鞋欢迎前往噢！！！                                            ",否,"
                                                                                                    #民生海淀#【十项社会保险项目下沉试点街镇】为方便市民和单位就近办理社保业务，海淀人力社保局参考辖区内的参保单位户数，承载能力等条件，最终确定中关村、西北旺等9家社保所作为首批业务下沉街镇。各位有需要的童鞋可以提前联系噢！有图有真相!@北京12333 [cai晃头][cai开心] ????????                                                            ", 2012-8-29 13:38,4,评论,赞,政府版微博,yzouxfttu
6,"
                                                                                                    #民生海淀#近日，紫竹院街道在北洼路、厂洼、车南里、车道沟等7个长河沿岸、养犬人士较多的社区安装了50个宠物粪便收集器。收集器内装有宠物便便袋和小铲子，方便狗狗主人及时清理宠物粪便。希望养狗狗的童鞋像爱护狗狗一样，爱护环境！ ????????                                            ",是,无, 2012-8-29 08:45,30,10,赞,微博 weibo.com,yzmzjrDlA
7,"
                                                                                                    最好气温34度。。。还是要躲避“秋老虎”，各位童鞋                                            ",否,"
                                                                                                    【高温到周末】#北京你好#今日限行4和9，最高气温34℃。亲爱的夏天：忙碌了三个月，你太累了，快去歇歇吧，为嘛还要加这一周的班呢？早上出门发现天像一盆温吞水，树上的叶子纹丝不动，看来今天的高温是来者不善啊。大家切不可调以轻心，小清新+太阳伞+墨镜最流行。原创图片：有人告诉我这叫格桑花。 ????????                                                            ", 2012-8-29 07:26,10,3,1,微博 weibo.com,yzm3t0buZ
8,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    谁也不知道明天，明天从另一个早晨开始。——北岛 ????????                                                            ", 2012-8-28 23:08,3,评论,赞,微博 weibo.com,yziNmCV9Q
9,"
                                                                                                    #海淀游园#恐龙来啦！！！2012“历险恐龙岛”主题嘉年华正在海淀公园举办，大小朋友可以通过大型3D电影《恐龙星球》体验最震撼的“恐龙复活”，回归远古时代；亦可借恐龙大游行走进侏罗纪公园，与恐龙零距离接触。7大乐园主题、40余种游乐项目开启恐龙岛“神秘之旅”。[亲一口] ????????                                            ",是,无, 2012-8-28 14:15,4,2,赞,微博 weibo.com,yzfiXwypH
10,"
                                                                                                    #海淀新闻#植物园昙花白天盛开。昨日，北京植物园热带展览温室内的一株昙花悄然开放，美丽的花朵吸引了众多游客的目光。植物园的工作人员使用了“颠倒黑白”的养护措施，使得在夜间开放的昙花可以在白天与大家见面。由于昙花的花期较短，植物园的工作人员预计今天将进入这株昙花的末花期。 ????????                                            ",是,无, 2012-8-28 08:50,22,4,赞,微博 weibo.com,yzdb4nS2N
11,"
                                                                                                    智慧海淀，便民利民                                            ",否,"
                                                                                                    #我要办事# 【海淀区房管局房屋登记预约系统正式上线】平台的开通是为了方便百姓预约相关事项的办理时间，预约成功后，申请人将收到确认短信，系统也会自动发送《预约通知书》。请保留好确认短信或打印《预约通知书》，预约当天携带到办事现场入口：O网页链接 @海淀在线 @安居北京 ????????                                                            ", 2012-8-28 06:33,3,评论,赞,微博 weibo.com,yzchsh4wr
12,"
                                                                                                    童鞋们一起骑车，漫步绿道哇//@海淀区政府网站: 转发微博。                                            ",否,"
                                                                                                    【绿道将串联“三山五园”】下半年海淀将启动一条40公里的绿道建设，串联起香山、颐和园等三山五园景区。该绿道实际是一套具有休闲、健身功能的城市慢行系统，包括人行步道和自行车道，分别供市民漫步和骑行，沿途还将建设座椅、卫生间、果皮箱、小卖部等游憩设施。预计明年上半年投入使用。 ????????                                                            ", 2012-8-27 14:23,13,8,赞,微博 weibo.com,yz5VuiOMi
13,"
                                                                                                    #海淀好人#他是40岁的时尚理发师，他是在北京打拼20年的安徽人，他又是海淀首位非京籍居委会主任助理。7年来，他和他的伙计为地区居民免费提供上门服务3000次，每年因为义务理发的投入2万余元，他又是普通人，租房子，过生活、给员工开工资， 他是裴维忠，由他开始，新居民服务新居民的模式正在开启。 ????????                                            ",是,无, 2012-8-27 14:21,8,1,赞,微博 weibo.com,yz5UFuoGT
14,"
                                                                                                    //@海淀区青年联合会: @启迪秦君 差点忘记@主角！                                            ",否,"
                                                                                                    昨日，海淀青年创业基地挂牌仪式暨海淀青年创业者座谈会，在鼎好大厦举行。海淀区委常委、宣传部长陈名杰， 启迪公司副总裁秦君为基地揭牌。座谈会上陈名杰对青年寄予厚望，高度评价孵化器对于创业青年的意义。到位成功创业者讲述了自己的创业经历和经验，希望为有志于创业的青年提供尽可能多的帮助。 ????????                                                            ", 2012-8-27 14:01,4,1,赞,微博 weibo.com,yz5MI0R4z
15,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #智慧海淀# 【智能手机记账方式在全市推广】去年12月，区统计局智能手机记账方式在我区试点推广开始后，记账效率和质量得到了明显提高。今年8月10日，北京市统计局将智能手机记账方式纳入了全市一体化记账工作的日程中，并向各区县推广。@北京统计 @海淀在线 O网页链接 ????????                                                            ", 2012-8-24 17:30,转发,评论,赞,微博 weibo.com,yyERXmclu
16,"
                                                                                                    #海淀新闻#海淀首家社区“流动车管所”走进学院路街道。据介绍，社区“流动车管所”每季度在学院路地区上门服务一次，具体时间由居委会通知，可以办理驾驶证期满换证、验证、遗失补证、损坏换证、变更驾驶证信息等多项业务。当天“流动车管所”从上午9:30到下午4:00共办理换证、验证100人次。 ????????                                            ",是,无, 2012-8-24 17:28,1,1,赞,微博 weibo.com,yyER18L5n
17,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【政策问答】#劳动合同#问：在什么情况下用人单位必须顺延劳动合同期限？ 答：劳动者在规定的医疗期内或者女职工在孕期、产期、哺乳期内，劳动合同期限届满时，用人单位应当将劳动合同的期限顺延至医疗期、孕期、产期、哺乳期期满为止。 ????????                                                            ", 2012-8-24 13:40,3,1,赞,微博 weibo.com,yyDmwezTA
18,"
                                                                                                    八通线的童鞋注意啦                                            ",否,"
                                                                                                    #突发运营信息#7:36-7:40 八通线一列车因车门故障在双桥清人掉线，影响部分列车晚点。 ????????                                                            ", 2012-8-24 08:30,4,3,2,微博 weibo.com,yyBl0a4uA
19,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【邮政代办“驾驶证”】驾驶证有效期满换证、遗失补证、损坏换证等业务都可到邮局办理了。您只需携带本人二代身份证原件和复印件、“身体体检证明”和近期免冠白底彩色一寸证件照片3张及驾驶证原件，到开办此业务的邮局填写“机动车驾驶证申请表”后即可办理。最后，邮递员将按预留地址投递到您手中。 ????????                                                            ", 2012-8-24 08:29,7,1,赞,微博 weibo.com,yyBkzfWpC
20,"
                                                                                                    #海淀新闻#七夕节海淀新人登记忙。昨天早八点，海淀婚姻登记处前已经排起了长队，新人的脸上都洋溢着幸福的笑容。许多人早上五、六点钟就来排队等候，因为是工作日的原因，更有一些家长代替孩子排队取号。据悉，昨天海淀有近千对新人登记，登记处工作人员也24小值班，并提供10个窗口为市民提供服务。 ????????                                            ",是,无, 2012-8-24 08:28,1,1,赞,微博 weibo.com,yyBkd6cqc
21,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    #雨水控制与利用#《新建建设工程雨水控制与利用技术要点》中强制要求，小区内的人行道、非机动车道、广场两侧的人行步道必须采用透水铺装地面。 ????????                                                            ", 2012-8-23 16:08,3,2,1,政府版微博,yyuU6DaC6
22,"
                                                                                                    #创新海淀#“电子监管员”上岗 泳池放心游！经过两年多研究和调试，全市首家游泳池水质卫生GPRS远程监测系统率先在海淀启动，首批在辖区内选取监测点10家，开展包括水温、ORP（氧化还原电位）、PH值3项指标的监测，各种采集数据5分钟即可传送到监测平台。附上10家试点名单，还有温馨提示奉送 ????????                                            ",是,无, 2012-8-23 10:14,35,7,赞,微博 weibo.com,yysAt8qMA
23,"
                                                                                                    一站式服务噢                                            ",否,"
                                                                                                    #惠说北京#12345非紧急救助服务中心热线电话，是帮助市民解决问题的“绿色通道”，大家都很熟悉。将来，12345热线会实现“一号通”，100多个民生部门将由其整合起来，市民想找相关部门解决问题可以拨打这个电话。目前，12345在计划开通微博，拓宽倾听渠道，更好地为市民服务。 ????????                                                            ", 2012-8-22 14:37,5,评论,赞,微博 weibo.com,yykSJzfYe
