序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    关注周末天气                                            ",否,"
                                                                                                    【大雨到暴雨将袭京城 注意防范】31日17时北京气象信息：今夜阴云雾气遮蔽京城，最低气温24℃。明天下午到夜间有大雨到暴雨，并伴有雷电，降雨明显，市民请尽量减少外出，如若外出避开低洼积水路段，山区发生地质灾害气象风险较高，注意防范。明天最高气温29℃。@北京联通@北京移动@北京电信@北京发布 ????????                                                            ", 2012-8-31 17:21,21,3,4,微博 weibo.com,yzINFwCRP
2,"
                                                                                                    #共同关注##2012《开学第一课》教孩子发现美#最美教师张丽莉、最美司机吴斌、最美战士高铁成……《开学第一课》中不断涌现的中国“最美人物”将引领同学们发现身边之美、人格之美、社会之美。今年《开学第一课》将于9月2日晚8时在中央电视台一套首播，家长与孩子一起收看吧。 ????????                                            ",是,无, 2012-8-31 14:51,3,1,赞,政府版微博,yzHOQdZiB
3,"
                                                                                                    #温馨提示##朝阳医院明起医药分开#朝阳医院明天零时起将正式实施医药分开试点，即取消药品加成政策，取消挂号费和诊疗费，设立医事服务费。昨天，朝阳医院表示，预约了9月及以后号源者就医时不再交挂号费和诊疗费，但须补缴医事服务费。 ????????                                            ",是,无, 2012-8-31 14:50,5,6,赞,政府版微博,yzHOnw2wu
4,"
                                                                                                    #人文朝阳##“百位盲人水立方竞技#日前，在曾经的奥运场馆水立方，朝阳区青年志愿者协会、红丹丹教育文化交流中心共同举办第四届盲人运动会，回首北京奥运，遥祝伦敦残奥，共享运动快乐，本次活动共有近100位盲人运动员参加比赛，来自朝阳区青年志愿者协会等单位的近200名志愿者热心参与。 ????????                                            ",是,无, 2012-8-31 14:48,转发,2,赞,政府版微博,yzHNOn460
5,"
                                                                                                    #商务朝阳##全市一半国际会议朝阳举办#打开朝阳区地图，国家会议中心、盘古七星酒店、中国国际展览中心、全国农业展览馆、国贸中心等，一个个设施先进的大型会议中心和展馆星罗棋布，目前，本市70%的国际展览和54%的国际会议都定在朝阳区，朝阳已成为国际知名的高端商务会展地。 ????????                                            ",是,无, 2012-8-31 11:09,2,11,赞,政府版微博,yzGmYFsn2
6,"
                                                                                                    #朝阳动态#如果你是具有真才实学的留学人员，请关注朝阳“凤凰计划”。朝阳区将在CBD、电子城、奥运等重点功能区和储备区，聚集一批由科技领军人才领衔的高科技创业团队；引进并有重点地支持100名左右海外高层次人才来朝阳创新创业。“凤凰计划”人才认定正在申报，详情登陆O网页链接 ????????                                            ",是,无, 2012-8-31 10:51,3,1,赞,政府版微博,yzGfzecQx
7,"
                                                                                                    #温馨提示#随着学生陆续返校准备开学，本周早高峰中小学周边地区车流较集中。伴随着暑期的结束，高校周边、交通场站、眼镜城、小商品批发市场将成为本周交通热点区域。请大家合理安排时间避开拥堵路段，尽量选择公共交通出行，注意孩子安全。 ????????                                            ",是,无, 2012-8-30 16:53,5,3,赞,政府版微博,yzzbSnWlI
8,"
                                                                                                    为了家庭幸福                                            ",否,"
                                                                                                    【北京公布19家婚检机构名单】昨天，北京市卫生局公布19家可以进行婚检的医疗机构名单，鼓励二级及以上医疗机构开展此项服务。从朝阳区妇幼保健院获悉，免费婚检时间为每周二至周六上午八点至十点半。夫妻双方中有一方是朝阳区户口，即可持两人身份证免费婚检。以下是19家婚检医疗机构名单~ ????????                                                            ", 2012-8-30 15:44,1,8,赞,政府版微博,yzyK8C5jv
9,"
                                                                                                    培养孩子交通安全意识很重要????//@北京发布:公交加车加运力， 乘坐方便请选择。 私家车辆送学生， 学校门口成堵点。 高年级生停即走， 低年级生稍远停。 家长守序行方便， 孩子从小知公德。                                            ",否,"
                                                                                                    #惠说北京#9月开学季，市公交集团为方便学生乘车，增加77路、301路、327路、391路、452路、458路、459路、505路、526路、662路、663路、665路、691路、693路、715路、723路、特8路外环、特9路外环、特9路内环19条公交线的车辆。特9路报站时会提醒乘客各站途经的高校，不熟悉的高校新生不必担心坐过站。 ????????                                                            ", 2012-8-30 15:44,1,7,赞,政府版微博,yzyJVBS10
10,"
                                                                                                    无线上网，随时联通                                            ",否,"
                                                                                                    【11大区域开通公益性WiFi】王府井、西单、奥运公园、朝阳公园、蓝色港湾、三里屯、中关村步行街、金融街、北京站、北京南站和北京西站的部分区域已开通“My Beijing”免费无线网络。点击进入在“用户登录”区输入手机号，点击“短信获取密码”，密码就会通过短信发至手机，填写密码进行登录即可上网。 ????????                                                            ", 2012-8-30 15:42,20,5,4,政府版微博,yzyJkoNO3
11,"
                                                                                                    #温馨提示##开学前先收心#暑假即将结束，很多家长都遇上了一个难题：孩子仍然每天很晚才起床，白天看电视上网，晚上睡的很晚。家长们担心开学后还能否跟上学校的学习节奏。对此，专家建议，为了使孩子能以良好的状态进入新学期，应注意以下几点。 ????????                                            ",是,无, 2012-8-30 15:41,3,1,赞,政府版微博,yzyIIAdmF
12,"
                                                                                                    #人文朝阳##健康口腔 幸福家庭# 由国家卫生部疾病预防控制局开展的“健康口腔，幸福家庭”项目近日在全国启动，朝阳区团结湖街道被确定为全国13个项目试点地区之一。今后，团结湖街道将通过一系列在志愿者家庭内开展的口腔健康促进行为，探索依托社区，根植家庭的口腔健康行为干预的最佳模式。 ????????                                            ",是,无, 2012-8-30 13:58,6,10,赞,政府版微博,yzy2W14RO
13,"
                                                                                                    #人文朝阳##“志愿朝阳”网站正式开通运行#日前，志愿朝阳网（www.zycy.org）正式开通，面向各基层团组织、社会公益组织开展志愿者注册、志愿团体注册、志愿项目发布及活动信息上报等工作，为志愿者参与志愿服务搭建网络平台，并实现志愿服务资源与弱势群体需求的有效对接。 ????????                                            ",是,无, 2012-8-30 11:20,4,2,赞,微博 weibo.com,yzx0Zlv0b
14,"
                                                                                                    #朝阳动态##奥林匹克公园将办第三届发展高峰论坛#主题为打造“国际活动聚集之都示范区”的第三届北京奥林匹克公园发展高峰论坛将于8月31日在北京国家会议中心举办。本届论坛由体育场圆桌沙龙、开幕式暨主论坛、奥林匹克公园大型活动资源商务推介活动、北京奥林匹克公园成果图片展四部分组成。 ????????                                            ",是,无, 2012-8-30 10:48,1,评论,赞,微博 weibo.com,yzwNV7jQk
15,"
                                                                                                    #人文朝阳#为全市60岁以上全口无牙低保老年人免费镶牙，是北京市新医改方案中的重大公共卫生服务项目之一，近日，我区出台为辖区60岁以上高龄低保老年人免费镶牙政策，全口丧失咀嚼功能、符合政策条件老人将免费安装义齿，有需求的市民请携带相关证明，到就近的社区卫生服务中心进行筛查与登记。 ????????                                            ",是,无, 2012-8-29 16:29,12,4,赞,政府版微博,yzpBFDdgK
16,"
                                                                                                    有需求的网友请关注                                            ",否,"
                                                                                                    【非京籍者办护照先网上预约】#聚焦北京#9月1日起，非京户籍人员可在本市办理出入境证件。符合条件的非京籍人士办理时需提前网上预约，以提前完成审核工作，减少申请人等候时间。申请人可登录首都之窗网站（O网页链接）或拨打出入境管理总队咨询电话（84020101）了解相关信息。 ????????                                                            ", 2012-8-29 16:26,7,5,赞,微博 weibo.com,yzpAmBHMr
17,"
                                                                                                    出门路况早知道                                            ",否,"
                                                                                                    #小贴士# 经常有通心粉在私信里询问高速通行、公交信息等情况，小编都会第一时间拨打热线进行咨询，然后快速回复通心粉们。但是小编觉得，如果把这些咨询电话的号码告诉大家，是不是大家就可以更快捷地进行咨询了呢？所以有需要的通心粉们，速速地收藏了吧！[收藏] ????????                                                            ", 2012-8-29 14:30,4,评论,赞,政府版微博,yzoPiEENC
18,"
                                                                                                    传递身边感动，寻找身边好人                                            ",否,"
                                                                                                    #寻找最美北京好人#首都文明网制作的《中国好人榜群英谱·北京篇》出炉，自2008年开展以来，北京市共有228人荣登“中国好人榜”。为宣扬他们的义举、善行、美德和无私的高尚情操，北京分别在朝阳区和东城区举办了两场“全国道德模范与身边好人现场交流活动”……O网页链接 ????????                                                            ", 2012-8-29 14:24,5,1,赞,政府版微博,yzoMYud8U
19,"
                                                                                                    #人文朝阳#日前，朝阳区在CBD核心区启动“午间法律服务一小时”活动，由10余家律师事务所的党员律师组成的法律服务队为白领和居民提供免费法律咨询服务。作为让百姓接受普法教育的一项公益活动，今后，该活动将每月至少举行一次，并根据居民需求增加场次和服务地点。 ????????                                            ",是,无, 2012-8-29 14:16,3,评论,赞,政府版微博,yzoJQCg7P
20,"
                                                                                                    #朝阳动态##朝阳区斥资6亿成立多项产业引导资金#（2/2）6000万元文化创意产业发展引导资金，重点支持文化传媒、广告会展、旅游休闲、设计创意、艺术品交易等领域；6000万元高新技术产业发展引导资金，重点支持新一代信息技术、新生物医药、新能源、信息服务等战略性新兴产业发展。 ????????                                            ",是,无, 2012-8-29 11:00,3,2,赞,政府版微博,yzns2DkUs
21,"
                                                                                                    #朝阳动态##朝阳区斥资6亿成立多项产业引导资金#（1/2）从今年起，朝阳区每年将安排6亿元成立多项产业发展引导资金，主要包括：每年安排1.2亿元总部经济和现代服务业发展引导资金，重点支持总部经济、要素市场、高端商务服务业、会展产业发展；1.3亿元金融产业发展引导资金，重点吸引金融机构入驻。 ????????                                            ",是,无, 2012-8-29 10:59,5,4,赞,政府版微博,yznrLdjcQ
22,"
                                                                                                    #服务信息##63家图书馆同城通借通还#首都图书馆及下属各区县图书馆和部分街道图书馆共63家，已能满足读者凭借“一卡通”实现同城通借通还。也就是说，读者凭一张“一卡通”读者卡可以在63家图书馆中的任一家借书，要还书的时候，无论走到哪里，就近还书就可以了。????O网页链接 ????????                                            ",是,无, 2012-8-28 16:30,7,4,赞,政府版微博,yzgbzkrYZ
23,"
                                                                                                    选择公共交通，绿色出行 //@北京发布:#转发发布厅#北京地铁14号线从张郭庄站至善各庄站，途径丽泽商务区、永定门、南八里庄、大望路、朝阳公园、望京等地。住在这附近的朋友，今后又多了一个出行的选择。                                            ",否,"
                                                                                                    #非常观察#【地铁14号线跨越永定河大桥整体贯通啦！】近日，地铁14号线永定河特大桥箱梁浇筑全部完工，至此大桥主体全部完工。永定河特大桥位于卢沟桥分洪枢纽上游，紧邻西五环，全长633.2米。地铁14号线在张郭庄站至大瓦窑站之间上跨永定河，呈“正十字”分布。 ????????                                                            ", 2012-8-28 16:09,9,4,赞,政府版微博,yzg2VzOOy
24,"
                                                                                                    科技助力交通                                            ",否,"
                                                                                                    【城六区上半年新建两万车位】#聚焦北京#今年上半年，城六区累计完成新建各类停车位20664个，其中居住区新建停车位8000个，施划占道停车位3070个，实行错时停车增加停车位1458个。另外，今年上半年，朝阳、东城、西城区还先后有962个、96个和40个路侧占道停车泊位开展停车电子收费试点。 ????????                                                            ", 2012-8-28 16:06,转发,1,赞,政府版微博,yzg1TrAiW
25,"
                                                                                                    #人文朝阳##亚运村安南社区“小小志愿者”#近日，安南社区组织辖区青少年开展“倡导绿色生活 保护生态环境”“小小志愿者”主题实践活动。参加活动的30余名青少年分工协作，有的捡拾白色垃圾，有的清洗宣传橱窗，有的打扫地面卫生。小朋友们不怕脏不怕累，学习从自己做起，从小事做起。 ????????                                            ",是,无, 2012-8-28 14:50,转发,1,赞,政府版微博,yzfxegXYk
26,"
                                                                                                    #宜居朝阳#倡导绿色生活使用公共自行车#朝阳区公共自行车服务系统一期工程29个服务站点1000辆自行车已于6月16日正式投入试运营。截至目前，开通一卡通卡实名制租车功能2059张，市民租还车辆近3.2万次。现二期工程已全面启动，137个站点已完成核勘，正在商洽取电事宜，力争国庆节前投入运营。 ????????                                            ",是,无, 2012-8-28 14:47,5,2,赞,政府版微博,yzfvLwZOC
27,"
                                                                                                    #朝阳动态##朝阳出台推动企业上市工作办法#（2/2）4、加强资金支持，从时间节点上明确补助专项资金额度。完成股份有限公司改制后，当年给予50万元补助；完成上市辅导后，当年给予100万元补助；对首次公开发行股票上市的企业，当年一次性给予200万元补助。 ????????                                            ",是,无, 2012-8-28 10:45,转发,评论,赞,政府版微博,yzdVq4PIG
28,"
                                                                                                    #朝阳动态##朝阳出台推动企业上市工作办法#（1/2）1、成立区推动企业上市协调领导小组，统筹协调推动全区企业上市工作。2、建立上市培育期企业数据库，实行动态管理，及时追踪企业上市进展情况。3、建立服务体系，从加强分类指导、完善企业上市金融服务体系和建立“绿色通道”三方面推动企业上市。 ????????                                            ",是,无, 2012-8-28 10:44,1,2,赞,政府版微博,yzdVlCBfu
29,"
                                                                                                    机会难得，赶紧报名                                            ",否,"
                                                                                                    #旅游开放日#8月28日，旅游开放日暑期活动之“科普游”带您走进汽车博物馆，走进汽车的世界。您将了解到世界汽车工业百年发展历程所带来的科技文明进步，为您讲述中国汽车工业的发展历程。团体及个人均可以报名，机会难得，快快报名吧！ 报名电话：63262473、87550019、65157584。 ????????                                                            ", 2012-8-27 17:48,2,评论,赞,政府版微博,yz7gJ67jD
30,"
                                                                                                    爱心接力，感谢有你！ //@北京发布:#转发发布厅#今晨地铁里的感人一幕，让雨中的北京城多了一份温暖的力量。//@北京地铁: #爱心接力棒# 目前乘客已被送往急救中心。小编在此也提示大家：如果您在地铁内感到身体不适时请及时联系地铁工作人员，当身边有人需要您帮助时，也希望大家能够帮一把、扶一下。                                            ",否,"
                                                                                                    今日早高峰时段，一名女乘客在15号线望京西站昏倒，工作人员及时发现，采取措施进行前期救助，家属拨打急救电话后车站值班站长与站务员协同999进行施救。温馨提示大家多注意身体，记得吃了早饭再出门呦！@北京地铁 ????????                                                            ", 2012-8-27 17:27,2,2,赞,政府版微博,yz78lB59v
31,"
                                                                                                    #宜居朝阳##为老服务品牌化#修脚、订报、配花镜、陪老人去医院看病，一项项居家养老服务送到老人们身边，为的是让老年人的生活更方便，更舒心。近日，120家服务企业成为区级签约服务商，涵盖了老年人生活照料、康复护理、家政保洁、精神慰藉、医疗康复、老年教育、文化体育、养老机构等十方面。 ????????                                            ",是,无, 2012-8-27 16:13,转发,1,赞,政府版微博,yz6E4kSrF
32,"
                                                                                                    #人文朝阳##和谐家庭教育指导服务项目全区推广#日前，区妇联、区文明办与区教委共同为全区43个街乡级“和谐家庭指导站”服务基地和街道系统的229个社区“和谐家庭指导站”代表授牌，209名和谐家庭指导员、133名和谐家庭志愿者持证上岗，为地区家庭提供一对一的指导服务。 ????????                                            ",是,无, 2012-8-27 14:27,2,9,赞,政府版微博,yz5XiBucu
33,"
                                                                                                    #朝阳动态##1—7月朝阳多渠道开发8.4万个就业岗位#围绕“重点经济项目带动就业、优化城乡就业结构”的整体思路，通过落实企业用工联盟、监控区域重点项目、开展企业用工需求调查，截至7月底，朝阳区公共职介机构开发岗位84387个，举办各类招聘会135场，求职登记12629人，推荐13597人次，成功8448人。 ????????                                            ",是,无, 2012-8-27 11:49,1,评论,赞,政府版微博,yz4Vd87ET
34,"
                                                                                                    #人文朝阳##朝阳区政府为民服务热线开通运行#朝阳区81890为民服务中心日前正式成立并运行。该中心通过7×24小时朝阳区政府为民服务热线81890000和www.81890000.gov.cn社区服务网及覆盖整个朝阳的便民服务企业加盟网点和志愿者队伍，以统一的标准和统一的管理为广大居民提供服务。 ????????                                            ",是,无, 2012-8-27 11:49,37,45,赞,政府版微博,yz4UX9yVj
35,"
                                                                                                    #朝阳动态##朝阳24个房地产开发项目配套设施情况公示#近日，包括曾为北京“地王”的广渠路15号在内的24个项目配套设施情况面向社会公示。公示配套项目合计366处，包括学校3处、幼儿园11处、菜市场（社区菜站）7处、社区卫生服务站21处。该批公示配套设施交付使用后，将极大方便居民的日常生活。 ????????                                            ",是,无, 2012-8-27 11:02,2,8,赞,政府版微博,yz4BPCRCg
36,"
                                                                                                    仔细看看下面缓解嗓子痛的9种食物哦！                                            ",否,"
                                                                                                    【嗓子不发炎，别含润喉糖】入秋，天气转干，嗓子有时会痒痒的，有人爱含颗润喉糖。润喉片大多含碘，对细菌能起到良好的抑制作用。但如果口腔没有炎症而含食润喉糖，会抑制和杀灭口腔内的正常有益菌群，反而容易导致有害菌趁机侵入。儿童抵抗力较弱，多食润喉糖带来的损害更大。via @生命时报 ????????                                                            ", 2012-8-26 21:43,14,2,1,iPad客户端,yyZnFaI6b
37,"
                                                                                                    带着熊猫眼的你，今晚，是否决定早睡呢？                                            ",否,"
                                                                                                    #锦囊妙计#快节奏的生活压力，让许多人经常熬夜，越来越多的人加入“夜猫”一族。然而，熬夜对人们身体健康的伤害是巨大的，你牺牲健康换来的时间，真的值得吗？看看熬夜到底有哪些伤害吧！免疫力下降；肠胃危机；心脏病风险；肥胖；耳聋；皮肤受损！带着熊猫眼的你，今晚，是否决定早睡呢？ ????????                                                            ", 2012-8-26 21:40,4,2,2,iPad客户端,yyZmwwXO3
