序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #房山新闻#【全区121所受灾学校将全部按时开学】目前，全区121所受灾学校已全部完成校舍和基础设施的修缮，教学用书也陆续到位，保证9月1日正常开学。开学后，教育教学重点也将与救灾工作统筹安排，整合各方面的科学知识，定期做好防震减灾演练，提高学生们避险逃生、自救互救意识。 ????????                                            ",是,无, 2012-8-31 10:37,7,2,赞,微博 weibo.com,yzG9Xo2uX
2,"
                                                                                                    #房山新闻#【灾后生猪产业恢复培训班开班】近日，窦店镇芦村农民田间学校工作站开办灾后生猪产业恢复生产培训班。邀请市生猪产业创新团队专家讲解灾后养猪生产养殖技术要点等。通过专家与养殖户面对面的深入交流，解决灾后生猪恢复生产过程中存在的技术难题，提高养殖户的养殖水平和应用技术能力。 ????????                                            ",是,无, 2012-8-31 10:30,2,1,赞,微博 weibo.com,yzG70v32W
3,"
                                                                                                    #房山新闻#【“时间银行”:今天存爱心 明天获帮助】之二：目前，西潞街道已注册社区志愿者359名，累计服务80余次，服务时间累计320小时。通过建立时间银行系统，西潞街道将立足社区，大力引导、支持志愿者参与社会公益事业，积极创新服务模式，逐步形成“政府主导、全民参与”的社会服务体系。 ????????                                            ",是,无, 2012-8-30 16:56,2,评论,赞,微博 weibo.com,yzzdeieYV
4,"
                                                                                                    #房山新闻#【“时间银行”:今天存爱心 明天获帮助】之一：8月28日，西潞街道一刻钟服务圈时间银行管理系统正式启动。所谓时间银行，是指志愿者将参与公益服务的时间存进时间银行，当自己遭遇困难时就可以从中支取“被服务时间”。 ????????                                            ",是,无, 2012-8-30 16:56,1,4,赞,微博 weibo.com,yzzd8E0kH
5,"
                                                                                                    #为您播报#【房山区琉璃河镇所属事业单位公开招聘工作人员公告】按照《北京市事业单位公开招聘工作人员实施办法》，房山区部分事业单位根据工作需要面向社会公开招聘工作人员，招聘部门及岗位、招聘条件、报名程序、考试安排等内容请点击链接查看O网页链接 ????????                                            ",是,无, 2012-8-30 10:17,5,评论,赞,微博 weibo.com,yzwBf5Ynr
6,"
                                                                                                    #房山新闻#【圣莲山与武当山结为“兄弟山”】 近日，圣莲山与湖北的武当山结为“兄弟山”，旨在学习借鉴武当山在旅游产业、国学文化资源挖掘和弘扬方面取得的成功经验和管理理念，双方将坚持“和谐社会，以道相通”的理念，以“南有武当，北有圣莲”为旅游宣传品牌，进一步提升圣莲山景区的旅游发展。 ????????                                            ",是,无, 2012-8-29 14:48,1,3,赞,微博 weibo.com,yzoWGmIgf
7,"
                                                                                                    #房山新闻#【安置房露天电影每周五开场】自8月初，受灾群众陆续入住城关街道洪寺村和阎村镇公主坟村避险安置小区以来，区文委流动放映车每周五放映一场露天电影丰富避险安置小区受灾群众的业余文化生活。 ????????                                            ",是,无, 2012-8-28 14:46,7,评论,赞,微博 weibo.com,yzfvkleT2
8,"
                                                                                                    #房山新闻#【区第一医院引进SPECT系统】 近期，区第一医院引进了美国GE公司最新一代的高端分子影像学设备Infinia 全数字自由变换角度SPECT系统，经安装、调试后，现已正式投入使用。该仪器的投入使用大大提高了该院核医学影像诊断的技术水平，为临床疾病的诊断和治疗提供了更加早期、可靠的依据。 ????????                                            ",是,无, 2012-8-28 14:34,2,评论,赞,微博 weibo.com,yzfqpEXLf
9,"
                                                                                                    冷热变化易造成呼吸道、肠胃炎、感冒。大家可一定要多注意饮食起居。                                            ",否,"
                                                                                                    【夏天：其实不想走其实我想留】#北京你好#今日限行3和8，最高气温33℃。几天来凉快的让人以为秋天来早了，打今儿起，夏天奋起余勇，誓要给大家一个回马枪，32至34度的高温要持续到周末，呜……不带这样的，夏秋拉锯，苦了我们，冷热变化易造成呼吸道、肠胃炎、感冒。大家可一定要多注意饮食起居。 ????????                                                            ", 2012-8-28 08:45,5,1,赞,微博 weibo.com,yzd8PuFmt
10,"
                                                                                                    #房山新闻#【古朴山村亮相前门】近日，“印象南窖”摄影展在前门步行街展出，优美的自然风光和古朴的明清院落吸引了众多中外游人目光。今年该乡水峪村作为本市唯一候选村落将申报中国历史文化名村。 ????????                                            ",是,无, 2012-8-27 15:12,5,1,赞,微博 weibo.com,yz6fA7Klr
