序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #宜居东城#【检察官进社区 居民学反扒】“在医院排队挂号时，就是感觉被挤了一下，当时也没在意，结果等拿药结费时才发现钱包不见了。”家住东四八条社区的赵大爷说。近日，东城区检察院举办“平安北京 安全出行”公交反扒预警宣传活动，检察官们结合视频为居民讲解小偷行窃时的惯用伎俩，介绍防范知识 ????????                                            ",是,无, 2012-8-31 16:22,转发,评论,赞,微博 weibo.com,yzIpXtsfY
2,"
                                                                                                    #东城资讯#【北京人艺60周年纪念演出——《哈姆雷特》】演出时间：2012年8月31日—9月2日 19:30；演出场馆：首都剧场。本部戏由亚洲规模最大的剧团——四季剧团艺术总监浅利庆太执导，舞美设计出自英国皇家莎士比亚剧团舞美设计大师约翰.贝里之手，演员是人艺的强大阵容。 ????????                                            ",是,无, 2012-8-31 16:18,5,1,赞,微博 weibo.com,yzIolCiU1
3,"
                                                                                                    #宜居东城#【流动儿童公益夏令营闭营】还记得暑期开始时曾经发布过的“流动儿童公益夏令营”吗？在暑期结束之际，夏令营也顺利闭营了。在33天的时间里，孩子们一面参与社区服务，一面排练文艺节目，为夏令营专题纪录片配音……忙得不亦乐乎。“这个假期我过的很快乐”来自山西的聂鑫小朋友说。 ????????                                            ",是,无, 2012-8-31 15:01,19,5,赞,微博 weibo.com,yzHSTnape
4,"
                                                                                                    #东城资讯#【讲座信息】主题：微型小说创作漫谈；主讲：凌鼎年（中国作协会员、世界华文微型小说研究会秘书长、中国小小说名家沙龙副会长、美国纽约商务出版社特聘副总编）；时间：9月1日上午9：30；地点：北京东城区图书馆三层报告厅（全免费、全开放公益活动，欢迎社会公众积极参与） ????????                                            ",是,无, 2012-8-31 11:11,3,1,赞,微博 weibo.com,yzGnuBHOm
5,"
                                                                                                    #东城新闻#【学生返京 民警护航】近日，北京站迎来了新生报到和学生返京的高峰，为确保学生的人身和财产安全，地区派出所加强警力，大力整治非法揽客、黑车黑导等违法行为。同时，在站前巡逻警务站设立了接待窗口，为来京报到的新生发放安全防范宣传材料，提示学子们保管好随身物品，提高防范意识。 ????????                                            ",是,无, 2012-8-31 10:52,1,评论,赞,微博 weibo.com,yzGfRdPJR
6,"
                                                                                                    #早安小贴士#早上好！今天预报会有雷阵雨，请大家出门带好雨具哦！气温24-31°C，空气质量中等，紫外线强度弱，机动车限行尾号是1和6。今天是本周的最后一天啦！同时八月也以“重温桑拿天”的方式跟我们说再见了~在这个夏天，相信每个人都有属于自己的美好回忆~带着这份美好迎接即将到来的周末吧！ ????????                                            ",是,无, 2012-8-31 09:10,转发,评论,赞,微博 weibo.com,yzFAJa8C1
7,"
                                                                                                    #东城教育#【东城区11所小学入选首批“百年学校”】昨天，北京市首批33所“百年学校”挂牌，其中东城区有11所学校入选，包括府学小学、灯市口小学、汇文一小、回民实小、前门小学、金台书院小学、第一中学、第二中学、二十五中、一六六中和汇文中学。（via：北京日报）O网页链接 ????????                                            ",是,无, 2012-8-30 15:07,34,5,赞,微博 weibo.com,yzyuLE9IB
8,"
                                                                                                    #东城人物#【王凤岐：演好生活的三个角色】有个神奇的数学天才狗——她是文明养犬的带头人；“小品演得特好”——她是社区舞台的女一号；稿子写尽身边事——她是真挚感人的宣讲员。集三种角色于一身的竹杆社区居民王凤岐，把旁人眼里多少有些忙叨的生活过得有声有色。O网页链接 ????????                                            ",是,无, 2012-8-30 14:50,转发,评论,赞,微博 weibo.com,yzynXpMkz
9,"
                                                                                                    #数字东城#【wifi覆盖试点区域】逛街时、等车时……您是否希望能通过互联网畅通无阻的搜索信息或者打发时间呢？网友们的福利来了！目前，北京已有11大区域开通了名为“My Beijing”的免费无线网络，其中位于东城区的wifi区域有王府井商业街和北京站。详情请见O网页链接 ????????                                            ",是,无, 2012-8-30 14:24,6,1,赞,微博 weibo.com,yzydEyn38
10,"
                                                                                                    #东城教育#【孩子创编“精灵舞蹈”】近日，在中国艺术剧院排练厅，加拿大SURSAUT现代舞团带来的儿童舞蹈启蒙工作坊，向孩子们展示了舞蹈热身、体感记忆热身、模仿游戏、创作精灵等儿童现代舞，引起了孩子们的兴趣。图为孩子们学习舞蹈的开心场景 ????????                                            ",是,无, 2012-8-30 11:09,转发,评论,1,微博 weibo.com,yzwWi20HV
11,"
                                                                                                    #东城新闻#【东城大病患儿救助取消户籍限制，有学籍即可申请】东城区今年率先在全市取消了申请“少儿大病救助基金”的户籍、病种限制，规定凡具有东城户籍或学籍，且上年度自费医疗支出超过3万元的少儿（18周岁以下）大病患者，均可申请这笔救助金。(via北京日报) ????????                                            ",是,无, 2012-8-30 10:33,3,1,赞,微博 weibo.com,yzwHKu9ga
12,"
                                                                                                    朋友们早上好！今天北京晴，22-34度，空气质量轻度污染，机动车限行尾号是5和0~最近马路上多了不少头戴红帽手拿小旗的志愿者，为问路的人们指路并阻止乱穿马路的人们，在这炎热的天气里，让我们用微笑回应志愿者的劳动吧！同时请大家自觉遵守交通规则，为咱们首都文明添砖加瓦 ????????                                            ",是,无, 2012-8-30 08:11,5,评论,赞,iPhone客户端,yzvLX2uCU
13,"
                                                                                                    #商情速递#【开学促使文具热卖】开学了，文具市场迎来销售高峰。本市零售规模最大的文化用品集散地——永外城文化用品大厦里，文具摊前人头攒动，“开学文具热卖”等招牌吸引了不少家长和学生。 ????????                                            ",是,无, 2012-8-29 15:10,3,2,赞,微博 weibo.com,yzp5EbyTA
14,"
                                                                                                    #宜居东城#【社区花卉拼高低】“瞧这榕树，枝繁叶茂的，形状长得也好看，肯定会得第一！”近日，和平里街道和平里社区的户外小广场上，一场居民花卉展吸引了不少人的眼球。居民们精心培育的30多种花卉摆开阵仗，等待社区居民评审团的投票 ????????                                            ",是,无, 2012-8-29 15:01,转发,评论,赞,微博 weibo.com,yzp211fLQ
15,"
                                                                                                    #东城资讯#【话剧《还看球吗？》演出信息】一个刚毕业的实习记者看到曾经为足球而疯狂，现在几乎真疯了的人而疑惑不解，通过他们的纠葛，明白了什么是足球，什么是金钱，为什么要看球，还看球吗？时间：8月28至9月2日；场馆：人艺实验剧场。 ????????                                            ",是,无, 2012-8-29 14:15,转发,1,赞,微博 weibo.com,yzoJrunz1
16,"
                                                                                                    #东城文化#【第二届儿童戏剧节落幕】8月26日晚，随着家庭音乐剧《皮皮??长袜子》的演出，第二届儿童戏剧节落下帷幕。本届戏剧节历时43天，上演了27部中外优秀儿童戏剧作品，辐射全国演出163场。坚持公益是戏剧节的一大亮点，本届戏剧节以两场公益专场作为闭幕演出，为小观众们送上丰富的戏剧大餐。 ????????                                            ",是,无, 2012-8-29 12:17,1,评论,赞,微博 weibo.com,yznXv84qn
17,"
                                                                                                    #东城新闻#【律师服务热线开通】需要法律援助的居民看过来！本周一，我区公益法律服务热线开通啦，免费为市民提供法律咨询，纠纷调解及普法宣传。居民可拨打热线400-8900-148求助，或登陆东城律师协会网站的公益法律服务热线与律师在线交流。热线值班时间：周一至周五上午9:00至11:30，下午1:30至5:00 ????????                                            ",是,无, 2012-8-29 11:20,转发,1,赞,微博 weibo.com,yznAf95VK
