序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    //@央视新闻: 【武汉P4实验室为亚洲首个P4实验室】目前，全球公开拥有P4实验室的国家有9个，分别为法国、加拿大、德国、澳大利亚、美国、英国、加蓬（法国巴斯德所）、瑞典和南非。武汉P4实验室成为亚洲首个即将运行的P4实验室。 O“数”解亚洲首个P4实验室                                            ", 2015-1-31 16:36,16,15,1736,360安全浏览器,C292Cwqz7
2,"
                                                                                                    【中法新发传染病防治合作实验室在武汉竣工】1月31日，中法新发传染病防治合作项目武汉实验室竣工仪式在武汉举行。这是我国第一个生物安全四级实验室，将为大幅提升我国高致病性病原微生物的研究能力和水平提供重要技术平台。O网页链接 ????????                                            ", 2015-1-31 16:29,5,6,1,人民微管家,C28ZLg8wk
3,"
                                                                                                    一张图了解卫生计生系统2014年食品安全工作进展及2015年重点工作任务。 ????????                                            ", 2015-1-29 16:42,10,9,2,人民微管家,C1Qe5B4n6
4,"
                                                                                                    【北京辟谣：麻疹并未全面暴发】1月22日北京某大厦发生一起麻疹暴发疫情。截至1月28日共报告麻疹病例23例。专家表示，北京市麻疹发病率每隔4-5年出现一个流行相对高峰年，每年1月开始发病人数渐上升，4-5月达季节性高峰。春节后大量流动人口返京，麻疹发病还会上升，但预计不会出现大规模暴发流行。 ????????                                            ", 2015-1-29 15:00,19,5,3,人民微管家,C1PyCvkuq
5,"
                                                                                                    麻疹可防可控，公众不必恐慌。加强预防意识，远离人多场所。房间通风换气，孩子接种疫苗，做好个人防护，及时正确就医。                                            ", 2015-1-28 18:17,18,2,3,360安全浏览器,C1HqnvaXt
6,"
                                                                                                    //@全国卫生12320: 麻疹是由麻疹病毒引起的传染性极强的急性呼吸道传染病，每年冬春季呈季节性高发，在人员拥挤、空气不流通的环境中，很容易实现传播。接种麻疹疫苗是预防麻疹的最有效的措施。当前的麻疹疫情仍在可控范围，请公众不必恐慌。                                            ", 2015-1-28 18:06,10,2,赞,360安全浏览器,C1HlNexy9
7,"
                                                                                                    2015年是全面深化改革的关键之年、是全面推进依法治国的开局之年，是全面完成“十二五”规划的收官之年，也是推动卫生计生事业改革发展的重要一年。近日，国家卫生计生委印发《2015年卫生计生工作要点》，要求各地结合实际，切实加强组织领导，明确责任，强化督促督办和考核问责，确保完成各项任务。 ????????                                            ", 2015-1-28 17:46,23,9,5,人民微管家,C1Hdy0LRn
8,"
                                                                                                    近日，国务院办公厅印发《关于进一步加强新时期爱国卫生工作的意见》，就做好新形势下的爱国卫生工作提出明确要求。1月26日，国家卫生计生委专家作客中国政府网，深入解读《意见》，并与网友在线交流。详见O中国政府网访谈 ????????                                            ", 2015-1-27 11:07,20,8,1,人民微管家,C1vb4zlyv
9,"
                                                                                                    1月24日，由中宣部、国家卫生计生委等联合举办的全国文化科技卫生“三下乡”集中服务活动启动仪式在江西省寻乌县举行，国家卫生计生委副主任崔丽出席。国家卫生计生委向寻乌县捐赠了新家庭文化屋等物资和资金，卫生计生“三下乡”服务团免费向群众发放了宣传品，并开展了健康咨询和下乡义诊活动。 ????????                                            ", 2015-1-24 12:26,8,13,6,人民微管家,C13pSzghK
10,"
                                                                                                    为落实国务院关于加大打击防控采血鉴定胎儿性别行为力度的有关精神，国家卫生计生委等十四个部门下发了关于加强打击防控采血鉴定胎儿性别行为的通知，通知原文详见O网页链接；文件解读详见O网页链接。 ????????                                            ", 2015-1-21 18:10,106,36,5,人民微管家,C0DnUxmRs
11,"
                                                                                                    国务院近日印发《关于进一步加强新时期爱国卫生工作的意见》，就做好新形势下的爱国卫生工作提出明确要求：一是努力创造促进健康的良好环境；二是全面提高群众文明卫生素质；三是积极推进社会卫生综合治理；四是提高爱国卫生工作水平。 ????????                                            ", 2015-1-13 16:13,66,12,7,人民微管家,BFmEVdCMW
12,"
                                                                                                    #例行发布会# 今天的发布会到此结束。谢谢大家。 ????????                                            ", 2015-1-12 13:58,1,5,3,人民微管家,BFclv8zcw
13,"
                                                                                                    #例行发布会#记者:2014年有太多的医务人员离开了我们，所以关于医务人员的健康问题被大家广泛关注。不知道国家卫生计生委2015年在这方面有什么举措？ ????????                                            ", 2015-1-12 13:58,24,11,2,人民微管家,BFclmfrRE
14,"
                                                                                                    #例行发布会#中国医学论坛报:有两个问题：一是关于医患关系和伤医事件，我注意到报告里有一个数据，想问2014年的情况较2013年是否有改善？二是关于国家卫计委在扶持中医药发展方面，在2015年有一些什么样的举措？谢谢。 ????????                                            ", 2015-1-12 13:46,5,4,2,人民微管家,BFcgyFMdT
15,"
                                                                                                    #例行发布会#中国医药科学杂志:在2014年，民营医院发展得非常好，也出现了一种新的现象，就是公私合营模式的出现，请问像这种合作模式是否应该大面积推广？也有人指出说这种模式是不是强调了公立医院的公益性不强，不知道国家卫计委对此有何看法？谢谢。 ????????                                            ", 2015-1-12 13:35,5,3,1,人民微管家,BFcch3qxU
16,"
                                                                                                    #例行发布会#彭博新闻社:1.看到2015年的工作计划里提到建立部分药品价格谈判机制，请问多大程度上会涉及到跨国企业的原研药、进口药？由谁来谈，在什么样的层级上来谈？这个机制的目标是什么？2.埃博拉在西非蔓延有缓解的趋势，我们国家的防控是否有相应的调整，最新情况能不能分享一下？ ????????                                            ", 2015-1-12 13:12,5,1,2,人民微管家,BFc32msZC
17,"
                                                                                                    #例行发布会#北京青年报:1.关于2015年重点工作中提到制定符合行业特点的薪酬制度改革方案，请问这项工作具体思路是什么？会不会有实质性的进展？2.去年的热点“单独两孩”政策，到今年1月份实施满一年。想进一步了解，目前审批完成多少对？这些家庭的特点是什么？他们的分布有什么特点？谢谢。????????????                                            ", 2015-1-12 13:08,12,7,1,人民微管家,BFc19DPYc
18,"
                                                                                                    ????#例行发布会#香港经济通记者:台湾刚爆发了全球新型的禽流感，请问卫计委今年在预防禽流感的措施上有什么加强手段来防止蔓延。谢谢。 ????????                                            ", 2015-1-12 13:01,4,评论,赞,人民微管家,BFbYmeebQ
